n,gamma_n
1,14.134725142000
2,21.022039639000
3,25.010857580000
4,30.424876126000
5,32.935061588000
6,37.586178159000
7,40.918719012000
8,43.327073281000
9,48.005150881000
10,49.773832478000
11,52.970321478000
12,56.446247697000
13,59.347044003000
14,60.831778525000
15,65.112544048000
16,67.079810529000
17,69.546401711000
18,72.067157674000
19,75.704690699000
20,77.144840069000
21,79.337375020000
22,82.910380854000
23,84.735492981000
24,87.425274613000
25,88.809111208000
26,92.491899271000
27,94.651344041000
28,95.870634228000
29,98.831194218000
30,101.317851006000
31,103.725538040000
32,105.446623052000
33,107.168611184000
34,111.029535543000
35,111.874659177000
36,114.320220915000
37,116.226680321000
38,118.790782866000
39,121.370125002000
40,122.946829294000
41,124.256818554000
42,127.516683880000
43,129.578704200000
44,131.087688531000
45,133.497737203000
46,134.756509753000
47,138.116042055000
48,139.736208952000
49,141.123707404000
50,143.111845808000
51,146.000982487000
52,147.422765343000
53,150.053520421000
54,150.925257612000
55,153.024693811000
56,156.112909294000
57,157.597591818000
58,158.849988171000
59,161.188964138000
60,163.030709687000
61,165.537069188000
62,167.184439978000
63,169.094515416000
64,169.911976479000
65,173.411536520000
66,174.754191523000
67,176.441434298000
68,178.377407776000
69,179.916484020000
70,182.207078484000
71,184.874467848000
72,185.598783678000
73,187.228922584000
74,189.416158656000
75,192.026656361000
76,193.079726604000
77,195.265396680000
78,196.876481841000
79,198.015309676000
80,201.264751944000
81,202.493594514000
82,204.189671803000
83,205.394697202000
84,207.906258888000
85,209.576509717000
86,211.690862595000
87,213.347919360000
88,214.547044783000
89,216.169538508000
90,219.067596349000
91,220.714918839000
92,221.430705555000
93,224.007000255000
94,224.983324670000
95,227.421444280000
96,229.337413306000
97,231.250188700000
98,231.987235253000
99,233.693404179000
100,236.524229666000
101,237.769820481000
102,239.555477573000
103,241.049157796000
104,242.823271934000
105,244.070898497000
106,247.136990075000
107,248.101990060000
108,249.573689645000
109,251.014947795000
110,253.069986748000
111,255.306256455000
112,256.380713694000
113,258.610439492000
114,259.874406990000
115,260.805084505000
116,263.573893905000
117,265.557851839000
118,266.614973782000
119,267.921915083000
