block,prime,repetition,period,C_real,C_imag,theory,ratio_error,difference_from_saved,same_sampling_C_real,same_sampling_C_imag,same_sampling_difference_from_saved
holdout,2,1,0.6931471805599453,-0.1560129290923248,-1.5606942530695665e-11,-0.1560129290391036,3.411333437952635e-10,1.0771617157885875e-11,-0.15601292908169362,-1.7339596447395922e-11,3.3007228283905053e-16
holdout,3,1,1.0986122886681098,-0.20189889991198778,6.315745193957183e-11,-0.20189889986939866,2.109428187679896e-10,6.22922294656499e-11,-0.20189889987686474,1.1710330633125198e-11,1.16010529734388e-15
holdout,2,2,1.3862943611198906,-0.11031779999519604,1.4223606663678441e-11,-0.1103178000763258,-7.354185038721539e-10,7.127355940419972e-11,-0.11031780004308372,6.70154277946921e-11,3.285626905857822e-15
holdout,5,1,1.6094379124341003,-0.2291075244003068,-4.127469376050873e-11,-0.22910752440522542,-2.1468604671781577e-11,2.37906835265149e-11,-0.22910752440900875,-6.341954046136295e-11,2.769183950615985e-15
holdout,7,1,1.9459101490553132,-0.23411211611067254,1.1110756083188227e-10,-0.23411211608563706,1.0693801399952463e-10,6.170147400375207e-11,-0.23411211606826218,6.629606157460899e-11,3.594265595909274e-15
holdout,2,3,2.0794415416798357,-0.07800646445425449,8.304950081335185e-11,-0.0780064645195518,-8.370756310327465e-10,1.430033228229159e-10,-0.07800646446822627,-5.927410822068155e-11,4.572681643872542e-15
holdout,3,2,2.1972245773362196,-0.1165663840515631,9.489293042918114e-12,-0.1165663841886866,-1.1763554574883983e-09,1.503673649494696e-10,-0.11656638419593846,-3.2529338061531855e-11,3.38344242488459e-15
holdout,11,1,2.3978952727983707,-0.23013570102432157,-1.733125899419062e-10,-0.23013570108523157,-2.6466995262097726e-10,1.6321105850276022e-10,-0.2301357010199211,-1.0162248064321706e-11,6.551879022143995e-15
holdout,13,1,2.5649493574615367,-0.22644213758738133,-1.4783431330613435e-10,-0.22644213759952758,-5.363953725634474e-11,1.364449068784981e-10,-0.22644213770111232,-7.245578521692013e-11,2.0213756678614463e-15
holdout,2,4,2.772588722239781,-0.05515890036822131,-2.3446229049221563e-10,-0.0551589000381629,5.983774364892724e-09,3.089436638731253e-10,-0.055158900108622955,-6.696939879555657e-11,2.239161662922372e-15
holdout,17,1,2.833213344056216,-0.21872828382709017,1.799068046991468e-10,-0.21872828371837585,4.970290845562886e-10,3.130986249532616e-10,-0.21872828360563198,-4.141974616514771e-11,2.6326699846437806e-15
holdout,19,1,2.9444389791664403,-0.21501852849176112,-6.882308740368912e-11,-0.21501852841127717,3.7431169275237153e-10,9.589267277450115e-11,-0.21501852839788907,-4.93612141053064e-11,4.730095876888483e-14
holdout,23,1,3.1354942159291497,-0.20810964696746198,2.929673958089251e-11,-0.20810964733659634,-1.7737493696046158e-09,4.675000962515059e-10,-0.20810964743281107,-1.5342676130083757e-11,1.4855750285577e-14
holdout,5,2,3.2188758248682006,-0.10245999965061725,-1.0500616965912213e-10,-0.10245999974535523,-9.246338139590193e-10,1.2003697599752073e-10,-0.1024599997693405,-8.730612877618623e-11,1.761823183314411e-15
holdout,3,3,3.295836866004329,-0.06729963310611112,-5.3832152221558794e-11,-0.06729963328979954,-2.7294120297227664e-09,1.0410229479286472e-10,-0.06729963320983023,-4.491557824763872e-11,1.5951801566248594e-15
holdout,29,1,3.367295829986474,-0.1990363508915913,-5.864375875567598e-10,-0.1990363509339811,-2.1297508201456594e-10,5.695848705103945e-10,-0.1990363509001852,-1.6930463039390498e-11,1.4681662170355167e-14
holdout,31,1,3.4339872044851463,-0.19632154006066382,-9.335351885348075e-10,-0.1963215403858554,-1.6564232208082785e-09,7.204155199300156e-10,-0.19632154022568446,-2.3228832436378992e-10,1.3585045464860873e-14
holdout,2,5,3.4657359027997265,-0.039003231503981314,-1.2798617118139294e-10,-0.0390032322597759,-1.937774241067558e-08,7.245829112731775e-10,-0.039003232202316926,6.526035994757425e-11,3.0505564382459286e-15
holdout,37,1,3.6109179126442243,-0.18895869517479205,-4.0818000360550206e-10,-0.1889586950119591,8.617382363240722e-10,2.436709690723364e-10,-0.18895869518469155,-1.6471682462677538e-10,8.828848099089749e-15
