indice,comprimento,reflexoes_externas,colisoes_no_quarto,elemento_g,familia,orbita_de_fronteira,min_autovalor_hessiana,pontos_dobrados
1,2.000000000000,1,2,sy,1,0,0.000e+00,"(0.9994395,1.0000000)"
2,2.000000000000,1,2,sy,0,0,3.371e-01,"(0.9999993,1.0000000)"
3,2.000000000000,1,3,sxsy,0,1,2.000e+00,"(0.0000000,1.0000000)"
4,4.000000000000,1,3,sx,0,1,2.000e+00,"(2.0000000,0.0000000)"
5,4.472135955000,2,4,sxsy,0,0,2.739e-01,"(0.0000000,1.0000000);(2.0000000,0.0000000)"
6,4.828427124746,2,5,sx,0,0,4.142e-01,"(0.0000000,1.0000000);(1.7071068,0.7071068)"
7,4.889431983397,3,5,sxsy,0,0,6.658e-02,"(0.0000000,1.0000000);(1.7756938,0.6311095);(1.7756938,0.6311095)"
8,5.000000000000,3,5,sxsy,0,0,1.857e-01,"(1.5000000,0.8660254);(1.5000000,0.8660254);(2.0000000,0.0000000)"
9,5.014969587365,4,6,sxsy,0,0,2.139e-02,"(0.0000000,1.0000000);(1.5622851,0.8269434);(1.5622851,0.8269434);(2.0000000,0.0000000)"
10,5.061467458921,4,6,sxsy,0,0,9.359e-02,"(1.3826834,0.9238795);(1.3826834,0.9238795);(1.9238795,0.3826834);(1.9238795,0.3826834)"
11,5.066656742923,5,7,sxsy,0,0,8.432e-03,"(0.0000000,1.0000000);(1.4289847,0.9033118);(1.4289847,0.9033118);(1.9302109,0.3670254);(1.9302109,0.3670254)"
12,5.090169943749,5,7,sxsy,0,0,5.238e-02,"(1.3090170,0.9510565);(1.3090170,0.9510565);(1.8090170,0.5877853);(1.8090170,0.5877853);(2.0000000,0.0000000)"
13,5.092395869142,6,8,sxsy,0,0,3.874e-03,"(0.0000000,1.0000000);(1.3431861,0.9392674);(1.3431861,0.9392674);(1.8195078,0.5730680);(1.8195078,0.5730680);(2.0000000,0.0000000)"
14,5.105828541230,6,8,sxsy,0,0,3.187e-02,"(1.2588190,0.9659258);(1.2588190,0.9659258);(1.7071068,0.7071068);(1.7071068,0.7071068);(1.9659258,0.2588190);(1.9659258,0.2588190)"
