delta,traco,discriminante,comprimento,forma_representante,conteudo,potencia_k,traco_raiz,forma_raiz,coeficiente
-1,1,5,0.962423650119,"(-1,1,1)",1,1,1,,-0.137003421011
-1,2,8,1.762747174039,"(-1,2,1)",1,1,2,,-0.198378755256
-1,3,13,2.389526434574,"(-1,3,1)",1,1,3,,-0.210955226902
-1,4,20,2.887270950358,"(-2,2,2)",2,3,1,"(-1,1,1)",-0.068501710505
-1,4,20,2.887270950358,"(-1,4,1)",1,1,4,,-0.205505131516
-1,5,29,3.294462292742,"(-1,5,1)",1,1,5,,-0.194731258002
-1,6,40,3.636892918464,"(-3,2,3)",1,1,6,,-0.183041955095
-1,6,40,3.636892918464,"(-1,6,1)",1,1,6,,-0.183041955095
-1,7,53,3.931440943299,"(-1,7,1)",1,1,7,,-0.171895278812
-1,8,68,4.189425094522,"(-4,2,4)",2,1,8,,-0.161714923907
-1,8,68,4.189425094522,"(-1,8,1)",1,1,8,,-0.161714923907
-1,9,85,4.418695417231,"(-5,5,3)",1,1,9,,-0.152557910193
-1,9,85,4.418695417231,"(-1,9,1)",1,1,9,,-0.152557910193
-1,10,104,4.624876682546,"(-5,2,5)",1,1,10,,-0.144355592924
-1,10,104,4.624876682546,"(-1,10,1)",1,1,10,,-0.144355592924
-1,11,125,4.812118250596,"(-5,5,5)",5,5,1,"(-1,1,1)",-0.027400684202
-1,11,125,4.812118250596,"(-1,11,1)",1,1,11,,-0.137003421011
-1,12,148,4.983559705290,"(-6,2,6)",2,1,12,,-0.130394398489
-1,12,148,4.983559705290,"(-7,6,4)",1,1,12,,-0.130394398489
-1,12,148,4.983559705290,"(-7,8,3)",1,1,12,,-0.130394398489
-1,12,148,4.983559705290,"(-1,12,1)",1,1,12,,-0.130394398489
-1,13,173,5.141629356191,"(-1,13,1)",1,1,13,,-0.124430785367
1,3,5,1.924847300238,"(-1,1,1)",1,1,3,,0.137003421011
1,4,12,2.633915793850,"(-2,2,1)",1,1,4,,0.121012823771
1,4,12,2.633915793850,"(-1,2,2)",1,1,4,,0.121012823771
1,5,21,3.133598473945,"(-3,3,1)",1,1,5,,0.108831303614
1,5,21,3.133598473945,"(-1,3,3)",1,1,5,,0.108831303614
1,6,32,3.525494348078,"(-4,4,1)",1,1,6,,0.099189377628
1,6,32,3.525494348078,"(-2,4,2)",2,1,6,,0.099189377628
1,6,32,3.525494348078,"(-1,4,4)",1,1,6,,0.099189377628
1,7,45,3.849694600477,"(-3,3,3)",3,2,3,"(-1,1,1)",0.045667807004
1,7,45,3.849694600477,"(-5,5,1)",1,1,7,,0.091335614007
1,7,45,3.849694600477,"(-1,5,5)",1,1,7,,0.091335614007
1,8,60,4.126874137791,"(-6,6,1)",1,1,8,,0.084794118621
1,8,60,4.126874137791,"(-3,6,2)",1,1,8,,0.084794118621
1,8,60,4.126874137791,"(-2,6,3)",1,1,8,,0.084794118621
1,8,60,4.126874137791,"(-1,6,6)",1,1,8,,0.084794118621
1,9,77,4.369287583210,"(-7,7,1)",1,1,9,,0.079247468817
1,9,77,4.369287583210,"(-1,7,7)",1,1,9,,0.079247468817
1,10,96,4.584863339122,"(-5,4,4)",1,1,10,,0.074475068325
1,10,96,4.584863339122,"(-4,4,5)",1,1,10,,0.074475068325
1,10,96,4.584863339122,"(-8,8,1)",1,1,10,,0.074475068325
1,10,96,4.584863339122,"(-4,8,2)",2,1,10,,0.074475068325
1,10,96,4.584863339122,"(-2,8,4)",2,1,10,,0.074475068325
1,10,96,4.584863339122,"(-1,8,8)",1,1,10,,0.074475068325
1,11,117,4.779052869148,"(-9,9,1)",1,1,11,,0.070318408967
1,11,117,4.779052869148,"(-3,9,3)",3,1,11,,0.070318408967
1,11,117,4.779052869148,"(-1,9,9)",1,1,11,,0.070318408967
1,12,140,4.955777460577,"(-10,10,1)",1,1,12,,0.066660399169
1,12,140,4.955777460577,"(-5,10,2)",1,1,12,,0.066660399169
1,12,140,4.955777460577,"(-2,10,5)",1,1,12,,0.066660399169
1,12,140,4.955777460577,"(-1,10,10)",1,1,12,,0.066660399169
1,13,165,5.117957954057,"(-7,5,5)",1,1,13,,0.063412499691
1,13,165,5.117957954057,"(-5,5,7)",1,1,13,,0.063412499691
1,13,165,5.117957954057,"(-11,11,1)",1,1,13,,0.063412499691
1,13,165,5.117957954057,"(-1,11,11)",1,1,13,,0.063412499691
