comprimento,delta,traco,n_classes,coeficiente_da_linha
0.962423650119,-1,1,1,-0.137003421011
1.762747174039,-1,2,1,-0.198378755256
1.924847300238,1,3,1,0.137003421011
2.389526434574,-1,3,1,-0.210955226902
2.633915793850,1,4,2,0.242025647543
2.887270950358,-1,4,2,-0.274006842021
3.133598473945,1,5,2,0.217662607229
3.294462292742,-1,5,1,-0.194731258002
3.525494348078,1,6,3,0.297568132884
3.636892918464,-1,6,2,-0.366083910189
3.849694600477,1,7,3,0.228339035018
3.931440943299,-1,7,1,-0.171895278812
4.126874137791,1,8,4,0.339176474482
4.189425094522,-1,8,2,-0.323429847814
4.369287583210,1,9,2,0.158494937633
4.418695417231,-1,9,2,-0.305115820387
4.584863339122,1,10,6,0.446850409951
4.624876682546,-1,10,2,-0.288711185849
4.779052869148,1,11,3,0.210955226902
4.812118250596,-1,11,2,-0.164404105213
4.955777460577,1,12,4,0.266641596676
4.983559705290,-1,12,4,-0.521577593957
5.117957954057,1,13,4,0.253649998764
5.141629356191,-1,13,1,-0.124430785367
