arquivo,sha256,papel,execucao
DECLARACAO_CERT.md,b7a7980c6275630f1a63c8af40edd28365d06fe7d1243d0ac59886cb2c50f9ac,declaração original,—
DECLARACAO_CERT_CORRECAO1.md,0a693179d2ef34c857babce2a15d3694cc9c9e5cd8b46aa6b3056d93e33e6c8f,adendo 1 (enclausuramento),—
DECLARACAO_CERT_CORRECAO2.md,75eee9402ec292cc70f4052ed1b01c3ba7832e86d548b515b7fa4088b8a1c16c,"adendo 2 (binary64, exportação)",—
DECLARACAO_CERT_RECONF_C1C2.md,a8253e9ca18a90da70c3e7452e4db0113dbd38011fbf48d34524a67f4ae0c5fb,"adendo 3 (c1, c2 internos)",—
cert_calculo.py,95bec52820df9a8fa9830a6283576e6a3afacb6962f2cf38b546a93d4222aeb2,script,4 (vigente)
cert_testes.py,2f69e97211e551f384f553e5409eac2b8b2ac9eda75ee5e395aae9ad2dd68dd2,testes T1–T9,4 (vigente)
cert_testes_resultado.json,13a6508c26d8073eb874450a655ce8355f77d97d73ccff9ebeacec7e12cb04f8,resultado dos testes,4 (vigente)
cert_blocos.csv,7dcc46bd6ed152a2e17f3e9b942cd518ab54dd88370328cb7a845aa99e4acf23,registros por bloco,4 (vigente)
cert_tabela.csv,58b0d493fff66ae0de54f1cd35d5cddde28cbf658880fc63d734063a864b7e0a,registros por par,4 (vigente)
cert_resumo.json,f008d5e2ab7ce085d5dfb836887db9e4e60ededfe822f5d2bc93bccd447246b6,resumo,4 (vigente)
cert_blocos_exec1_pendente.csv,88a0dbfe636ebb5cc9f5c0678baae27842d156c33af31023ef316ac49ea5b47c,preservado,1 (inválida)
cert_blocos_exec1_pendente.csv,88a0dbfe636ebb5cc9f5c0678baae27842d156c33af31023ef316ac49ea5b47c,preservado,1 (inválida)
cert_blocos_exec2.csv,9bc6d8ea9cb33d4b9eb4882d28d7b929e925e5682cf08923e40d28d64963c0e3,preservado,2 (substituída)
cert_blocos_exec3.csv,9a7d53470d1efe6b6a76b977fb8ad3915a45f9e8a4b5afaf7c3a207921698b20,preservado,3 (substituída)
cert_calculo_exec1_pendente.py,df9f2a6c639fbd53a0986d94682726a1dd857c31f57d06b7c3a30f05fb05634e,preservado,1 (inválida)
cert_calculo_exec1_pendente.py,df9f2a6c639fbd53a0986d94682726a1dd857c31f57d06b7c3a30f05fb05634e,preservado,1 (inválida)
cert_calculo_exec2.py,cad037a7d86492f02a1be4b25078c1ae297220fec14342c0b5cfb8400515463e,preservado,2 (substituída)
cert_calculo_exec3.py,ca87480a1a7017b54607f5e744c52e709dfd3387e7a70fab916680d8eaf5c866,preservado,3 (substituída)
cert_resumo_exec1_pendente.json,9ab2ae0c1b1ec3fdb4007ca4a709f9b13ffdd37680a216fdfb89bf16ce88ebea,preservado,1 (inválida)
cert_resumo_exec1_pendente.json,9ab2ae0c1b1ec3fdb4007ca4a709f9b13ffdd37680a216fdfb89bf16ce88ebea,preservado,1 (inválida)
cert_resumo_exec2.json,792e80f627567476c5146fdcae1216bcd20d6a7175c7aa52230c8a50d361ced1,preservado,2 (substituída)
cert_resumo_exec3.json,cad3a518c07d5a4c26d16e3be590089e53906297b2d6560652e3d2e19eb2b19f,preservado,3 (substituída)
cert_tabela_exec1_pendente.csv,db8ac7e494d90197bc4ecf44aae5de0f7ae1acd4b74b8f32dc6661cf3135dde4,preservado,1 (inválida)
cert_tabela_exec1_pendente.csv,db8ac7e494d90197bc4ecf44aae5de0f7ae1acd4b74b8f32dc6661cf3135dde4,preservado,1 (inválida)
cert_tabela_exec2.csv,2f689d7d7d2f5be67003365f3bbf8c39158866785048eb04bd490ed3891cae4f,preservado,2 (substituída)
