versao,bloco,L,h_hex,nos_sha256,J,rho,e,max_y_l1,vmin,segundos
m4-v1,b01,2519.123430304,0x1.46eb4cbcf1ef3p-9,2aff26618d77bcddaca7508bf66ea95bf4d468c55b4a74d34629f48f4faf8cd8,423,7.944133400463411e-13,7.944133400469725e-13,0.002735386496256254,3232.718997522064,54.107587814331055
m4-v1,b02,2453.822208231999,0x1.4f9e7f088ec22p-9,3feea8d5bc3743d53e2f526398c0d00fdaae8f70179112d7f0e0f92b7b1d8180,423,7.989077684410139e-13,7.989077684416525e-13,0.002815813328818877,3148.8938860426492,51.485756635665894
m4-v1,b03,2402.0062275519995,0x1.56dbed312ce6bp-9,aa7ac72e74008d2819745d132b6e12b6022e27bcc63a378dfab7d62b31180d89,423,7.975451175841992e-13,7.975451175848356e-13,0.002874791130063519,3082.379352024787,52.69805669784546
m4-v1,b04,2359.917344559999,0x1.5cf9546e5e660p-9,328d3864e8a156f340dc9a1af4e816143beb4d4fcdd8c7aa6bef1e4e94a7e05f,423,7.979868409478674e-13,7.979868409485046e-13,0.002927964852448601,3028.351185370288,41.47960448265076
m4-v1,b05,2325.2104665399966,0x1.622ecf1ba89a3p-9,9998aa3e3b1e8bb310752d84c5ce7974f4469b54a08ccf364d0caa978b1d6e10,423,8.314151237884271e-13,8.314151237891187e-13,0.0030240995173735448,2983.7990648001505,43.0653510093689
m4-v1,b06,2295.722556159002,0x1.66bb73366e0ffp-9,db725457d28aad701e77055c3b18acad73169262e84d52b1d2ecfa2f4012cbd8,423,7.977738028586777e-13,7.977738028593145e-13,0.003007771154092492,2945.9463677670633,44.8093695640564
m4-v1,b07,2268.8117847950016,0x1.6afcb9eeeff7ap-9,32484faeb51daf5a151c82ed24692f068045c46170d8a9096ada61409408ff96,423,8.086447275636133e-13,8.086447275642675e-13,0.0030650825297087432,2911.4018625034846,39.22664475440979
m4-v1,b08,2245.668934068999,0x1.6eba5dd993413p-9,a1ea2222614c4f281c4bd9be0f7776c00d1c2a45975d86c346a7d441ffb803c6,423,7.978792833548895e-13,7.978792833555265e-13,0.0030748142135506406,2881.694117678746,40.88370180130005
m4-v1,b09,2225.336033143998,0x1.72142b8679490p-9,f33b4a5804fe2fe5ce1f84cc35114b2941be2f787399955faac8ed2f45ba9fe2,423,8.253344721143142e-13,8.253344721149957e-13,0.0031533324356710826,2855.5934164566647,43.39239549636841
m4-v1,b10,2206.824139444998,0x1.752ee550d7cb9p-9,fdbc8bbcdf1337bad7f50886ecacb75b493705b02f1017f3b388353e73c155ed,423,7.996186480802799e-13,7.996186480809196e-13,0.0031306677434041713,2831.8302845614785,38.551604986190796
m4-v2,c01,2190.138300437,0x1.7806bd7b3cbbdp-9,b48a79a9df79a5aa59950f763ab02803fa137aa03a0453c5604e73c5ed29f363,423,8.174315094827237e-13,8.174315094833922e-13,0.003196618241017289,2810.41120126422,37.11620283126831
m4-v2,c02,2174.4283332339983,0x1.7abe39e68c5f2p-9,a4818faaddb3471fc9ced0431962fdcbf201d3c8b13b7878aa4c097307280938,423,7.978369017277249e-13,7.978369017283618e-13,0.003175852562552619,2790.2448137090596,30.944937229156494
m4-v2,c03,2160.1463870399966,0x1.7d3f458de8a16p-9,8808836e6d907fcfc9b5bb139e92205789249ae3b5ecb5e876f279fa1732ad7b,423,8.006893509385971e-13,8.006893509392385e-13,0.003213289734734642,2771.9115315151193,34.39100408554077
m4-v2,c04,2146.6535467840004,0x1.7fa4bbf23119fp-9,bf0aeaa08a90162e727a9bdda5bf787eb4fd2533cc6d55060fe24f66386af0ae,423,8.216288667909559e-13,8.216288667916313e-13,0.0032864835221317517,2754.5911996324216,35.688469648361206
m4-v2,c05,2133.987569413999,0x1.81eba969e142cp-9,2412e02c03a2a344449be4090ebe60cd66c7b524999b83ccaa8736ab61cb83c6,423,7.986441196771999e-13,7.98644119677838e-13,0.003236259270281645,2738.3322854597977,35.65507507324219
m4-v2,c06,2122.937795484999,0x1.83ede342738a4p-9,9afe9b7c4fd94eaa35eabbc96e7aacb70dcf20c14bc492ebbf0e51035e3ee029,423,7.979606067783939e-13,7.97960606779031e-13,0.003253301073126973,2724.148040478908,32.282140254974365
m4-v2,c07,2111.4322225270007,0x1.860b0b8d69919p-9,3d557c864c2d4ff3ee10f98807059043cc4f89254669bbcba93a99a7fad51f03,423,7.984922161708911e-13,7.984922161715289e-13,0.003272962552340856,2709.3787007140977,32.965121269226074
