versao,bloco,L,h_hex,nos_sha256,J,rho,e,max_y_l1,vmin,segundos
m4-v1,b01,2519.123430304,0x1.46eb4cbcf1ef3p-9,2aff26618d77bcddaca7508bf66ea95bf4d468c55b4a74d34629f48f4faf8cd8,423,7.941177522516901e-13,7.94117752252321e-13,0.0027353864962562538,3232.718997522064,33.68408727645874
m4-v1,b02,2453.822208231999,0x1.4f9e7f088ec22p-9,3feea8d5bc3743d53e2f526398c0d00fdaae8f70179112d7f0e0f92b7b1d8180,423,7.981189878862653e-13,7.981189878869027e-13,0.002815813328818877,3148.8938860426492,32.074419260025024
m4-v1,b03,2402.0062275519995,0x1.56dbed312ce6bp-9,aa7ac72e74008d2819745d132b6e12b6022e27bcc63a378dfab7d62b31180d89,423,7.970270828633881e-13,7.970270828640237e-13,0.002874791130063519,3082.379352024787,31.821575164794922
m4-v1,b04,2359.917344559999,0x1.5cf9546e5e660p-9,328d3864e8a156f340dc9a1af4e816143beb4d4fcdd8c7aa6bef1e4e94a7e05f,423,7.975580734577785e-13,7.975580734584149e-13,0.002927964852448601,3028.3511853702885,31.495324850082397
m4-v1,b05,2325.2104665399966,0x1.622ecf1ba89a3p-9,9998aa3e3b1e8bb310752d84c5ce7974f4469b54a08ccf364d0caa978b1d6e10,423,8.306798852100471e-13,8.306798852107375e-13,0.0030240995173735443,2983.799064800151,30.573169469833374
m4-v1,b06,2295.722556159002,0x1.66bb73366e0ffp-9,db725457d28aad701e77055c3b18acad73169262e84d52b1d2ecfa2f4012cbd8,423,7.971001045311815e-13,7.971001045318172e-13,0.0030077711540924907,2945.9463677670637,34.61710572242737
m4-v1,b07,2268.8117847950016,0x1.6afcb9eeeff7ap-9,32484faeb51daf5a151c82ed24692f068045c46170d8a9096ada61409408ff96,423,8.079117826398866e-13,8.079117826405396e-13,0.0030650825297087424,2911.4018625034846,34.601858139038086
m4-v1,b08,2245.668934068999,0x1.6eba5dd993413p-9,a1ea2222614c4f281c4bd9be0f7776c00d1c2a45975d86c346a7d441ffb803c6,423,7.973186234175753e-13,7.973186234182113e-13,0.0030748142135506398,2881.6941176787464,29.100094079971313
m4-v1,b09,2225.336033143998,0x1.72142b8679490p-9,f33b4a5804fe2fe5ce1f84cc35114b2941be2f787399955faac8ed2f45ba9fe2,423,8.248061037411369e-13,8.248061037418175e-13,0.003153332435671082,2855.5934164566647,31.908321619033813
m4-v1,b10,2206.824139444998,0x1.752ee550d7cb9p-9,fdbc8bbcdf1337bad7f50886ecacb75b493705b02f1017f3b388353e73c155ed,423,7.988462254690274e-13,7.988462254696658e-13,0.0031306677434041704,2831.830284561479,34.52247405052185
m4-v2,c01,2190.138300437,0x1.7806bd7b3cbbdp-9,b48a79a9df79a5aa59950f763ab02803fa137aa03a0453c5604e73c5ed29f363,423,8.168649337777949e-13,8.168649337784626e-13,0.0031966182410172886,2810.4112012642204,30.43434977531433
m4-v2,c02,2174.4283332339983,0x1.7abe39e68c5f2p-9,a4818faaddb3471fc9ced0431962fdcbf201d3c8b13b7878aa4c097307280938,423,7.972902370432573e-13,7.972902370438933e-13,0.0031758525625526185,2790.24481370906,32.71519470214844
m4-v2,c03,2160.1463870399966,0x1.7d3f458de8a16p-9,8808836e6d907fcfc9b5bb139e92205789249ae3b5ecb5e876f279fa1732ad7b,423,7.99963143442798e-13,7.999631434434382e-13,0.003213289734734642,2771.9115315151193,28.654895782470703
m4-v2,c04,2146.6535467840004,0x1.7fa4bbf23119fp-9,bf0aeaa08a90162e727a9bdda5bf787eb4fd2533cc6d55060fe24f66386af0ae,423,8.211027419380826e-13,8.211027419387571e-13,0.0032864835221317517,2754.5911996324216,33.38746643066406
m4-v2,c05,2133.987569413999,0x1.81eba969e142cp-9,2412e02c03a2a344449be4090ebe60cd66c7b524999b83ccaa8736ab61cb83c6,423,7.978747567086634e-13,7.978747567093003e-13,0.0032362592702816456,2738.332285459798,34.275187492370605
m4-v2,c06,2122.937795484999,0x1.83ede342738a4p-9,9afe9b7c4fd94eaa35eabbc96e7aacb70dcf20c14bc492ebbf0e51035e3ee029,423,7.972873910154071e-13,7.97287391016043e-13,0.003253301073126972,2724.148040478908,29.43619394302368
m4-v2,c07,2111.4322225270007,0x1.860b0b8d69919p-9,3d557c864c2d4ff3ee10f98807059043cc4f89254669bbcba93a99a7fad51f03,423,7.979340213842276e-13,7.979340213848645e-13,0.0032729625523408553,2709.3787007140977,32.725409746170044
m4-v2,c08,2101.3722542079995,0x1.87e910b828c71p-9,6a07b3ef48185b65dd50b03a4257ab183cbdf6e526c176b163c1670a7ddd7169,423,8.318012102471689e-13,8.318012102478611e-13,0.003363484627657391,2696.465037859674,32.12626099586487
m4-v2,c09,2091.670405205994,0x1.89ba6c99216ffp-9,700dc9eb6fc8bf7beed7b4b20fa300070fda8eea30d959f48c6d4509a5f771ea,423,8.01160206487464e-13,8.01160206488106e-13,0.0033118162891975934,2684.011081435201,33.92984914779663
m4-v2,c10,2082.683808087,0x1.8b6d57e096975p-9,1e336d523876804a88e75a324bc86ff761aeabee44db47776e5c71f87a95db2f,423,8.282877295413155e-13,8.282877295420019e-13,0.0033859330047337705,2672.4752712096333,27.50507926940918
m4-v3,d01,2073.682080368999,0x1.8d24c6108510ep-9,92416ca4aead36b08ab9d5196f56751e946e28cc6e8a170c570771dcc97c0219,423,8.432241371207497e-13,8.43224137121461e-13,0.0034476467714283157,2660.920038313122,32.11043882369995
m4-v3,d02,2065.3777489010026,0x1.8ebd8e7f89a13p-9,1dfb1d54b0b57cfb2f0c2e6c1b4edf990a575d07a11c9fd659ee81927847d3e9,423,8.422235884835681e-13,8.422235884842778e-13,0.003456072982872692,2650.260030904696,33.55779457092285
m4-v3,d03,2057.545446997996,0x1.904220a49adcap-9,35c9bd5cdbb2a5f209046207888211593d69f2d4a579fb4fac26a7a80df6aaf6,423,8.432181211056772e-13,8.432181211063885e-13,0.0034574872338752503,2640.2059529054195,36.00426483154297
m4-v3,d04,2049.3240492849945,0x1.91dd3274ecbc9p-9,712e307220e9528e4a81e6118c9859a513490d8d9cbaf7c7f343616eba30c9d7,423,8.611700614258391e-13,8.611700614265811e-13,0.003511847706376233,2629.6524049327786,28.375929832458496
m4-v3,d05,2042.3109697539985,0x1.933e776c239ffp-9,e48037f5f1a43c534336952b3687ac380545bb0d699bf495c2c987ccc35664eb,423,8.382665916822067e-13,8.382665916829097e-13,0.0035014406158926908,2620.6499367576575,37.759873151779175
m4-v3,d06,2035.5292512130036,0x1.9496658d47b8bp-9,0ca2add23c8d03c496e6934c0d35a7efca3f14080703af6d7fef735157e4d6ff,423,8.570721961469369e-13,8.570721961476718e-13,0.003543407445915463,2611.9444593610156,31.365710496902466
m4-v3,d07,2028.8640217929933,0x1.95eaa8d968aaep-9,c96fdef14c1062fc878f6f9b4d5e139050b5a834a2b8cbde8528e4b86e849010,423,7.976936263636628e-13,7.976936263642994e-13,0.003406467921353707,2603.388515361189,28.1754732131958
m4-v3,d08,2022.4547535259917,0x1.9733f881e2c5ep-9,47b85706ccb1555866f520d51a06286c90def2effb26bfe3c44651a820571c2b,423,7.978107985128477e-13,7.978107985134844e-13,0.003416262765117165,2595.161140590308,31.877381324768066
m4-v3,d09,2016.8827698499954,0x1.9853f6689e8d4p-9,31c90cbc86aaaad60857de393f3717312d8bc93f77d844b62cc3f85090d34543,423,7.967178601286641e-13,7.967178601292991e-13,0.0034253377698207827,2588.0085615422945,31.189444303512573
m4-v3,d10,2010.1703648389957,0x1.99b10498e3e57p-9,760b00a71f8bb98f8533512a7b36e35911b4caff424cbef5acdd68259fc7f37f,423,7.967556675638753e-13,7.967556675645104e-13,0.003435423417944177,2579.3920597297924,33.0630247592926
