versao,bloco,rho,vmin_celulas,margem_ok,segundos
m4-v1,b03,7.970270828633881e-13,406.3412008578713,True,99.95079231262207
m4-v1,b02,7.981189878862653e-13,415.1283486811015,True,101.04682612419128
m4-v1,b01,7.941177522516901e-13,426.202374181612,True,102.37661600112915
m4-v1,b04,7.975580734577785e-13,399.2036106451262,True,97.89254641532898
m4-v1,b06,7.971001045311815e-13,388.31721830519933,True,95.91177105903625
m4-v1,b05,8.306798852100471e-13,393.3178884481845,True,97.35880446434021
m4-v1,b07,8.079117826398866e-13,383.753589036596,True,101.4119725227356
m4-v1,b08,7.973186234175753e-13,379.8289378438253,True,106.41103720664978
m4-v1,b09,8.248061037411369e-13,376.3808084490256,True,107.28715252876282
m4-v2,c02,7.972902370432573e-13,367.74769027622835,True,129.1382703781128
m4-v1,b10,7.988462254690274e-13,373.24149227115333,True,140.15339922904968
m4-v2,c01,8.168649337777949e-13,370.4118452782039,True,136.8756229877472
m4-v2,c03,7.99963143442798e-13,365.3257044185227,True,131.01935648918152
m4-v2,c04,8.211027419380826e-13,363.03753809746263,True,135.4312505722046
m4-v2,c05,7.978747567086634e-13,360.88959427751945,True,133.26220726966858
m4-v2,c06,7.972873910154071e-13,359.0157322825679,True,135.335467338562
m4-v2,c08,8.318012102471689e-13,355.35856712614117,True,132.2247817516327
m4-v2,c07,7.979340213842276e-13,357.06457418334634,True,135.67778730392456
m4-v2,c09,8.01160206487464e-13,353.7132912822704,True,143.48181462287903
m4-v2,c10,8.282877295413155e-13,352.1893105281459,True,145.45365524291992
m4-v3,d01,8.432241371207497e-13,350.6627638704449,True,143.4837462902069
m4-v3,d02,8.422235884835681e-13,349.25448427745533,True,106.13811302185059
m4-v3,d03,8.432181211056772e-13,347.9262532237399,True,112.56655097007751
m4-v3,d04,8.611700614258391e-13,346.5320378471392,True,113.57419300079346
m4-v3,d05,8.382665916822067e-13,345.34273358759975,True,139.21951866149902
m4-v3,d06,8.570721961469369e-13,344.1926643901589,True,142.8200182914734
m4-v3,d07,7.976936263636628e-13,343.0623498535861,True,148.12868642807007
m4-v3,d08,7.978107985128477e-13,341.97544216677215,True,109.15302062034607
m4-v3,d09,7.967178601286641e-13,341.0305243327941,True,99.60759711265564
m4-v3,d10,7.967556675638753e-13,339.8922095830393,True,92.79638338088989
