versao,bloco,p,r,eligible,B_rel_sup,Sabs_rel_sup,P_abs_sup,C_abs_sup,total_sup,certificado
m4-v1,b01,2,1,True,0.000000214503813,0.000000001604188,4.5030679197890426e-12,1.0349879675902366e-09,0.000000222770854,True
m4-v1,b01,3,1,True,0.000000171370201,0.000000001128385,5.547340943762478e-12,1.0349773114834929e-09,0.000000177652279,True
m4-v1,b01,2,2,False,0.000000314453784,0.000000002592640,1.0190844705630687e-11,1.1271825572151106e-09,0.000000327356397,True
m4-v1,b01,5,1,True,0.000000179308722,0.000000001250498,9.623663315136985e-12,1.2690807367025966e-09,0.000000186140463,True
m4-v1,b01,7,1,True,0.000000153044467,0.000000001272380,1.2481502148739074e-11,1.194724275985512e-09,0.000000159473377,True
m4-v1,b01,2,3,False,0.000000459670905,0.000000003944729,2.119619179105303e-11,1.2187719631502305e-09,0.000000479511346,True
m4-v1,b01,3,2,False,0.000000315718755,0.000000002290326,1.9003482336583322e-11,1.181072514083613e-09,0.000000328304298,True
m4-v1,b01,11,1,True,0.000000143542212,0.000000001273021,3.1917447864181375e-11,1.1598922073351325e-09,0.000000149993960,True
m4-v1,b01,13,1,True,0.000000199946268,0.000000001381920,2.832547415384653e-11,1.459660255709124e-09,0.000000207899342,True
m4-v1,b01,2,4,False,0.000000670175467,0.000000005651107,3.310009563712126e-11,1.3089833890035451e-09,0.000000700157798,True
m4-v1,b01,17,1,True,0.000000189093667,0.000000001428492,3.351978788272565e-11,1.406505422499557e-09,0.000000197105786,True
m4-v1,b01,19,1,True,0.000000211138956,0.000000001661700,5.006508394211217e-11,1.5845556327319994e-09,0.000000220402889,True
m4-v1,b01,23,1,True,0.000000193317545,0.000000001554370,5.397432779813945e-11,1.4447107285645104e-09,0.000000202073337,True
m4-v1,b01,5,2,False,0.000000441809701,0.000000003601577,7.14480277385093e-11,1.6490830198096797e-09,0.000000462203501,True
m4-v1,b01,3,3,False,0.000000576246070,0.000000004854200,6.46466485719626e-11,1.4460661745864374e-09,0.000000603547835,True
m4-v1,b01,29,1,True,0.000000194798019,0.000000001624194,7.736296955138083e-11,1.452510385692262e-09,0.000000204108616,True
m4-v1,b01,31,1,True,0.000000214672208,0.000000001813637,8.081901657110517e-11,1.6026644363453323e-09,0.000000225060980,True
m4-v1,b01,2,5,False,0.000000974738052,0.000000008359217,1.1761927396599195e-10,1.4625787459133059e-09,0.000001023611811,False
m4-v1,b01,37,1,True,0.000000232217553,0.000000001866438,1.2753016837589276e-10,1.6718494413401388e-09,0.000000243606601,True
m4-v1,b01,41,1,True,0.000000224673908,0.000000001908089,1.4225229315892458e-10,1.6512856019045358e-09,0.000000236297394,True
m4-v1,b01,43,1,True,0.000000189317621,0.000000001717311,1.23698151261743e-10,1.4342802075565672e-09,0.000000199568274,True
m4-v1,b01,47,1,True,0.000000246575335,0.000000002073292,2.208302212476089e-10,1.7858478887951377e-09,0.000000259873959,True
m4-v1,b01,7,2,False,0.000000440225584,0.000000004387756,1.7340164075633728e-10,1.7440447862973627e-09,0.000000466282815,True
m4-v1,b01,53,1,True,0.000000260091206,0.000000002094151,2.625056421782899e-10,1.836978993983774e-09,0.000000274279584,True
m4-v1,b01,59,1,False,0.000000201688416,0.000000002499888,3.222709058235222e-10,1.8209704624032812e-09,0.000000216872094,True
m4-v1,b01,61,1,False,0.000000269624130,0.000000002268144,2.646806038281456e-10,1.934334224645574e-09,0.000000285017562,True
m4-v1,b01,2,6,False,0.000001414142495,0.000000013599837,2.989553514024072e-10,1.8286750856717144e-09,0.000001504887833,False
m4-v1,b01,67,1,False,0.000000268344741,0.000000002416135,4.896425933141474e-10,2.002653438551521e-09,0.000000286003253,True
m4-v1,b01,71,1,False,0.000000241490586,0.000000002416927,3.504437154446868e-10,1.922168035259598e-09,0.000000258020587,True
m4-v1,b01,73,1,False,0.000000247906281,0.000000002698798,5.693703669154842e-10,2.0854170140101527e-09,0.000000267213842,True
m4-v1,b01,79,1,False,0.000000230053612,0.000000002803280,7.961728720089669e-10,2.0924619678832435e-09,0.000000251316800,True
m4-v1,b01,3,4,False,0.000001043441871,0.000000010761151,8.431852613141077e-10,2.1316407133333583e-09,0.000001130764358,False
m4-v1,b01,83,1,False,0.000000252439314,0.000000002833973,1.0488278064567443e-09,2.192456546594927e-09,0.000000276267410,True
m4-v1,b01,89,1,False,0.000000232323159,0.000000002926196,1.1551174969263683e-09,2.2043836508845197e-09,0.000000257431589,True
m4-v1,b01,97,1,False,0.000000304178674,0.000000002994069,1.564289132657537e-09,2.4636597676135928e-09,0.000000334415814,True
m4-v1,b01,101,1,False,0.000000240901514,0.000000003196740,2.5889647429747348e-09,2.4235563267168993e-09,0.000000278389538,True
m4-v1,b01,103,1,False,0.000000229321150,0.000000003340452,1.2183322982604216e-09,2.4916644516805227e-09,0.000000258183778,True
m4-v1,b01,107,1,False,0.000000266440617,0.000000002949494,3.04706161394987e-09,2.3916142665132418e-09,0.000000307213034,True
m4-v1,b01,109,1,False,0.000000317570919,0.000000003412027,3.1129665884449337e-09,2.8082698629085904e-09,0.000000362380807,True
m4-v1,b01,113,1,False,0.000000228599969,0.000000003344973,5.127544736914565e-09,2.553563840072916e-09,0.000000286206440,True
m4-v1,b01,11,2,False,0.000000488061024,0.000000007311215,9.951449084222797e-09,2.851605186228935e-09,0.000000679884800,True
m4-v1,b01,5,3,False,0.000000967670843,0.000000009693173,1.7696762141432095e-08,2.813957733339201e-09,0.000001424986153,False
m4-v1,b01,127,1,False,0.000000302387723,0.000000003288603,9.955669347341052e-09,2.8257752865261335e-09,0.000000399090069,True
m4-v1,b01,2,7,False,0.000002079069320,0.000000022839113,1.9333518374561792e-08,2.7952970925262502e-09,0.000003236625441,False
m4-v1,b01,131,1,False,0.000000269358885,0.000000003530642,2.46713938460042e-08,2.9455589069826087e-09,0.000000476579233,True
m4-v1,b01,137,1,False,0.000000331986819,0.000000003841240,9.584260017692938e-08,3.3442205503830066e-09,0.000001077139509,False
m4-v1,b01,139,1,False,0.000000338847758,0.000000003803100,1.0326253265065237e-07,3.3764944657089237e-09,0.000001143097872,False
m4-v1,b02,2,1,True,0.000000318676444,0.000000001666385,8.517045205283573e-12,1.3670365331653713e-09,0.000000329159751,True
m4-v1,b02,3,1,True,0.000000233344842,0.000000001471865,1.0538077349518406e-11,1.3734408149136469e-09,0.000000241671520,True
m4-v1,b02,2,2,False,0.000000395934003,0.000000002537879,1.3853357369923253e-11,1.2881047118271704e-09,0.000000410273769,True
m4-v1,b02,5,1,True,0.000000196248990,0.000000001284624,1.5246613296803876e-11,1.3437346182667933e-09,0.000000203465246,True
m4-v1,b02,7,1,True,0.000000213976017,0.000000001444165,1.6627332012623438e-11,1.531511869266635e-09,0.000000222032995,True
m4-v1,b02,2,3,False,0.000000590901225,0.000000003905574,1.9784102100526657e-11,1.4071450416448345e-09,0.000000613099248,True
m4-v1,b02,3,2,False,0.000000428985856,0.000000002875491,2.1217542544917315e-11,1.5424852966403371e-09,0.000000445276046,True
m4-v1,b02,11,1,True,0.000000182384210,0.000000001302743,2.783371989937933e-11,1.3393849420795853e-09,0.000000189627878,True
