versao,bloco,A_star,B_star,janela_igual_AB,D_sup,D_antigo_herdado,D_novo_sobre_antigo
m4-v1,b01,678855986813749/68719476736,3407875323110549/274877906944,True,0.000003220602541,0.000003220602544,0.9999999985002972
m4-v1,b02,852031620538343/68719476736,510328499345611/34359738368,True,0.000001991474072,0.000001991474073,0.999999998501637
m4-v1,b03,2041423574490129/137438953472,4743105593276205/274877906944,True,0.000001358347406,0.000001358347408,0.9999999977807176
m4-v1,b04,9486799482453921/549755813888,10784177762920911/549755813888,False,0.000000988735922,0.000000988735923,0.9999999974319157
m4-v1,b05,168512027933553/8589934592,1507883470030123/68719476736,True,0.000000753812742,0.000000753812743,0.9999999970661236
m4-v1,b06,376972047269145/17179869184,1665649041866859/68719476736,True,0.000000594872800,0.000000594872801,0.9999999963225604
m4-v1,b07,13326015846177477/549755813888,14573308315486139/549755813888,False,0.000000481748956,0.000000481748957,0.999999995465161
m4-v1,b08,113859368084427/4294967296,3952142166844689/137438953472,True,0.000000398667853,0.000000398667854,0.9999999944896109
m4-v1,b09,7904680492799539/274877906944,8516376203837225/274877906944,True,0.000000335729831,0.000000335729832,0.9999999937986757
m4-v1,b10,17033187738869045/549755813888,18246402139757315/549755813888,False,0.000000286812995,0.000000286812995,0.9999999938516788
m4-v2,c01,570213687445731/17179869184,2431359907768427/68719476736,True,0.000000248038601,0.000000248038601,0.9999999927965414
m4-v2,c02,1215695655402977/34359738368,2580816888065727/68719476736,True,0.000000216709709,0.000000216709709,0.9999999937600026
m4-v2,c03,10323467761139217/274877906944,10917244278701415/274877906944,False,0.000000191071074,0.000000191071075,0.999999989479046
m4-v2,c04,1364670018318627/34359738368,2876856945105729/68719476736,True,0.000000169781223,0.000000169781224,0.9999999880291054
m4-v2,c05,11507640367102503/274877906944,12094226403627537/274877906944,False,0.000000151908578,0.000000151908578,0.9999999909465238
m4-v2,c06,12094429448679795/274877906944,12677978146475021/274877906944,False,0.000000136813664,0.000000136813664,0.999999989351241
m4-v2,c07,24762031354655/536870912,3314636530891425/68719476736,True,0.000000123830510,0.000000123830510,0.9999999868112505
m4-v2,c08,13258730667375215/274877906944,13836351474322105/274877906944,False,0.000000112683953,0.000000112683953,0.9999999856993754
m4-v2,c09,6918233316091033/137438953472,7205710307590899/137438953472,True,0.000000102992554,0.000000102992554,0.9999999879400804
m4-v2,c10,14411566809814367/274877906944,14984050575807481/274877906944,False,0.000000094528751,0.000000094528751,0.9999999845772315
m4-v3,d01,14984210782134925/274877906944,15554220172054035/274877906944,False,0.000000087063757,0.000000087063758,0.9999999761982648
m4-v3,d02,15554355326700907/274877906944,16122082039367525/274877906944,False,0.000000080474529,0.000000080474529,0.9999999765610702
m4-v3,d03,16122294208801965/274877906944,16687867994714931/274877906944,False,0.000000074620599,0.000000074620599,0.9999999829877088
m4-v3,d04,16688072105117265/274877906944,17251386010434727/274877906944,False,0.000000069368337,0.000000069368337,0.9999999759589641
m4-v3,d05,17251652994076333/274877906944,17813039158771083/274877906944,False,0.000000064687955,0.000000064687955,0.999999979990125
m4-v3,d06,17813256194309185/274877906944,18372778214405903/274877906944,False,0.000000060471912,0.000000060471912,0.9999999778344119
m4-v3,d07,9186476342146813/137438953472,9465321290039035/137438953472,False,0.000000056657579,0.000000056657579,0.9999999671140056
m4-v3,d08,2366365091576171/34359738368,1217928053884221/17179869184,True,0.000000053198370,0.000000053198370,0.9999999671730264
m4-v3,d09,4871747186504349/68719476736,5010346315086295/68719476736,True,0.000000050067300,0.000000050067300,0.99999996921594
m4-v3,d10,5010382206737037/68719476736,5148520062358987/68719476736,True,0.000000047177417,0.000000047177417,0.9999999597460951
