versao,bloco,p,r,eligible,total_contaminacao_sup,certificado_contaminacao,extra_rhoDelta_rel_sup,total_densidade_sup,certificado
m4-v1,b01,101,1,False,0.000000278389538,True,0.000000046721861,0.000000325111399,True
m4-v1,b01,103,1,False,0.000000258183778,True,0.000000044475896,0.000000302659674,True
m4-v1,b01,107,1,False,0.000000307213034,True,0.000000051675065,0.000000358888099,True
m4-v1,b01,109,1,False,0.000000362380807,True,0.000000061591577,0.000000423972384,True
m4-v1,b01,11,1,True,0.000000149993960,True,0.000000027839424,0.000000177833384,True
m4-v1,b01,11,2,False,0.000000679884800,True,0.000000094657433,0.000000774542233,True
m4-v1,b01,113,1,False,0.000000286206440,True,0.000000044336026,0.000000330542466,True
m4-v1,b01,127,1,False,0.000000399090069,True,0.000000058646858,0.000000457736927,True
m4-v1,b01,13,1,True,0.000000207899342,True,0.000000038778759,0.000000246678101,True
m4-v1,b01,131,1,False,0.000000476579233,True,0.000000052241051,0.000000528820284,True
m4-v1,b01,137,1,False,0.000001077139509,False,0.000000064387481,0.000001141526990,False
m4-v1,b01,139,1,False,0.000001143097872,False,0.000000065718132,0.000001208816004,False
m4-v1,b01,17,1,True,0.000000197105786,True,0.000000036673941,0.000000233779727,True
m4-v1,b01,19,1,True,0.000000220402889,True,0.000000040949535,0.000000261352424,True
m4-v1,b01,2,1,True,0.000000222770854,True,0.000000041602135,0.000000264372989,True
m4-v1,b01,2,2,False,0.000000327356397,True,0.000000060987021,0.000000388343418,True
m4-v1,b01,2,3,False,0.000000479511346,True,0.000000089151286,0.000000568662632,True
m4-v1,b01,2,4,False,0.000000700157798,True,0.000000129977781,0.000000830135579,True
m4-v1,b01,2,5,False,0.000001023611811,False,0.000000189046444,0.000001212658255,False
m4-v1,b01,2,6,False,0.000001504887833,False,0.000000274267131,0.000001779154964,False
m4-v1,b01,2,7,False,0.000003236625441,False,0.000000403226958,0.000003639852399,False
m4-v1,b01,23,1,True,0.000000202073337,True,0.000000037493145,0.000000239566482,True
m4-v1,b01,29,1,True,0.000000204108616,True,0.000000037780277,0.000000241888893,True
m4-v1,b01,3,1,True,0.000000177652279,True,0.000000033236548,0.000000210888827,True
m4-v1,b01,3,2,False,0.000000328304298,True,0.000000061232357,0.000000389536655,True
m4-v1,b01,3,3,False,0.000000603547835,True,0.000000111760560,0.000000715308395,True
m4-v1,b01,3,4,False,0.000001130764358,False,0.000000202371267,0.000001333135625,False
m4-v1,b01,31,1,True,0.000000225060980,True,0.000000041634794,0.000000266695774,True
m4-v1,b01,37,1,True,0.000000243606601,True,0.000000045037642,0.000000288644243,True
m4-v1,b01,41,1,True,0.000000236297394,True,0.000000043574583,0.000000279871977,True
m4-v1,b01,43,1,True,0.000000199568274,True,0.000000036717376,0.000000236285650,True
m4-v1,b01,47,1,True,0.000000259873959,True,0.000000047822275,0.000000307696234,True
