versao,bloco,K,rhoK,largura_S_max,largura_D_max,segundos_reconstrucao,segundos_suave,segundos_discreta
m4-v1,b01,22,665123901938458799196531643381711967649892952250961760933868252662735161987220329085221414443994224679586929596306215409719708300876217868094610859793045490889995194987535585684187887085992555910738454783992803448021729184171711479992045032432107796454533276982961896323940400686369640099955364526900215610297390872246806801485862623829712124398150007686832979737078398976/400115738039596242088900300694435431536247623003240135971934181275781358210141186215095509468070402998099486199247600699860213998008685369532092260417469459543180523122644618169053944023190124933882704767569777813246238083541200306407593083188081964823571149072401593425711658302716815160261635132676084509600585542353304322884787881322724451453791432194446565515335278309413330554962158203125,6.776263578034403e-21,7.79891706770286e-11,36.41099953651428,7.015650033950806,777.3517129421234
m4-v1,b02,20,235973431453027452404397210425723840233943790026500294451016701325694894084066330884271080598696597483144066766581039264542063316659441638604190268932009600237310226157668893297699938835972142725739806776938905516594922661981465651662023606078624484090918466886538419806203455559607555331658554589944654853190291341405083551137792/208864503080506838399739043884209333835435962415875063987740478201665516342906007920907423476366168789052937479339735463065877009033684341557127241247732659614784698756697541405483869555887827220859774533732341646285527918349337886767517805383414940627463525739718755819000002675950283929798858390938597469308874772729111369070046670676326751708984375,6.776263578034403e-21,7.250378075696062e-11,36.8456506729126,5.8818159103393555,777.193035364151
m4-v1,b03,18,1921167432716525330164627495558968622923115435874909964946642912917047159066796393102153983769796693090464880901605050198797319896872258893738276201546635554201676304635501615344048240105289463765512753319238730476004145375626740836810715200762282753536199578901624066681755697360483806762850483726974976/438622702983525553793420867209713722633024609308658241463143390713522964427312595443481679821745360526523313104285469611843901072106854858938445757093596814694064868134255562772070990207424756531910206626840601543757401244291483036181838855138948000925174053757329120064052973176087194749281655762187877927441270467152492607,1.3552527156068805e-20,7.065636964398436e-11,35.368674516677856,5.970136642456055,767.6283531188965
m4-v1,b04,17,1589198801055342661484389150979327247766594861796468471342533632326285724298246048022075971118555822026480617328085946989680625286632914423828448808906115983223917730567129933791801027528310491842468418986620360134520181227052821458166138308899309523162841796875000/439120761908635594897718717705265884846242553436791612291595276574536891435517457754665150878961344286263566206158956619912726272747089899540825307130648692068957396440387663166562890358186524119369475406059426650277569127712063266163103932162210139664751378870883167376717567519157217,1.0164395367051604e-20,7.23048287909478e-11,33.302042961120605,6.0580596923828125,583.3874223232269
m4-v1,b05,16,2442861722325787765657639449427093298255664642687751646843771328687891233941156757049745831946124084061097428820677495375771680211612389761819851619543988609010005312574696228800764374065322422674566020281930678217586945886590219845529567438062418062625818951684588568576/410877357703674564840069095287457710692760679071401404351127497964907632081033735232943659521583615035849430074189533246968902127750684704088113617292548647699898463688265380637755259080036462675105169710530576737079864804409784950923135597958227014721777262246854134516378544596421262355943,1.6940658945086007e-20,5.67297320230864e-11,32.28878664970398,5.062495470046997,587.0997676849365
m4-v1,b06,16,170381954116683525028249865305348016201780999038497654299962154976262270464432386785022013329247362695004221817827595253353130745236900467164338994217245253564117713755763687614761324871070265920366257069440769917120650747262655435609379032249454624248687719612416/217907665669428429250425813794255553724235997875731359769317079861472566098099617693630368143050081068218849086660632344574185572521975793821604081391158391150586850597025106307401589640009766927786173800540923548859825937102813917349944344865225050450816134311538238196783208396286135,6.776263578034403e-21,5.162803518032888e-11,33.05400276184082,4.972654104232788,522.4234170913696
m4-v1,b07,15,326551120142214851978635916997940228872943331112370095103922441987047468486745453020652287999539278377136397560468452877006221407976727620866112610240784073085141805091716363360031183181471708169633769338838563108323306310458932985267088852565756334011/108548872525627046400583913724148004250614582292014932227814598610603886245804350175664297799087962789649662429289805634962636434815412126123373084410197865380554484156334172286273865391339675207591395663618703712471523185137905774977877546227217323629109912898151433371648,1.0164395367051604e-20,6.31246166449273e-11,24.249215602874756,4.2454094886779785,435.05410861968994
m4-v1,b08,15,1140415659573908649985886385008050272289899114391621915258457806338769902900863155172128147399849628097156416289620085220311634256689458796899522301191386190931801017704794347776691660495813220634158869000530028933406720000000000000000000000000000000000/1773267121523048134992472114411710568187195418081050408186630874155332341820103552706725930842857126798497943438936668886266673699533197783297797502167000017871160491416639760300118932851428874573738611517975086203839083168294522434885852757234109235157695809435645658204783,6.776263578034403e-21,5.118749868415762e-11,16.628177165985107,2.186642646789551,444.7913272380829
m4-v1,b09,14,2343981440764127666491445930625345959887222065111330429746343366154893776769317630576964737310432305587821367503119183385274446510485370758052004331737442803482295093258447951284656383657008534905502871429158670365102858600351629588812387057664/518033546675776628341748659333817278836448879724405753249736296430881455816381706107633666013391856114825954138926196959151240875000640622603812855326408279677432717574069683222160270671656917152979555844776256980972806186685110429396932635204127284580759823773185,2.0328790734103208e-20,5.134381808602484e-11,19.392345190048218,2.159961462020874,478.66555166244507
m4-v1,b10,14,8959769790006327090780138173676985176568652633036712108767708164047999246736643318980008646827450061055719881813847802697986420712632080096013422626865818263874156667980088069928600484123281900413278265748298640919696088747082776576/6643886673784283210880324297316866730167938777587527259040631687852781486969520123618324096499901238390980087081518514792839642330437772762989445244325593412901066595496435671699393613294574941789980478301957545270180858598271966706656339276066843454749,6.776263578034403e-21,6.033928912074771e-11,22.238032579421997,4.040253639221191,491.5339696407318
