versao,bloco,p,r,eligible,r_hat,q_inf,q_sup,eps_sup,absq_inf,total_ordenadas_sup,T_certificado,alarme
m4-v1,b01,2,1,True,1.000000000281393,0.000000000241917,0.000000000320643,0.000000000039474000,0.000000000241917,0.000000285280810,True,False
m4-v1,b01,3,1,True,0.999999999999407,-0.000000000030871,0.000000000030130,0.000000000030721098,0,0.000000236505151,True,False
m4-v1,b01,2,2,False,1.000000000086397,0.000000000030768,0.000000000141694,0.000000000055627357,0.000000000030768,0.000000446477119,True,False
m4-v1,b01,5,1,True,1.000000000214397,0.000000000187520,0.000000000241433,0.000000000027034143,0.000000000187520,0.000000253820943,True,False
m4-v1,b01,7,1,True,1.0000000002357148,0.000000000208947,0.000000000261727,0.000000000026766242,0.000000000208947,0.000000227915151,True,False
m4-v1,b01,2,3,False,0.9999999985940862,-0.000000001484854,-0.000000001328368,0.000000000078938878,0.000000001328368,0.000000690471041,True,False
m4-v1,b01,3,2,False,0.9999999988039976,-0.000000001248495,-0.000000001143461,0.000000000052539581,0.000000001143461,0.000000475900516,True,False
m4-v1,b01,11,1,True,1.0000000002999183,0.000000000272969,0.000000000326640,0.000000000026947345,0.000000000272969,0.000000226141113,True,False
m4-v1,b01,13,1,True,0.9999999999143803,-0.000000000112683,-0.000000000058145,0.000000000027472901,0.000000000058145,0.000000299211717,True,False
m4-v1,b01,2,4,False,0.9999999993248354,-0.000000000784811,-0.000000000563920,0.000000000111243336,0.000000000563920,0.000001060963051,False,False
m4-v1,b01,17,1,True,1.0000000002318252,0.000000000204050,0.000000000260451,0.000000000028624461,0.000000000204050,0.000000293441924,True,False
m4-v1,b01,19,1,True,1.000000000044234,0.000000000015335,0.000000000072731,0.000000000028897796,0.000000000015335,0.000000324445107,True,False
m4-v1,b01,23,1,True,0.9999999998999884,-0.000000000129655,-0.000000000070435,0.000000000029641844,0.000000000070435,0.000000308743832,True,False
m4-v1,b01,5,2,False,1.0000000020032431,0.000000001944554,0.000000002063934,0.000000000060689652,0.000000001944554,0.000000691499591,True,False
m4-v1,b01,3,3,False,1.0000000000623321,-0.000000000026639,0.000000000154598,0.000000000092264202,0,0.000000940441533,True,False
m4-v1,b01,29,1,True,1.0000000003801308,0.000000000349072,0.000000000410946,0.000000000031056977,0.000000000349072,0.000000319703236,True,False
m4-v1,b01,31,1,True,1.0000000004086969,0.000000000377279,0.000000000440017,0.000000000031416825,0.000000000377279,0.000000347507036,True,False
m4-v1,b01,2,5,False,0.9999999985638752,-0.000000001592110,-0.000000001280104,0.000000000156019369,0.000000001280104,0.000001619230192,False,False
