versao,bloco,nI,A_dec,B_dec,eta,S2,rest_unit,edge_unit,segundos
m4-v1,b01,3000,9878654772383/1000000000,12397778202687/1000000000,1611087817/536870912000000000,497356821725032076456796428073990466032581264961445285926085482142593/20395202562599893500481895994679979771831039716181812938742314303488,13428634186575866064333503557997742582879694153959022720004308017850011/40790405125199787000963791989359959543662079432363625877484628606976000000000000000,6378215312882321972695188777926582798621161273513394456966141823420947995595627264219380738574810034225989511/2328720463979310263460900557270710436513053203672648063277982704978007070133238876225152117534097875197995473960960000000000000000,622.7967848777771
m4-v1,b02,3000,6199345956981/500000000,7426257061097/500000000,201369833/67108864000000000,52436098927780320934284057788059369082087729494064014012016443927993/2150170031286424044988828723637695158216051737803983077811880460288,1415774671050068665225669560277602965216368696339728378324443986055811/4300340062572848089977657447275390316432103475607966155623760920576000000000000000,45255238276243580886463214131303066346002483560123545409351850919915214096360620311365436568997156536905049/15344126080395251443428324510329194721491715345154185932056836452557480626962934691123047928852618562173990338560000000000000000,663.8740522861481
m4-v1,b03,3000,2970662280117/200000000,17255317628137/1000000000,322154611/107374182400000000,50246639464239692513035298848030028044713632421151899395282490797497/2060320942887430184712566875414511817943565668606891269269416312832,1356659265534471697851953068896810757207268075371101283672627251532419/4120641885774860369425133750829023635887131337213782538538832625664000000000000000,47134982186751225239893534870276664097774085998341211862382204364489411018966444120255312311525817025824073/15055812157285644670591234915634160821709231979845293492551148007112534569260714233082263433384870017735556501340160000000000000,600.6061561107635
m4-v1,b04,3000,4314096933037/250000000,4904076269177/250000000,3224763989/1073741824000000000,1940102377978793811009180888293012882227267440698648606725893910177/79550001970095496623863318896176218736483648856152435881932750848,5820307133936381433027542664879038646681802322095945820177681730531/17677778215576777027525181976928048608107477523589430195985055744000000000000000,149710778980920525911822125109987432148992410614599254075206276938238165068620733249531569636297910778149383/45415022706629344201999098143112884085278799482607198473779500196877329650637077959354279984184839324042054860800000000000000000,573.1227941513062
m4-v1,b05,3000,9808690981797/500000000,10971296215067/500000000,402884361/134217728000000000,423787951670447171696309776865029748087225687801909840081798251944833/17376154395575917844192857522498957801125702087928510952611996762112,11442274695102073635800363975355803198355093570651565682208552802510491/34752308791151835688385715044997915602251404175857021905223993524224000000000000000,3406117278160228744458761322680583812720202554652598835473440598257637304760952720670903982723071839854819243/992003050767530065770282375754955616246224141002792003197873761366958477498612480147310726672174353193171964395520000000000000000,463.8358368873596
m4-v1,b06,3000,10971330550649/500000000,24238383657457/1000000000,402839863/134217728000000000,45901779041366513931909286017882878481075510331691103678887703031225/1882025145379594094594929699307692627315320327874917594653039525888,49573921364675835046462028899313508759561551158226391973198719273723/150562011630367527567594375944615410185225626229993407572243162071040000000000000,95599524219777568105327583919488659070578041370905541840282945188246407778916395545871381315135940225855781/26861160463576243831883246952144742779361338936271814120367257192587272692760202410597413436060534106401926021120000000000000000,617.7414503097534
m4-v1,b07,3000,24239881615681/1000000000,6627173350119/250000000,3223751623/1073741824000000000,403495530669274278679791077946046383961784478737043828534360466545537/16543449389036002124583177862942159331965533438559012648631876452352,10894379328070405524354359104543252366968180925900183370427732596729499/33086898778072004249166355725884318663931066877118025297263752904704000000000000000,222476126630089905791575958489849496908009200365364865568166121947772411991642783706115373502785181037462325111/60445695922942606592501931051967483017860464295180113774125342206747317996696114626344186073626390248434751640698880000000000000000,559.4567313194275
m4-v1,b08,3000,10355449202/390625,28755618891189/1000000000,805700427/268435456000000000,1756945394775814598594019413857839811099081421421918619384810639009/72034089746151197630872712567612413939235202694654818597522636800,47437525658946994162038524174161674899675198378391802723389887253243/144068179492302395261745425135224827878470405389309637195045273600000000000000000,1557068194207133801803742223706611998586993230424866936775321094504108480440913300235028941573131574960881779/411241953545473360524134973598675813619120394305318634756963465518352586958257191268826643020115235195112652800000000000000000000,503.26355624198914
m4-v1,b09,3000,7189265027409/250000000,1549119807139/50000000,1611349971/536870912000000000,388192611400663265900333828457123274893875965805189212060281497017217/15915501535169347612022642400414948155456926233519538645152900841472,10481200507817908179309013368342328422134651076740108725627600419464859/31831003070338695224045284800829896310913852467039077290305801682944000000000000000,466761833547525105820462247802608539833763648399182955424467371695547660233084845533404625806557965612196569/120147373722068700980660618626205550721551768619644323520550599814205129959426408932469468378815353870133776875520000000000000000,602.9404149055481
m4-v1,b10,3000,3098318800561/100000000,6638002429011/200000000,3223646417/1073741824000000000,1696739800208122247252848339741044120520361575125690591207619071649/69563602065853346115849253773792411309994121832216788052677230592,45811974605619300675826905173008191254049762528393645962605714934523/139127204131706692231698507547584822619988243664433576105354461184000000000000000,5058174269811201263622672272889838020369958526427985503485843766032339954354645199555361610765176364865583987/1270841478973500575932400338441874245446523176348424317884822171532043456918378456315368456196353851939296274022400000000000000000,460.68496322631836
