versao,bloco,p,r,eligible,a_l1_sup,a_l1_float,a_l1_dif_rel,B_rel_sup,Sabs_rel_sup,Sabs_rel_float,total_sup,orcamento2_hibrido,certificado
m4-v1,b01,2,1,True,0.002015297019769371,0.0020152970197673346,1.0105249970138175e-12,0.000000214503841,0.000000001604188,8.527016137728177e-11,0.000000216108028,2.1450412627461502e-07,True
m4-v1,b01,3,1,True,0.0020835921499252805,0.0020835921499236156,7.991385331251877e-13,0.000000171370223,0.000000001128385,5.266605401688018e-11,0.000000172498607,1.7137049908505554e-07,True
m4-v1,b01,2,2,False,0.0020890357556304392,0.002089035755629265,5.622169396701793e-13,0.000000314453825,0.000000002592640,3.188966695450274e-10,0.000000317046463,3.144539115063629e-07,True
m4-v1,b01,5,1,True,0.0024739118619166852,0.0024739118619119048,1.9324541966625475e-12,0.000000179308746,0.000000001250498,1.3818722026731067e-10,0.000000180559242,1.7930911790847688e-07,True
m4-v1,b01,7,1,True,0.0021576697659673755,0.002157669765961605,2.674527266322002e-12,0.000000153044486,0.000000001272380,1.6489274319919752e-10,0.000000154316865,1.5304476456714393e-07,True
m4-v1,b01,2,3,False,0.0021593401834186176,0.0021593401834197512,-5.250244683452365e-13,0.000000459670964,0.000000003944729,4.741447751065048e-10,0.000000463615692,4.5967260904791875e-07,True
m4-v1,b01,3,2,False,0.002216241903928314,0.0022162419039277064,2.7422508708241367e-13,0.000000315718796,0.000000002290326,3.797311890359615e-10,0.000000318009121,3.157188710474897e-07,True
m4-v1,b01,11,1,True,0.0019893311569592824,0.001989331156956831,1.2321255127289987e-12,0.000000143542231,0.000000001273021,1.925752285528982e-10,0.000000144815250,1.435426929068559e-07,True
m4-v1,b01,13,1,True,0.0027265533640301507,0.002726553364026509,1.3355982986240633e-12,0.000000199946294,0.000000001381920,1.651251373322331e-10,0.000000201328212,1.9994639650559136e-07,True
m4-v1,b01,2,4,False,0.0022261149154423677,0.0022261149154426388,-1.2179146580137967e-13,0.000000670175554,0.000000005651107,5.573554461793455e-10,0.000000675826659,6.70177098028156e-07,True
m4-v1,b01,17,1,True,0.0024907227281832783,0.0024907227281795075,1.5139001163788635e-12,0.000000189093692,0.000000001428492,2.1430424488451461e-10,0.000000190522182,1.8909378766588164e-07,True
m4-v1,b01,19,1,True,0.0027339320136526876,0.002733932013648283,1.6109336087311021e-12,0.000000211138984,0.000000001661700,1.8207649285435427e-10,0.000000212800682,2.1113990124948943e-07,True
m4-v1,b01,23,1,True,0.0024227407141896506,0.0024227407141843437,2.190470027585434e-12,0.000000193317570,0.000000001554370,1.7303233178830504e-10,0.000000194871938,1.933176949955231e-07,True
m4-v1,b01,5,2,False,0.002726045208617543,0.0027260452086134658,1.4956924587750109e-12,0.000000441809758,0.000000003601577,4.053672996763501e-10,0.000000445411333,4.418118444702851e-07,True
m4-v1,b01,3,3,False,0.002335415353415437,0.002335415353410395,2.1589396936860794e-12,0.000000576246145,0.000000004854200,5.380515558867492e-10,0.000000581100343,5.762488736720301e-07,True
m4-v1,b01,29,1,True,0.0023348575651448824,0.0023348575651382644,2.8343993818680246e-12,0.000000194798045,0.000000001624194,1.7809583531245333e-10,0.000000196422237,1.9479818132158047e-07,True
m4-v1,b01,31,1,True,0.002537974364567383,0.002537974364567133,9.836575998178887e-14,0.000000214672236,0.000000001813637,2.473443741752559e-10,0.000000216485872,2.146723336025737e-07,True
m4-v1,b01,2,5,False,0.002289454287723289,0.0022894542877172786,2.625233364028645e-12,0.000000974738178,0.000000008359217,1.3970237709835015e-09,0.000000983097393,9.747430407947208e-07,True
m4-v1,b01,37,1,True,0.0026424414913222014,0.0026424414913185216,1.3926637620897964e-12,0.000000232217583,0.000000001866438,2.566786365056371e-10,0.000000234084020,2.3221856940400618e-07,True
m4-v1,b01,41,1,True,0.0024977337944458995,0.0024977337944406567,2.098987650356321e-12,0.000000224673937,0.000000001908089,2.968107490765848e-10,0.000000226582025,2.2467439209963914e-07,True
m4-v1,b01,43,1,True,0.002081502005319511,0.0020815020053236905,-2.0078383400345956e-12,0.000000189317646,0.000000001717311,3.208713882128879e-10,0.000000191034955,1.8931776725729373e-07,True
m4-v1,b01,47,1,True,0.002654432372496861,0.002654432372496935,-2.7977620220553945e-14,0.000000246575367,0.000000002073292,3.045230443486375e-10,0.000000248648658,2.4657673190803825e-07,True
m4-v1,b01,7,2,False,0.0023458141682031223,0.0023458141681954392,3.2751579226442118e-12,0.000000440225641,0.000000004387756,5.270623426223192e-10,0.000000444613395,4.4022806234708083e-07,True
m4-v1,b01,53,1,True,0.002718965865100232,0.0027189658650963373,1.432409746371377e-12,0.000000260091240,0.000000002094151,3.0495709003723767e-10,0.000000262185389,2.6009231480936393e-07,True
m4-v1,b01,59,1,False,0.002052326674336398,0.002052326674342333,-2.8917979122411452e-12,0.000000201688442,0.000000002499888,2.9974968985739524e-10,0.000000204188329,2.016894113361081e-07,True
m4-v1,b01,61,1,False,0.0027203298865576117,0.0027203298865534804,1.5185630530822891e-12,0.000000269624165,0.000000002268144,3.2691763976200073e-10,0.000000271892307,2.6962459891377004e-07,True
m4-v1,b01,2,6,False,0.0023486712490126795,0.002348671249016572,-1.6574519534628962e-12,0.000001414142677,0.000000013599837,1.7377102572302377e-09,0.000001427742513,1.4141492656710335e-06,False
m4-v1,b01,67,1,False,0.0026423084997946973,0.00264230849979497,-1.0325074129013956e-13,0.000000268344775,0.000000002416135,3.420187864607692e-10,0.000000270760909,2.683460913544293e-07,True
m4-v1,b01,71,1,False,0.0023417866846505457,0.0023417866846416613,3.793854119749085e-12,0.000000241490617,0.000000002416927,3.9999084032021206e-10,0.000000243907543,2.414910712662505e-07,True
m4-v1,b01,73,1,False,0.00238629143780748,0.0023862914378027294,1.9908519277578307e-12,0.000000247906313,0.000000002698798,3.40610257536196e-10,0.000000250605109,2.479066644435395e-07,True
m4-v1,b01,79,1,False,0.0021678820691745236,0.0021678820691660404,3.913092072593827e-12,0.000000230053642,0.000000002803280,3.438726616103214e-10,0.000000232856920,2.3005480689609173e-07,True
m4-v1,b01,3,4,False,0.002441539683148951,0.002441539683149622,-2.7478019859472624e-13,0.000001043442006,0.000000010761151,1.655267434582135e-09,0.000001054203156,1.043445003922004e-06,False
m4-v1,b01,83,1,False,0.002347036613161039,0.002347036613164427,-1.4435119766176285e-12,0.000000252439347,0.000000002833973,4.157024856771301e-10,0.000000255273319,2.524403600612147e-07,True
m4-v1,b01,89,1,False,0.002118875834115197,0.0021188758341103963,2.2657431486550195e-12,0.000000232323189,0.000000002926196,3.6315630901900367e-10,0.000000235249383,2.3232477277001513e-07,True
m4-v1,b01,97,1,False,0.002708321013993795,0.0027083210139901386,1.3500311979441904e-12,0.000000304178713,0.000000002994069,4.379727783530302e-10,0.000000307172780,3.041794471246315e-07,True
m4-v1,b01,101,1,False,0.00212058395830035,0.0021205839582875787,6.022515819381624e-12,0.000000240901545,0.000000003196740,4.623624618663557e-10,0.000000244098284,2.409025389863181e-07,True
m4-v1,b01,103,1,False,0.002007443931997558,0.0020074439319990116,-7.241984789629896e-13,0.000000229321179,0.000000003340452,4.525740380192077e-10,0.000000232661629,2.293224694600924e-07,True
m4-v1,b01,107,1,False,0.0023071827580722483,0.002307182758063359,3.852917984659143e-12,0.000000266440651,0.000000002949494,3.904199963061737e-10,0.000000269390144,2.6644279575781277e-07,True
m4-v1,b01,109,1,False,0.0027353864962584265,0.0027353864962549757,1.2614354005791029e-12,0.000000317570960,0.000000003412027,4.470864372427971e-10,0.000000320982986,3.175716091431562e-07,True
m4-v1,b01,113,1,False,0.0019487303962627226,0.0019487303962585996,2.1156409957256983e-12,0.000000228599999,0.000000003344973,4.962300503051929e-10,0.000000231944970,2.2860092258116384e-07,True
m4-v1,b01,11,2,False,0.002039413251563937,0.0020394132515619994,9.50128864474209e-13,0.000000488061087,0.000000007311215,9.849406291468581e-10,0.000000495372301,4.880635083496511e-07,True
m4-v1,b01,5,3,False,0.002670179521417725,0.002670179521416975,2.808864252301646e-13,0.000000967670968,0.000000009693173,1.4538155336002019e-09,0.000000977364140,9.676763882659518e-07,True
m4-v1,b01,127,1,False,0.002491591179299935,0.002491591179298541,5.595524044110789e-13,0.000000302387762,0.000000003288603,4.436711842983899e-10,0.000000305676364,3.023882557363238e-07,True
