versao,bloco,p,r,T,c,resolved,clearly_detectable,eligible,margin,e_rec,escala_suficiente_F,tau,e_lin_U5.5,d_U5.5,e_lin_U6.0,d_U6.0,e_lin_U7.0,d_U7.0,e_lin_U8.0,d_U8.0,e_lin_U10.0,d_U10.0
m4-v1,b01,2,1,np.float64(0.6931471805599453),np.float64(-0.1560129290391036),True,True,True,1.4494755160525694,2.813929089739986e-10,np.float64(7.741436002178738e-05),1e-06,-1.9632406378179976e-12,2.833561496118166e-10,-9.240608027943377e-13,2.823169697767929e-10,-8.105660640466123e-13,2.8220347503804523e-10,-9.89615248021974e-13,2.823825242220206e-10,-4.219627768696638e-13,2.8181487175086825e-10
m4-v1,b01,3,1,np.float64(1.0986122886681098),np.float64(-0.20189889986939866),True,True,True,1.818429271676547,-5.929701174522961e-13,np.float64(9.689943393038808e-05),1e-06,7.6012080105405e-12,-8.194178127992796e-12,8.330660888646273e-12,-8.923631006098569e-12,9.918564141627929e-12,-1.0511534259080225e-11,1.1969583429031427e-11,-1.2562553546483724e-11,1.1043284248520355e-11,-1.1636254365972652e-11
m4-v1,b01,2,2,np.float64(1.3862943611198906),np.float64(-0.1103178000763258),True,False,False,0.9776518181854521,8.639688964251491e-11,np.float64(5.28079999488068e-05),1e-06,-4.5985089433640696e-11,1.323819790761556e-10,-4.9330476470695104e-11,1.3572736611321e-10,-5.508030342648014e-11,1.4147719306899505e-10,-7.117618963910405e-11,1.5757307928161894e-10,-5.519717683474572e-11,1.4159406647726063e-10
m4-v1,b01,5,1,np.float64(1.6094379124341003),np.float64(-0.22910752440522542),True,True,True,2.0034533711980353,2.1439694464220338e-10,np.float64(9.260941261996498e-05),1e-06,-4.94771599931837e-12,2.1934466064152175e-10,-6.204107909934434e-12,2.2060105255213782e-10,-5.2475211619408765e-12,2.1964446580414427e-10,-6.5417632451076645e-12,2.2093870788731103e-10,-3.5555374437586595e-12,2.1795248208596204e-10
m4-v1,b01,7,1,np.float64(1.9459101490553132),np.float64(-0.23411211608563706),True,True,True,1.961325301086815,2.3571478102724086e-10,np.float64(0.00010850229250966989),1e-06,-1.2822189326515743e-11,2.485369703537566e-10,-1.3046667850037892e-11,2.4876144887727874e-10,-1.3384955211846735e-11,2.490997362390876e-10,-1.7795347035584785e-11,2.5351012806282567e-10,-1.1841605651093676e-11,2.475563866783345e-10
m4-v1,b01,2,3,np.float64(2.0794415416798357),np.float64(-0.0780064645195518),True,False,False,0.6448669201965194,-1.4059138297994878e-09,np.float64(3.6125139113566075e-05),1e-06,1.5753980189986446e-11,-1.4216678099894742e-09,1.7558695910549117e-12,-1.4076696993905427e-09,3.9465571144080254e-12,-1.4098603869138959e-09,7.995131915594078e-12,-1.413908961715082e-09,2.552937203168309e-12,-1.4084667670026561e-09
m4-v1,b01,3,2,np.float64(2.1972245773362196),np.float64(-0.1165663841886866),True,False,False,0.9451125129420935,-1.196002408221375e-09,np.float64(5.2596417377590107e-05),1e-06,-7.883929723239563e-11,-1.1171631109889793e-09,-8.290452887873628e-11,-1.1130978793426386e-09,-9.071001099051337e-11,-1.1052923972308615e-09,-1.110074619351807e-10,-1.0849949462861943e-09,-9.077044817212679e-11,-1.1052319600492482e-09
m4-v1,b01,11,1,np.float64(2.3978952727983707),np.float64(-0.23013570108523157),True,True,True,1.8189251677158067,2.999183124074989e-10,np.float64(0.00011568496289842484),1e-06,1.377271547975184e-11,2.8614559692774707e-10,2.6201714421744292e-11,2.737165979857546e-10,2.404082920010461e-11,2.758774832073943e-10,2.104171941054348e-11,2.788765929969554e-10,2.3561116587279367e-11,2.763571958202195e-10
m4-v1,b01,13,1,np.float64(2.5649493574615367),np.float64(-0.22644213759952758),True,True,True,1.7520206297201115,-8.56197335252773e-11,np.float64(8.305068977821993e-05),1e-06,-2.6590006228482687e-11,-5.902972729679461e-11,-3.881370480163661e-11,-4.680602872364069e-11,-4.0089530391754975e-11,-4.553020313352232e-11,-3.983060291208205e-11,-4.578913061319525e-11,-4.2012785960143463e-11,-4.3606947565133834e-11
m4-v1,b01,2,4,np.float64(2.772588722239781),np.float64(-0.0551589000381629),True,False,False,0.41264619998280516,-6.751645909019999e-10,np.float64(2.477810092171057e-05),1e-06,3.0968220010544194e-10,-9.848467910074418e-10,3.4531050176815333e-10,-1.020475092670153e-09,3.8220567500824465e-10,-1.0573702659102445e-09,4.3591666746832857e-10,-1.1110812583703285e-09,3.992597976100046e-10,-1.0744243885120045e-09
m4-v1,b01,17,1,np.float64(2.833213344056216),np.float64(-0.21872828371837585),True,True,True,1.6223814310292892,2.318252256827691e-10,np.float64(8.781719508306987e-05),1e-06,-6.958839010539795e-11,3.01413615788167e-10,-7.224987211019093e-11,3.0407509779296e-10,-8.076660505188518e-11,3.125918307346543e-10,-9.704977802872832e-11,3.2887500371149744e-10,-8.325245730598883e-11,3.1507768298875794e-10
m4-v1,b01,19,1,np.float64(2.9444389791664403),np.float64(-0.21501852841127717),True,True,True,1.5601256578721094,4.423394983632534e-11,np.float64(7.864808902996334e-05),1e-06,5.2531985469326674e-11,-8.298035633001337e-12,4.5898640503920964e-11,-1.6646906675956267e-12,5.5159750666517514e-11,-1.0925800830192177e-11,6.606879579693767e-11,-2.183484596061233e-11,5.892593173150405e-11,-1.4691981895178713e-11
m4-v1,b01,23,1,np.float64(3.1354942159291497),np.float64(-0.20810964733659634),True,True,True,1.4544148998169717,-1.000115545934932e-10,np.float64(8.589843977862894e-05),1e-06,-2.6066032521229992e-11,-7.394552207226321e-11,-4.470350130199042e-11,-5.530805329150278e-11,-3.909917774995785e-11,-6.091237684353534e-11,-2.9408559751137944e-11,-7.060299484235526e-11,-3.6475561616933024e-11,-6.353599297656018e-11
m4-v1,b01,5,2,np.float64(3.2188758248682006),np.float64(-0.10245999974535523),True,False,False,0.7115296635895433,2.003243126935672e-09,np.float64(3.758558347514307e-05),1e-06,-1.9830287059425838e-10,2.2015459975299304e-09,-1.8446135081865348e-10,2.1877044777543257e-09,-2.1166449680668874e-10,2.2149076237423606e-09,-2.418152143788353e-10,2.2450583413145076e-09,-2.2190143830128595e-10,2.225144565236958e-09
m4-v1,b01,3,3,np.float64(3.295836866004329),np.float64(-0.06729963328979954),True,False,False,0.4557133088868426,6.233213944994986e-11,np.float64(2.8816986747784386e-05),1e-06,-2.319451503328141e-10,2.9427728978276393e-10,-2.41934580830383e-10,3.0426672028033285e-10,-2.774495895935679e-10,3.3978172904351776e-10,-3.074505273247808e-10,3.6978266677473066e-10,-2.9690863749030626e-10,3.592407769402561e-10
m4-v1,b01,29,1,np.float64(3.367295829986474),np.float64(-0.1990363509339811),True,True,True,1.3467313495577633,3.801308157136418e-10,np.float64(8.524560722923354e-05),1e-06,9.864391164461544e-11,2.814869040690264e-10,1.1936846000692494e-10,2.607623557067169e-10,1.1681016813572276e-10,2.633206475779191e-10,1.1353268322113973e-10,2.665981324925021e-10,1.1319867232121484e-10,2.6693214339242697e-10
m4-v1,b01,31,1,np.float64(3.4339872044851463),np.float64(-0.1963215403858554),True,True,True,1.311229650538642,4.086968541372471e-10,np.float64(7.735363411337656e-05),1e-06,2.1388700086975174e-10,1.9480985326749536e-10,2.3105513105563207e-10,1.7764172308161503e-10,2.5218651181061735e-10,1.5651034232662975e-10,2.8039301091149205e-10,1.2830384322575505e-10,2.6099231054851664e-10,1.4770454358873046e-10
m4-v1,b01,2,5,np.float64(3.4657359027997265),np.float64(-0.0390032322597759),True,False,False,0.26114657181062123,-1.4361247746563777e-09,np.float64(1.7036038880105543e-05),1e-06,-1.2030129128551784e-10,-1.3158234833708597e-09,5.270255471504251e-11,-1.48882732937142e-09,1.0797722132266879e-11,-1.4469224967886445e-09,-2.8427892873829063e-11,-1.4076968817825485e-09,4.2268360676029894e-12,-1.4403516107239806e-09
m4-v1,b01,37,1,np.float64(3.6109179126442243),np.float64(-0.1889586950119591),True,True,True,1.2131079669495484,1.6024026550098824e-10,np.float64(7.150913109439285e-05),1e-06,3.426335314189329e-10,-1.8239326591794465e-10,3.5001363052543423e-10,-1.8977336502444598e-10,3.7670199567297703e-10,-2.164617301719888e-10,4.051432777115274e-10,-2.4490301221053914e-10,3.84574196651859e-10,-2.2433393115087078e-10
m4-v1,b01,41,1,np.float64(3.713572066704308),np.float64(-0.184607803637099),True,True,True,1.1499268105583853,2.161828493996154e-10,np.float64(7.391011966446973e-05),1e-06,-4.329617863287736e-10,6.491446357283889e-10,-4.5082667317973623e-10,6.670095225793517e-10,-4.782120442350649e-10,6.943948936346803e-10,-5.094367479024593e-10,7.256195973020747e-10,-4.850861898973007e-10,7.012690392969161e-10
m4-v1,b01,43,1,np.float64(3.7612001156935624),np.float64(-0.18257543342631882),True,True,True,1.126758870885742,6.027855992130071e-10,np.float64(8.771331132968418e-05),1e-06,-3.664301100370649e-10,9.69215709250072e-10,-3.755280942313522e-10,9.783136934443594e-10,-4.014456102890567e-10,1.004231209502064e-09,-4.3476447872308915e-10,1.0375500779360962e-09,-4.0885887591622565e-10,1.0116444751292327e-09
m4-v1,b01,47,1,np.float64(3.8501476017100584),np.float64(-0.17876338822837304),True,True,True,1.1139533160997075,1.4773948731061637e-09,np.float64(6.734524114480126e-05),1e-06,3.647520934964688e-10,1.1126427796096948e-09,3.3755743816368493e-10,1.1398374349424788e-09,3.633311115267259e-10,1.1140637615794377e-09,3.8385812257641636e-10,1.0935367505297473e-09,3.683956779502551e-10,1.1089991951559087e-09
m4-v1,b01,7,2,np.float64(3.8918202981106265),np.float64(-0.08848606258138285),True,False,False,0.527265572670872,-3.2714364550656683e-10,np.float64(3.772083218742446e-05),1e-06,-3.717956632995991e-10,4.4652017793032287e-11,-3.842337059880646e-10,5.7090060481497766e-11,-4.278106340093184e-10,1.0066698850275155e-10,-4.5364440596206314e-10,1.265007604554963e-10,-4.496046318716777e-10,1.2246098636511085e-10
m4-v1,b01,53,1,np.float64(3.970291913552122),np.float64(-0.1735939685443537),True,True,True,1.0305792774642926,2.0690629209951794e-09,np.float64(6.384558584305837e-05),1e-06,7.07842439255988e-10,1.3612204817391915e-09,7.175070226408222e-10,1.3515558983543572e-09,7.490235930218271e-10,1.3200393279733523e-09,7.733059667128706e-10,1.2957569542823088e-09,7.533293603370086e-10,1.3157335606581708e-09
m4-v1,b01,59,1,np.float64(4.07753744390572),np.float64(-0.16897485378921837),True,False,False,0.9865042950334173,-7.672908974853954e-10,np.float64(8.233331267468238e-05),1e-06,-2.7862857889566315e-10,-4.886623185897322e-10,-2.5523970166009736e-10,-5.12051195825298e-10,-2.515977699266989e-10,-5.156931275586965e-10,-2.387936306481878e-10,-5.284972668372075e-10,-2.412244430079809e-10,-5.260664544774144e-10
m4-v1,b01,61,1,np.float64(4.110873864173311),np.float64(-0.16754032791775322),True,False,False,0.9544257748439955,-3.7353953263874473e-10,np.float64(6.158823925947388e-05),1e-06,1.197799633243478e-10,-4.933194959630925e-10,2.198363206900325e-10,-5.933758533287772e-10,2.0432289002444239e-10,-5.778624226631871e-10,1.78803698932759e-10,-5.523432315715037e-10,1.9826590720995279e-10,-5.718054398486976e-10
m4-v1,b01,2,6,np.float64(4.1588830833596715),np.float64(-0.02757945001908145),True,False,False,0.15888643833657998,-1.8033353699209442e-09,np.float64(1.1742575735377791e-05),1e-06,-4.823835967546327e-09,3.0205005976253827e-09,-5.392106794448478e-09,3.5887714245275337e-09,-5.643548495559736e-09,3.8402131256387916e-09,-5.792907662141197e-09,3.989572292220253e-09,-5.752219513298385e-09,3.9488841433774404e-09
m4-v1,b01,67,1,np.float64(4.204692619390966),np.float64(-0.16351100147025147),True,False,False,0.9194429584804348,-1.3022092293368814e-09,np.float64(6.18818739306705e-05),1e-06,-1.3644053350150655e-09,6.219610567818405e-11,-1.365483451531201e-09,6.327422219431961e-11,-1.408207227930516e-09,1.0599799859363458e-10,-1.431933061776741e-09,1.2972383243985953e-10,-1.4116448354310554e-09,1.0943560609417399e-10
m4-v1,b01,71,1,np.float64(4.2626798770413155),np.float64(-0.16102884271275783),True,False,False,0.9067726904681027,2.0079184981369735e-09,np.float64(6.876324123322034e-05),1e-06,1.1072377346627168e-09,9.006807634742567e-10,1.1006094230257176e-09,9.07309075111256e-10,1.1523361134001195e-09,8.55582384736854e-10,1.203642322292648e-09,8.042761758443254e-10,1.1672750617079981e-09,8.406434364289754e-10
m4-v1,b01,73,1,np.float64(4.290459441148391),np.float64(-0.1598425863444375),True,False,False,0.89750564891742,-4.659452823574384e-10,np.float64(6.698368179689683e-05),1e-06,-7.994489495844595e-10,3.335036672270211e-10,-9.592579249539254e-10,4.933126425964871e-10,-9.481334324073291e-10,4.821881500498908e-10,-9.319363534373783e-10,4.659910710799399e-10,-9.37309787789314e-10,4.713645054318756e-10
m4-v1,b01,79,1,np.float64(4.3694478524670215),np.float64(-0.15648155106679665),True,False,False,0.8558068235317273,-1.0062289890200304e-09,np.float64(7.218176361733243e-05),1e-06,-1.7124079510833455e-09,7.06178962063315e-10,-1.7136707125337773e-09,7.074417235137468e-10,-1.7296129895347749e-09,7.233840005147444e-10,-1.7229391699356702e-09,7.167101809156398e-10,-1.7186823773870071e-09,7.124533883669767e-10
m4-v1,b01,3,4,np.float64(4.394449154672439),np.float64(-0.03885546139622887),True,False,False,0.21360335830327742,1.837547003447071e-08,np.float64(1.5914327202785727e-05),1e-06,1.5069319571651753e-08,3.306150462818956e-09,1.54143358122396e-08,2.96113422223111e-09,1.583898029340603e-08,2.5364897410646793e-09,1.611903139983367e-08,2.256438634637038e-09,1.593691064642302e-08,2.438559388047688e-09
m4-v1,b01,83,1,np.float64(4.418840607796598),np.float64(-0.15439008898017337),True,False,False,0.8467907909154524,4.00329991379067e-10,np.float64(6.578086090102133e-05),1e-06,2.1665989279649458e-10,1.836700985825724e-10,1.9446458255189712e-11,3.808835331238773e-10,3.5653250767157977e-12,3.967646663023512e-10,-1.8672711326321737e-11,4.1900270270538873e-10,-1.5320337422002202e-11,4.156503288010692e-10
m4-v1,b01,89,1,np.float64(4.48863636973214),np.float64(-0.15145009428891956),True,False,False,0.8156631089570499,4.334190339960742e-09,np.float64(7.147662541184505e-05),1e-06,5.658588355780016e-09,-1.3243980158192745e-09,5.80682267510563e-09,-1.472632335144888e-09,5.9548675248156775e-09,-1.6206771848549357e-09,6.040210348608161e-09,-1.7060200086474192e-09,5.9970734027273395e-09,-1.6628830627665977e-09
m4-v1,b01,97,1,np.float64(4.574710978503383),np.float64(-0.14785224441209735),True,False,False,0.7727026055895849,-4.5674785065230594e-09,np.float64(5.459184625764444e-05),1e-06,-4.243427563988376e-09,-3.240509425346832e-10,-4.421051819985082e-09,-1.4642668653797763e-10,-4.449234588149498e-09,-1.1824391837356138e-10,-4.4623543875198366e-09,-1.0512411900322285e-10,-4.4437567253323675e-09,-1.2372178119069189e-10
m4-v1,b01,101,1,np.float64(4.61512051684126),np.float64(-0.14617479278578105),True,False,False,0.7624019510393836,5.216511667072155e-10,np.float64(6.893138666569024e-05),1e-06,3.5191060844377175e-11,4.864601058628382e-10,4.96282944274875e-10,2.536822243234043e-11,4.59479213430521e-10,6.217195327669444e-11,4.308406983108344e-10,9.081046839638103e-11,4.4881467077004476e-10,7.283649593717069e-11
m4-v1,b01,103,1,np.float64(4.634728988229636),np.float64(-0.145363663339395),True,False,False,0.7476738779743525,2.146222977117418e-09,np.float64(7.241231549348526e-05),1e-06,1.5930749694780858e-09,5.531480076393321e-10,1.493815237322197e-09,6.52407739795221e-10,1.506393578216726e-09,6.398293989006919e-10,1.5289928349081424e-09,6.172301422092755e-10,1.5034179112068366e-09,6.428050659105813e-10
m4-v1,b01,107,1,np.float64(4.672828834461906),np.float64(-0.14379312149769535),True,False,False,0.7229929220233838,-1.2683919581313319e-08,np.float64(6.232411411499745e-05),1e-06,-1.3103452726738691e-08,4.195331454253726e-10,-1.327110329402771e-08,5.871837127143909e-10,-1.3442818500357243e-08,7.588989190439241e-10,-1.3518835624369617e-08,8.349160430562979e-10,-1.3488536636161556e-08,8.04617054848237e-10
m4-v1,b01,109,1,np.float64(4.6913478822291435),np.float64(-0.14303243005044233),True,False,False,0.7247539937620049,5.939964964341016e-09,np.float64(5.228966007043918e-05),1e-06,3.5158699055911695e-09,2.4240950587498462e-09,3.56599256830988e-09,2.373972396031136e-09,3.693489821938459e-09,2.2464751424025566e-09,3.791502406131469e-09,2.1484625582095465e-09,3.744942589078506e-09,2.19502237526251e-09
m4-v1,b01,113,1,np.float64(4.727387818712341),np.float64(-0.14155725660115417),True,False,False,0.703338489587444,1.1748151340640334e-09,np.float64(7.264075978541328e-05),1e-06,7.82133851670395e-10,3.9268128239363833e-10,9.569583806410168e-11,1.0791192959999317e-09,1.319648857446977e-10,1.0428502483193357e-09,1.606512687242934e-10,1.01416386533974e-09,1.4027098877616955e-10,1.0345441452878638e-09
m4-v1,b01,11,2,np.float64(4.795790545596741),np.float64(-0.06938852466955447),True,False,False,0.35025896945060303,1.3158225020681869e-07,np.float64(3.402376865817135e-05),1e-06,1.3224604032860335e-07,-6.637901217846678e-10,1.3310473675467718e-07,-1.5224865478584963e-09,1.337451211639423e-07,-2.1628709571236152e-09,1.3402996997372397e-07,-2.447719766905281e-09,1.338853346883194e-07,-2.3030844815007273e-09
m4-v1,b01,5,3,np.float64(4.828313737302301),np.float64(-0.04582150488104508),True,False,False,0.22897114465856952,3.1257107191429157e-07,np.float64(1.7160458506074205e-05),1e-06,3.1209827141314257e-07,4.728005011489981e-10,3.1253532478773836e-07,3.5747126553203984e-11,3.13161471207626e-07,-5.903992933344435e-10,3.1331445763961476e-07,-7.433857253231957e-10,3.131963851052489e-07,-6.253131909573488e-10
m4-v1,b01,127,1,np.float64(4.844187086458591),np.float64(-0.13682617124428062),True,False,False,0.6763209168593002,2.9671380241680367e-08,np.float64(5.4915177249423945e-05),1e-06,2.8591199686593457e-08,1.0801805550869102e-09,2.9313159925581727e-08,3.582203160986401e-10,2.9266936683838824e-08,4.0444355784154296e-10,2.920203841351622e-08,4.693418281641488e-10,2.9234533181442603e-08,4.368470602377639e-10
m4-v1,b01,2,7,np.float64(4.852030263919617),np.float64(-0.01950161612988795),True,False,False,0.09596148416409124,2.2777708563737065e-07,np.float64(7.98707151270425e-06),1e-06,2.3121309000889943e-07,-3.4360043715287873e-09,2.2519837585737041e-07,2.5787097800002315e-09,2.2586626140878288e-07,1.910824228587769e-09,2.2617392334330402e-07,1.6031622940666219e-09,2.2599874694910144e-07,1.7783386882692073e-09
m4-v1,b01,131,1,np.float64(4.875197323201151),np.float64(-0.1355834491603077),True,False,False,0.6569528857823694,-7.81069372512988e-08,np.float64(6.16488868041413e-05),1e-06,-7.830250126892793e-08,1.9556401762912853e-10,-7.74273038750713e-08,-6.796333762275066e-10,-7.743354026882798e-08,-6.733969824708182e-10,-7.74070062751648e-08,-6.999309761340005e-10,-7.740232849010411e-08,-7.04608761194694e-10
