versao,bloco,p,r,eligible,d1,Delta,a_l1,abs_c,zeros_rel_sup,polos_rel_sup,arq_rel_sup,B_rel_sup,B_rel_sup_str
m4-v1,b01,2,1,True,1,0.5,0.0020152970197673346,0.1560129290391036,0.001150899147,1.382e-09,1.277e-09,0.001150901803,0.001150901803
m4-v1,b01,2,1,True,1,1,0.0020152970197673346,0.1560129290391036,0.000739708017,1.333e-09,1.277e-09,0.000739710624,0.000739710624
m4-v1,b01,2,1,True,1,2,0.0020152970197673346,0.1560129290391036,0.00059863416,1.304e-09,1.277e-09,0.000598636737,0.000598636737
m4-v1,b01,2,1,True,2,0.5,0.0020152970197673346,0.1560129290391036,0.00010213539,2.33e-10,1.95e-10,0.000102135815,0.000102135815
m4-v1,b01,2,1,True,2,1,0.0020152970197673346,0.1560129290391036,7.0878588e-05,2.23e-10,1.95e-10,7.0879003e-05,0.000070879003
m4-v1,b01,2,1,True,2,2,0.0020152970197673346,0.1560129290391036,4.5179143e-05,2.14e-10,1.95e-10,4.5179549e-05,0.000045179549
m4-v1,b01,2,1,True,4,0.5,0.0020152970197673346,0.1560129290391036,9.401846e-06,3.7e-11,1.9e-11,9.401899e-06,0.000009401899
m4-v1,b01,2,1,True,4,1,0.0020152970197673346,0.1560129290391036,6.623168e-06,3.6e-11,1.9e-11,6.62322e-06,0.000006623220
m4-v1,b01,2,1,True,4,2,0.0020152970197673346,0.1560129290391036,4.669618e-06,3.5e-11,1.9e-11,4.669669e-06,0.000004669669
m4-v1,b01,2,1,True,8,0.5,0.0020152970197673346,0.1560129290391036,9.9956e-07,2.2e-11,2e-12,9.9958e-07,0.000000999580
m4-v1,b01,2,1,True,8,1,0.0020152970197673346,0.1560129290391036,6.52225e-07,2.3e-11,2e-12,6.52247e-07,0.000000652247
m4-v1,b01,2,1,True,8,2,0.0020152970197673346,0.1560129290391036,4.78558e-07,2.7e-11,2e-12,4.78584e-07,0.000000478584
m4-v1,b01,3,1,True,1,0.5,0.0020835921499236156,0.20189889986939866,0.000919469984,1.105e-09,1.02e-09,0.000919472106,0.000919472106
m4-v1,b01,3,1,True,1,1,0.0020835921499236156,0.20189889986939866,0.00059096344,1.066e-09,1.02e-09,0.000590965523,0.000590965523
m4-v1,b01,3,1,True,1,2,0.0020835921499236156,0.20189889986939866,0.000478257493,1.042e-09,1.02e-09,0.000478259553,0.000478259553
m4-v1,b01,3,1,True,2,0.5,0.0020835921499236156,0.20189889986939866,8.1597442e-05,1.86e-10,1.56e-10,8.1597781e-05,0.000081597781
m4-v1,b01,3,1,True,2,1,0.0020835921499236156,0.20189889986939866,5.662593e-05,1.78e-10,1.56e-10,5.6626261e-05,0.000056626261
m4-v1,b01,3,1,True,2,2,0.0020835921499236156,0.20189889986939866,3.6094271e-05,1.72e-10,1.56e-10,3.6094595e-05,0.000036094595
m4-v1,b01,3,1,True,4,0.5,0.0020835921499236156,0.20189889986939866,7.511271e-06,3e-11,1.6e-11,7.511314e-06,0.000007511314
m4-v1,b01,3,1,True,4,1,0.0020835921499236156,0.20189889986939866,5.291345e-06,2.9e-11,1.6e-11,5.291387e-06,0.000005291387
m4-v1,b01,3,1,True,4,2,0.0020835921499236156,0.20189889986939866,3.730626e-06,2.8e-11,1.6e-11,3.730667e-06,0.000003730667
m4-v1,b01,3,1,True,8,0.5,0.0020835921499236156,0.20189889986939866,7.98563e-07,1.8e-11,2e-12,7.9858e-07,0.000000798580
m4-v1,b01,3,1,True,8,1,0.0020835921499236156,0.20189889986939866,5.21072e-07,1.9e-11,2e-12,5.2109e-07,0.000000521090
