versao,bloco,p,r,eligible,d1,Delta,J,zeros_rel_sup,razao_Zp_Z,polos_rel_sup,arq_rel_sup,B2_rel_sup,theta_rel,orcamento2,orcamento_anterior
m4-v1,b01,2,1,True,1,0.5,7,8.0876974592e-05,0.07027286005627185,1.380898e-09,1.275104e-09,8.0879630592e-05,1.0289546667049579e-13,8.087963069489546e-05,0.0011509018031028956
m4-v1,b01,3,1,True,1,0.5,7,6.4613785392e-05,0.07027286005627185,1.10322e-09,1.0187e-09,6.4615907308e-05,1.0631448738287525e-12,6.461590837114488e-05,0.0009194721070631449
m4-v1,b01,2,2,False,1,0.5,7,0.000118562324546,0.07027286005627185,2.024339e-09,1.86925e-09,0.000118566218132,2.6478311387471867e-12,0.00011856622077983113,0.001687174797647831
m4-v1,b01,5,1,True,1,0.5,7,6.7606942442e-05,0.07027286005627185,1.154325e-09,1.06589e-09,6.7609162654e-05,1.0240898616632152e-12,6.760916367808986e-05,0.0009620655620240899
m4-v1,b01,7,1,True,1,0.5,7,5.7704211439e-05,0.07027286005627184,9.85245e-10,9.09764e-10,5.7706106445e-05,5.106370206781398e-13,5.7706106955637014e-05,0.000821146950510637
m4-v1,b01,2,3,False,1,0.5,7,0.000173315297384,0.07027286005627185,2.959193e-09,2.732483e-09,0.000173320989057,1.0161485791478978e-12,0.0001733209900731486,0.0024663248000161486
m4-v1,b01,3,2,False,1,0.5,7,0.000119039271888,0.07027286005627185,2.032482e-09,1.87677e-09,0.000119043181137,2.697587689063747e-12,0.0001190431838345877,0.0016939618906975876
m4-v1,b01,11,1,True,1,0.5,7,5.412146118e-05,0.07027286005627185,9.24073e-10,8.53278e-10,5.4123238529e-05,1.5097941899963503e-12,5.412324003879419e-05,0.0007701634205097942
m4-v1,b01,13,1,True,1,0.5,7,7.5388166496e-05,0.07027286005627185,1.287182e-09,1.188568e-09,7.5390642243e-05,1.0113008584408636e-12,7.539064325430085e-05,0.0010727945410113008
m4-v1,b01,2,4,False,1,0.5,7,0.000252684386438,0.07027286005627187,4.314344e-09,3.983813e-09,0.000252692684591,1.8909748911899096e-11,0.0002526927035007489,0.003595768989909749
m4-v1,b01,17,1,True,1,0.5,7,7.1296278851e-05,0.07027286005627185,1.217317e-09,1.124056e-09,7.1298620221e-05,3.34519535760745e-12,7.129862356619536e-05,0.0010145658463451954
m4-v1,b01,19,1,True,1,0.5,7,7.9608281724e-05,0.07027286005627187,1.359236e-09,1.255102e-09,7.961089606e-05,5.434217682332653e-12,7.961090149421767e-05,0.0011328479564342178
m4-v1,b01,23,1,True,1,0.5,7,7.2888858572e-05,0.07027286005627184,1.244509e-09,1.149164e-09,7.2891252242e-05,3.5800244962341178e-12,7.28912558220245e-05,0.0010372286975800244
m4-v1,b01,5,2,False,1,0.5,7,0.000166580870898,0.07027286005627185,2.844209e-09,2.626308e-09,0.000166586341413,1.4954570864489588e-11,0.00016658635636757088,0.002370492055954571
m4-v1,b01,3,3,False,1,0.5,7,0.00021726904632,0.07027286005627185,3.709661e-09,3.425456e-09,0.000217276181434,2.3594474540819803e-11,0.00021727620502847456,0.0030917988725944743
m4-v1,b01,29,1,True,1,0.5,7,7.3447059996e-05,0.07027286005627185,1.254039e-09,1.157965e-09,7.3449471997e-05,4.149255772591818e-12,7.344947614625577e-05,0.0010451720601492558
m4-v1,b01,31,1,True,1,0.5,7,8.0940466474e-05,0.07027286005627185,1.381982e-09,1.276105e-09,8.0943124558e-05,8.906472732003448e-12,8.094313346447272e-05,0.0011518053189064727
m4-v1,b01,2,5,False,1,0.5,7,0.000367517312712,0.07027286005627185,6.275006e-09,5.794264e-09,0.000367529381979,2.5948984618347503e-11,0.0003675294079279846,0.005229873417948984
m4-v1,b01,37,1,True,1,0.5,7,8.7555800675e-05,0.07027286005627185,1.494932e-09,1.380403e-09,8.7558676007e-05,1.0618990903032137e-11,8.75586866259909e-05,0.0012459433626189908
m4-v1,b01,41,1,True,1,0.5,7,8.4711528773e-05,0.07027286005627185,1.446369e-09,1.33556e-09,8.4714310699e-05,7.833225404251254e-12,8.47143185322254e-05,0.0012054685818332254
m4-v1,b01,43,1,True,1,0.5,7,7.1380719e-05,0.07027286005627185,1.218758e-09,1.125387e-09,7.1383063142e-05,7.028617544543142e-12,7.138307017061754e-05,0.0010157674570286175
m4-v1,b01,47,1,True,1,0.5,7,9.2969289621e-05,0.07027286005627185,1.587363e-09,1.465751e-09,9.2972342731e-05,1.1154572963063586e-11,9.297235388557296e-05,0.001322978814154573
m4-v1,b01,7,2,False,1,0.5,7,0.000165983592234,0.07027286005627185,2.834011e-09,2.616892e-09,0.000165989043134,3.189786828004899e-11,0.00016598907503186826,0.0023619926308978685
m4-v1,b01,53,1,True,1,0.5,7,9.8065342277e-05,0.07027286005627185,1.674373e-09,1.546096e-09,9.8068562742e-05,8.01675858543695e-12,9.806857075875858e-05,0.0013954970550167584
m4-v1,b01,59,1,False,1,0.5,7,7.6045029954e-05,0.07027286005627185,1.298397e-09,1.198924e-09,7.6047527273e-05,6.1974429171389835e-12,7.604753347044292e-05,0.0010821418951974429
m4-v1,b01,61,1,False,1,0.5,7,0.000101659656191,0.07027286005627185,1.735742e-09,1.602763e-09,0.000101662994694,8.024140168971695e-12,0.00010166300271814016,0.0014466451400241402
m4-v1,b01,2,6,False,1,0.5,7,0.000533191300577,0.07027286005627185,9.103729e-09,8.406273e-09,0.000533208810576,1.3560307776684848e-10,0.0005332089461790778,0.007587460368603078
m4-v1,b01,67,1,False,1,0.5,7,0.000101177272614,0.07027286005627185,1.727506e-09,1.595158e-09,0.000101180595275,9.900643919663176e-12,0.00010118060517564392,0.0014397806899006439
m4-v1,b01,71,1,False,1,0.5,7,9.1052124889e-05,0.07027286005627184,1.554629e-09,1.435525e-09,9.1055115041e-05,1.2243733664370765e-11,9.105512728473367e-05,0.0012956970292437337
m4-v1,b01,73,1,False,1,0.5,7,9.3471112077e-05,0.07027286005627185,1.595931e-09,1.473663e-09,9.3474181668e-05,2.1597055205009927e-11,9.34742032650552e-05,0.0013301198975970553
m4-v1,b01,79,1,False,1,0.5,7,8.6739903748e-05,0.07027286005627185,1.481002e-09,1.367539e-09,8.6742752286e-05,5.787192335322831e-12,8.674275807319234e-05,0.0012343329187871923
m4-v1,b01,3,4,False,1,0.5,7,0.000393421547056,0.07027286005627185,6.717295e-09,6.202669e-09,0.000393434467018,1.1185448763386135e-10,0.00039343457887248767,0.005598497949854488
m4-v1,b01,83,1,False,1,0.5,7,9.5180256731e-05,0.07027286005627185,1.625113e-09,1.500609e-09,9.518338245e-05,8.16570310351594e-12,9.51833906157031e-05,0.0013544414871657032
m4-v1,b01,89,1,False,1,0.5,7,8.7595618742e-05,0.07027286005627185,1.495612e-09,1.38103e-09,8.7598495382e-05,5.832483804903037e-11,8.759855370683805e-05,0.001246510032324838
m4-v1,b01,97,1,False,1,0.5,7,0.000114688175208,0.07027286005627185,1.958192e-09,1.80817e-09,0.000114691941567,2.4755866524777322e-11,0.00011469196632286652,0.0016320445987558665
m4-v1,b01,101,1,False,1,0.5,7,9.0830019987e-05,0.07027286005627185,1.550837e-09,1.432024e-09,9.0833002844e-05,3.855923816911695e-11,9.083304140323817e-05,0.0012925364405592383
m4-v1,b01,103,1,False,1,0.5,7,8.6463734599e-05,0.07027286005627187,1.476286e-09,1.363185e-09,8.6466574068e-05,2.108494776433953e-11,8.646659515294777e-05,0.0012304029700849477
m4-v1,b01,107,1,False,1,0.5,7,0.000100459337729,0.07027286005627185,1.715248e-09,1.583839e-09,0.000100462636813,8.171364172184137e-11,0.00010046271852664172,0.0014295643487136417
m4-v1,b01,109,1,False,1,0.5,7,0.000119737615814,0.07027286005627185,2.044406e-09,1.88778e-09,0.000119741547996,5.503067541751618e-11,0.00011974160302667542,0.0017038995710306753
m4-v1,b01,113,1,False,1,0.5,7,8.6191819126e-05,0.07027286005627185,1.471644e-09,1.358898e-09,8.6194649664e-05,4.1827820331452494e-11,8.619469149182033e-05,0.0012265335578278203
m4-v1,b01,11,2,False,1,0.5,7,0.000184019568538,0.07027286005627185,3.141958e-09,2.901246e-09,0.000184025611739,1.9670235124034725e-10,0.00018402580844135123,0.0026186497457023517
