versao,bloco,p,r,eligible,d1,Delta,U1,U2,n_termos,abs_c,theta,err_num_est,S_abs,theta_rel,margem,margem_rel,B_rel_sup,orcamento_rel,orcamento_rel_com_err
m4-v1,b01,2,1,True,1,0.5,6.0,6.5,45,0.1560129290391036,-1.605302314010951e-14,8.857773791090837e-22,8.85776607312517e-13,-1.0289546667049579e-13,1.5601291298608048e-07,9.999998971045333e-07,0.001150901803,0.0011509018031028956,0.0011509018031028956
m4-v1,b01,3,1,True,1,0.5,6.0,6.5,45,0.20189889986939866,-2.1464778042781577e-13,1.599968804219464e-21,1.5999676192257071e-12,-1.0631448738287525e-12,2.0189868522161823e-07,9.99998936855126e-07,0.000919472106,0.0009194721070631449,0.0009194721070631449
m4-v1,b01,2,2,False,1,0.5,6.0,6.5,45,0.1103178000763258,2.921029062001822e-13,2.930375870499194e-21,2.9303737309066188e-12,2.6478311387471867e-12,1.1031750797341959e-07,9.999973521688612e-07,0.001687174795,0.001687174797647831,0.001687174797647831
m4-v1,b01,5,1,True,1,0.5,6.0,6.5,45,0.22910752440522542,-2.34626692974149e-13,2.6094078941533377e-21,2.609405886695278e-12,-1.0240898616632152e-12,2.2910728977853244e-07,9.999989759101383e-07,0.000962065561,0.0009620655620240899,0.0009620655620240899
m4-v1,b01,7,1,True,1,0.5,6.0,6.5,45,0.23411211608563706,-1.1954631346262452e-13,3.6067360772313185e-21,3.606733154634972e-12,-5.106370206781398e-13,2.3411199653932357e-07,9.999994893629794e-07,0.00082114695,0.000821146950510637,0.000821146950510637
m4-v1,b01,2,3,False,1,0.5,6.0,6.5,45,0.0780064645195518,-7.926615808589347e-14,3.480460853052652e-21,3.480458292665869e-12,-1.0161485791478978e-12,7.800638525339372e-08,9.999989838514208e-07,0.002466324799,0.0024663248000161486,0.0024663248000161486
m4-v1,b01,3,2,False,1,0.5,6.0,6.5,45,0.1165663841886866,3.14448042946076e-13,4.339520697745808e-21,4.3395169163550695e-12,2.697587689063747e-12,1.1656606974064365e-07,9.99997302412311e-07,0.001693961888,0.0016939618906975876,0.0016939618906975879
m4-v1,b01,11,1,True,1,0.5,6.0,6.5,45,0.23013570108523157,3.474575444092194e-13,3.6063280167543995e-21,3.606324443222093e-12,1.5097941899963503e-12,2.3013535362768715e-07,9.9999849020581e-07,0.000770163419,0.0007701634205097942,0.0007701634205097942
m4-v1,b01,13,1,True,1,0.5,6.0,6.5,45,0.22644213759952758,2.290011281415864e-13,4.869276009748918e-21,4.86927137408806e-12,1.0113008584408636e-12,2.2644190859839942e-07,9.999989886991415e-07,0.00107279454,0.0010727945410113008,0.0010727945410113008
m4-v1,b01,2,4,False,1,0.5,6.0,6.5,45,0.0551589000381629,-1.043040949978202e-12,7.74169797258091e-21,7.741693286891593e-12,-1.8909748911899096e-11,5.515785699721292e-08,9.99981090251088e-07,0.003595768971,0.003595768989909749,0.0035957689899097493
m4-v1,b01,17,1,True,1,0.5,6.0,6.5,45,0.21872828371837585,7.316888392721561e-13,7.220373827435894e-21,7.2203678587127025e-12,3.34519535760745e-12,2.1872755202953656e-07,9.999966548046424e-07,0.001014565843,0.0010145658463451954,0.0010145658463451954
m4-v1,b01,19,1,True,1,0.5,6.0,6.5,45,0.21501852841127717,-1.1684574891217084e-12,7.716320293792468e-21,7.716314378473077e-12,-5.434217682332653e-12,2.1501735995378803e-07,9.999945657823176e-07,0.001132847951,0.0011328479564342178,0.0011328479564342178
m4-v1,b01,23,1,True,1,0.5,6.0,6.5,45,0.20810964733659634,-7.450376353676582e-13,6.2542773497982725e-21,6.254271213530263e-12,-3.5800244962341178e-12,2.0810890229896096e-07,9.999964199755037e-07,0.001037228694,0.0010372286975800244,0.0010372286975800244
m4-v1,b01,5,2,False,1,0.5,6.0,6.5,45,0.10245999974535523,1.5322453269675e-12,1.0258234952358027e-20,1.0258227307671473e-11,1.4954570864489588e-11,1.0245846750002826e-07,9.999850454291355e-07,0.002370492041,0.002370492055954571,0.002370492055954571
m4-v1,b01,3,3,False,1,0.5,6.0,6.5,45,0.06729963328979954,1.5878994842626841e-12,1.1406156520459069e-20,1.1406147901580405e-11,2.3594474540819803e-11,6.729804539031529e-08,9.999764055254592e-07,0.003091798849,0.0030917988725944743,0.0030917988725944747
m4-v1,b01,29,1,True,1,0.5,6.0,6.5,45,0.1990363509339811,8.258527280684319e-13,7.532140714887666e-21,7.532133847701431e-12,4.149255772591818e-12,1.99035525081253e-07,9.999958507442274e-07,0.001045172056,0.0010451720601492558,0.0010451720601492558
m4-v1,b01,31,1,True,1,0.5,6.0,6.5,45,0.1963215403858554,-1.7485324461515348e-12,1.3763551293968928e-20,1.3763541290506311e-11,-8.906472732003448e-12,1.9631979185340924e-07,9.99991093527268e-07,0.00115180531,0.0011518053189064727,0.0011518053189064727
m4-v1,b01,2,5,False,1,0.5,6.0,6.5,45,0.0390032322597759,1.01209427397476e-12,1.114191446990901e-20,1.1141905274157142e-11,2.5948984618347503e-11,3.9002220165501924e-08,9.999740510153816e-07,0.005229873392,0.005229873417948984,0.005229873417948985
m4-v1,b01,37,1,True,1,0.5,6.0,6.5,45,0.1889586950119591,-2.006550663380818e-12,1.6036193382604893e-20,1.6036181417383407e-11,-1.0618990903032137e-11,1.8895668846129573e-07,9.99989381009097e-07,0.001245943352,0.0012459433626189908,0.0012459433626189908
m4-v1,b01,41,1,True,1,0.5,6.0,6.5,45,0.184607803637099,1.4460745372731509e-12,1.51106978352159e-20,1.511068514224341e-11,7.833225404251254e-12,1.8460635756256173e-07,9.999921667745957e-07,0.001205468574,0.0012054685818332254,0.0012054685818332254
m4-v1,b01,43,1,True,1,0.5,6.0,6.5,45,0.18257543342631882,1.2832528945827928e-12,1.702472778747114e-20,1.702471460873711e-11,7.028617544543142e-12,1.8257415017342424e-07,9.999929713824555e-07,0.00101576745,0.0010157674570286175,0.0010157674570286177
