versao,bloco,p,r,eligible,d1,Delta,L2_sobre_L0,zeros_rel_sup,orcamento_rel,P0_rel,fr_P0,P1a_rel,fr_P1a,P1b_rel,fr_P1b,P2_rel,fr_P2,P3_rel,fr_P3,fr_proximos,fr_distantes,fr_L0,fr_L2
m4-v1,b01,2,1,True,1,0.5,127.2752815,0.001150899147,0.0011509018031028956,2.501163e-06,0.002173225163543065,0.000711781978,0.6184572958843771,0.000436599995,0.3793555620072648,6e-12,5.213315158291719e-09,1.6011e-08,1.3911731499901452e-05,0.6206305210479202,0.37936947895207984,0.002173225163543065,0.997826774836457
m4-v1,b01,3,1,True,1,0.5,127.2752815,0.000919469984,0.0009194721070631449,1.998216e-06,0.002173225906125795,0.000568652923,0.618457295836765,0.000348806054,0.37935556154405387,5e-12,5.437915385838656e-09,1.2791e-08,1.3911275140052451e-05,0.6206305217428908,0.3793694782571092,0.002173225906125795,0.9978267740938742
m4-v1,b01,2,2,False,1,0.5,127.2752815,0.001687170901,0.001687174797647831,3.666602e-06,0.002173225003339866,0.001043443159,0.6184572971658051,0.000640037668,0.37935556222817207,8e-12,4.741665451204938e-09,2.347e-08,1.3910861017472488e-05,0.620630522169145,0.37936947783085495,0.002173225003339866,0.9978267749966602
m4-v1,b01,5,1,True,1,0.5,127.2752815,0.000962063341,0.0009620655620240899,2.090781e-06,0.0021732259175237033,0.000594995096,0.6184572958271115,0.000364964081,0.37935556129236886,5e-12,5.1971629681054665e-09,1.3384e-08,1.3911765833024713e-05,0.6206305217446352,0.3793694782553648,0.0021732259175237033,0.9978267740824763
m4-v1,b01,7,1,True,1,0.5,127.2752815,0.000821145055,0.000821146950510637,1.784534e-06,0.002173226245376849,0.000507843153,0.6184572939683586,0.000311505946,0.3793555614172347,5e-12,6.08905811090416e-09,1.1424e-08,1.3912279971793826e-05,0.6206305202137354,0.37936947978626456,0.002173226245376849,0.9978267737546231
m4-v1,b01,2,3,False,1,0.5,127.2752815,0.002466319107,0.0024663248000161486,5.359865e-06,0.002173224450862049,0.001525313054,0.6184572977438545,0.000935611874,0.3793555623310778,1.2e-11,4.865550421576772e-09,3.4308e-08,1.3910608655287992e-05,0.6206305221947165,0.3793694778052835,0.002173224450862049,0.9978267755491379
m4-v1,b01,3,2,False,1,0.5,127.2752815,0.001693957979,0.0016939618906975876,3.681351e-06,0.00217322450425075,0.001047640677,0.6184572975807645,0.000642612383,0.3793555619854146,8e-12,4.722667312626805e-09,2.3565e-08,1.391120690275633e-05,0.6206305220850153,0.37936947791498465,0.00217322450425075,0.9978267754957493
m4-v1,b01,11,1,True,1,0.5,127.2752815,0.000770161642,0.0007701634205097942,1.673735e-06,0.002173225587571715,0.000476312089,0.6184572943055716,0.000292165104,0.3793555609510174,5e-12,6.492143581784794e-09,1.0715e-08,1.3912663695764815e-05,0.6206305198931432,0.3793694801068568,0.002173225587571715,0.9978267744124283
m4-v1,b01,13,1,True,1,0.5,127.2752815,0.001072792064,0.0010727945410113008,2.331419e-06,0.002173225422891129,0.000663476083,0.6184572962027953,0.000406969638,0.3793555614183464,6e-12,5.592882505181083e-09,1.4924e-08,1.3911363084553745e-05,0.6206305216256864,0.37936947837431356,0.002173225422891129,0.9978267745771089
m4-v1,b01,2,4,False,1,0.5,127.2752815,0.003595760673,0.003595768989909749,7.814394e-06,0.0021732241658381024,0.002223824434,0.6184572982306806,0.001364071815,0.37935556260621633,1.6e-11,4.4496843457611225e-09,5.0019e-08,1.39105475806641e-05,0.6206305223965186,0.3793694776034814,0.0021732241658381024,0.9978267758341619
m4-v1,b01,17,1,True,1,0.5,127.2752815,0.001014563501,0.0010145658463451954,2.204875e-06,0.002173225219306059,0.000627464203,0.6184572958427924,0.000384880309,0.37935556162281714,6e-12,5.913873265303637e-09,1.4114e-08,1.3911401211082587e-05,0.6206305210620984,0.3793694789379016,0.002173225219306059,0.9978267747806939
m4-v1,b01,19,1,True,1,0.5,127.2752815,0.001132845337,0.0011328479564342178,2.461928e-06,0.002173225158414232,0.000700616468,0.6184572963372282,0.000429751181,0.3793555613354364,6e-12,5.296398168624505e-09,1.576e-08,1.3911872522920367e-05,0.6206305214956425,0.37936947850435754,0.002173225158414232,0.9978267748415858
m4-v1,b01,23,1,True,1,0.5,127.2752815,0.001037226301,0.0010372286975800244,2.254126e-06,0.0021732248661267568,0.000641480177,0.6184572964349788,0.000393477568,0.3793555617745777,6e-12,5.784658531404429e-09,1.4429e-08,1.3911139658272417e-05,0.6206305213011055,0.3793694786988945,0.0021732248661267568,0.9978267751338732
m4-v1,b01,5,2,False,1,0.5,127.2752815,0.00237048657,0.002370492055954571,5.151599e-06,0.0021732242883510107,0.001466044722,0.6184572979494727,0.000899257268,0.3793555624756069,1.1e-11,4.6403975099500405e-09,3.2975e-08,1.3910646171872962e-05,0.6206305222378238,0.3793694777621762,0.0021732242883510107,0.997826775711649
