bin_center,r2_empirical,r2_gue,r2_poisson,residual_gue
0.0250,0.004000,0.002054,1.000000,0.001946
0.0750,0.006001,0.018369,1.000000,-0.012369
0.1250,0.024002,0.050359,1.000000,-0.026357
0.1750,0.050005,0.096778,1.000000,-0.046774
0.2250,0.108011,0.155841,1.000000,-0.047831
0.2750,0.134014,0.225314,1.000000,-0.091300
0.3250,0.224025,0.302627,1.000000,-0.078603
0.3750,0.340039,0.385009,1.000000,-0.044971
0.4250,0.378045,0.469622,1.000000,-0.091577
0.4750,0.488061,0.553695,1.000000,-0.065635
0.5250,0.608079,0.634658,1.000000,-0.026579
0.5750,0.676091,0.710247,1.000000,-0.034156
0.6250,0.792111,0.778603,1.000000,0.013507
0.6750,0.818118,0.838332,1.000000,-0.020214
0.7250,1.036155,0.888541,1.000000,0.147614
0.7750,1.028159,0.928848,1.000000,0.099311
0.8250,1.018162,0.959359,1.000000,0.058803
0.8750,0.994164,0.980620,1.000000,0.013544
0.9250,1.002170,0.993547,1.000000,0.008623
0.9750,1.068186,0.999344,1.000000,0.068843
1.0250,0.994178,0.999406,1.000000,-0.005228
1.0750,1.020188,0.995222,1.000000,0.024966
1.1250,0.936177,0.988276,1.000000,-0.052099
1.1750,0.940183,0.979965,1.000000,-0.039782
1.2250,0.980196,0.971522,1.000000,0.008674
1.2750,0.918188,0.963961,1.000000,-0.045773
1.3250,0.922193,0.958043,1.000000,-0.035850
1.3750,0.922198,0.954257,1.000000,-0.032059
1.4250,1.016223,0.952823,1.000000,0.063400
1.4750,0.908204,0.953716,1.000000,-0.045512
1.5250,0.962221,0.956701,1.000000,0.005520
1.5750,0.968227,0.961381,1.000000,0.006846
1.6250,1.034248,0.967249,1.000000,0.066999
1.6750,0.970237,0.973746,1.000000,-0.003508
1.7250,1.032258,0.980311,1.000000,0.051946
1.7750,0.982250,0.986436,1.000000,-0.004186
1.8250,0.998259,0.991695,1.000000,0.006564
1.8750,1.088288,0.995779,1.000000,0.092508
1.9250,0.912246,0.998510,1.000000,-0.086264
1.9750,1.026282,0.999840,1.000000,0.026442
2.0250,1.012283,0.999848,1.000000,0.012435
2.0750,0.964274,0.998718,1.000000,-0.034443
2.1250,0.998289,0.996714,1.000000,0.001575
2.1750,0.920271,0.994153,1.000000,-0.073882
2.2250,1.024307,0.991368,1.000000,0.032939
2.2750,0.874266,0.988680,1.000000,-0.114414
2.3250,0.982304,0.986373,1.000000,-0.004069
2.3750,0.996313,0.984668,1.000000,0.011646
2.4250,1.054337,0.983709,1.000000,0.070628
2.4750,0.956310,0.983561,1.000000,-0.027251
2.5250,0.990326,0.984206,1.000000,0.006120
2.5750,0.946317,0.985552,1.000000,-0.039235
2.6250,0.984334,0.987449,1.000000,-0.003115
2.6750,1.052363,0.989706,1.000000,0.062657
2.7250,1.016355,0.992110,1.000000,0.024245
2.7750,1.032366,0.994450,1.000000,0.037916
2.8250,0.982353,0.996534,1.000000,-0.014181
2.8750,1.026374,0.998205,1.000000,0.028169
2.9250,0.952352,0.999355,1.000000,-0.047003
2.9750,0.972364,0.999930,1.000000,-0.027565
3.0250,0.974370,0.999932,1.000000,-0.025562
3.0750,1.032397,0.999416,1.000000,0.032981
3.1250,0.980382,0.998481,1.000000,-0.018099
3.1750,0.986389,0.997256,1.000000,-0.010867
3.2250,0.990396,0.995891,1.000000,-0.005495
3.2750,0.996403,0.994538,1.000000,0.001865
3.3250,0.950389,0.993337,1.000000,-0.042948
3.3750,0.944391,0.992408,1.000000,-0.048016
3.4250,0.990415,0.991833,1.000000,-0.001418
3.4750,1.028437,0.991661,1.000000,0.036775
3.5250,1.000430,0.991896,1.000000,0.008534
3.5750,0.994432,0.992504,1.000000,0.001928
3.6250,0.966425,0.993419,1.000000,-0.026994
3.6750,0.994442,0.994546,1.000000,-0.000104
3.7250,1.048471,0.995778,1.000000,0.052693
3.7750,1.006457,0.997001,1.000000,0.009456
3.8250,1.032474,0.998109,1.000000,0.034365
3.8750,1.066495,0.999012,1.000000,0.067484
3.9250,1.026482,0.999642,1.000000,0.026840
3.9750,0.928441,0.999961,1.000000,-0.071520
4.0250,0.956459,0.999962,1.000000,-0.043503
4.0750,0.928450,0.999667,1.000000,-0.071218
4.1250,0.938459,0.999128,1.000000,-0.060669
4.1750,0.976483,0.998413,1.000000,-0.021930
4.2250,0.972486,0.997606,1.000000,-0.025120
4.2750,1.000505,0.996794,1.000000,0.003710
4.3250,0.956487,0.996062,1.000000,-0.039575
4.3750,1.056544,0.995482,1.000000,0.061062
4.4250,1.052547,0.995107,1.000000,0.057439
4.4750,0.972510,0.994972,1.000000,-0.022461
4.5250,1.046554,0.995082,1.000000,0.051472
4.5750,1.036554,0.995423,1.000000,0.041131
4.6250,1.048566,0.995957,1.000000,0.052609
4.6750,1.004547,0.996630,1.000000,0.007917
4.7250,1.012556,0.997376,1.000000,0.015181
4.7750,0.966536,0.998126,1.000000,-0.031590
4.8250,1.076602,0.998812,1.000000,0.077791
4.8750,0.946534,0.999376,1.000000,-0.052841
4.9250,0.900513,0.999772,1.000000,-0.099260
4.9750,1.012582,0.999975,1.000000,0.012607
