tau,k_connected,k_total,k_gue
0.0100,0.000632,0.000000,0.010000
0.0301,0.000201,0.000000,0.030101
0.0502,0.000144,0.000000,0.050202
0.0703,0.000122,0.000000,0.070303
0.0904,0.000110,0.000000,0.090404
0.1105,0.112437,0.107613,0.110505
0.1306,0.000404,0.000525,0.130606
0.1507,0.004846,0.003827,0.150707
0.1708,0.218166,0.226265,0.170808
0.1909,0.004920,0.006240,0.190909
0.2110,0.099519,0.098216,0.211010
0.2311,0.369724,0.371438,0.231111
0.2512,0.157600,0.164811,0.251212
0.2713,0.119706,0.123534,0.271313
0.2914,0.209733,0.211420,0.291414
0.3115,0.054471,0.051091,0.311515
0.3316,0.269731,0.277706,0.331616
0.3517,0.252133,0.255172,0.351717
0.3718,0.259139,0.267310,0.371818
0.3919,0.090719,0.088712,0.391919
0.4120,0.369558,0.378753,0.412020
0.4321,0.552540,0.564883,0.432121
0.4522,0.843278,0.839124,0.452222
0.4723,0.333189,0.328521,0.472323
0.4924,0.123367,0.121433,0.492424
0.5125,0.166404,0.170408,0.512525
0.5326,0.314616,0.320664,0.532626
0.5527,1.147679,1.138575,0.552727
0.5728,0.555960,0.565287,0.572828
0.5929,0.081914,0.079436,0.592929
0.6130,0.217511,0.217459,0.613030
0.6331,0.664889,0.664024,0.633131
0.6532,1.178855,1.163282,0.653232
0.6733,2.984154,2.962802,0.673333
0.6934,0.272229,0.273206,0.693434
0.7135,0.686650,0.687230,0.713535
0.7336,0.042138,0.044894,0.733636
0.7537,0.180246,0.176046,0.753737
0.7738,0.004682,0.003997,0.773838
0.7939,0.190756,0.193735,0.793939
0.8140,0.458986,0.451263,0.814040
0.8341,1.679467,1.683915,0.834141
0.8542,0.722771,0.732973,0.854242
0.8743,1.620660,1.611644,0.874343
0.8944,0.947326,0.936534,0.894444
0.9145,0.139157,0.142708,0.914545
0.9346,0.454807,0.462255,0.934646
0.9547,1.461892,1.475058,0.954747
0.9748,1.340736,1.352392,0.974848
0.9949,0.715365,0.716719,0.994949
1.0151,1.066468,1.066353,1.000000
1.0352,1.035478,1.042873,1.000000
1.0553,0.334879,0.336520,1.000000
1.0754,0.449632,0.452636,1.000000
1.0955,1.595305,1.590404,1.000000
1.1156,0.137068,0.135344,1.000000
1.1357,0.155674,0.154405,1.000000
1.1558,1.149021,1.154458,1.000000
1.1759,0.167713,0.170395,1.000000
1.1960,1.886019,1.894823,1.000000
1.2161,0.864380,0.870086,1.000000
1.2362,0.267157,0.268632,1.000000
1.2563,1.187409,1.191392,1.000000
1.2764,0.001204,0.001295,1.000000
1.2965,0.314650,0.311205,1.000000
1.3166,0.224219,0.224770,1.000000
1.3367,1.762468,1.763464,1.000000
1.3568,1.149759,1.154596,1.000000
1.3769,0.911670,0.911496,1.000000
1.3970,0.956366,0.955627,1.000000
1.4171,1.592652,1.587244,1.000000
1.4372,0.922864,0.922566,1.000000
1.4573,0.342556,0.340006,1.000000
1.4774,0.258212,0.258244,1.000000
1.4975,0.313316,0.313690,1.000000
1.5176,0.069292,0.069409,1.000000
1.5377,0.117374,0.116468,1.000000
1.5578,0.386053,0.384414,1.000000
1.5779,0.739635,0.737979,1.000000
1.5980,0.417385,0.416301,1.000000
1.6181,0.742080,0.741133,1.000000
1.6382,0.341296,0.340014,1.000000
1.6583,0.756930,0.758055,1.000000
1.6784,0.329707,0.329164,1.000000
1.6985,0.424827,0.425736,1.000000
1.7186,0.109775,0.109337,1.000000
1.7387,0.744749,0.743786,1.000000
1.7588,0.504004,0.504602,1.000000
1.7789,1.122484,1.122443,1.000000
1.7990,0.470017,0.470359,1.000000
1.8191,0.222896,0.222924,1.000000
1.8392,1.617961,1.618027,1.000000
1.8593,5.452194,5.452001,1.000000
1.8794,0.546690,0.546496,1.000000
1.8995,1.902662,1.902533,1.000000
1.9196,0.087695,0.087547,1.000000
1.9397,0.181722,0.181899,1.000000
1.9598,1.890638,1.889627,1.000000
1.9799,1.114092,1.114701,1.000000
2.0000,0.339211,0.339938,1.000000
