prime,repetition,period_theoretical,period_observed,absolute_error,error_in_fwhm,amplitude_real,amplitude_imag,modulus_observed,phase_observed,theoretical_coeff,prominence,snr,detected,resolved
2,1,0.693147,0.693147,0.000000,0.0000,-49.078493,-24.403233,54.810731,-2.680165,-0.156013,54.810686,25.3933,True,True
3,1,1.098612,1.098611,0.000001,0.0002,33.403646,-62.201972,70.603745,-1.077974,-0.201899,70.603725,32.7101,True,True
2,2,1.386294,1.386293,0.000001,0.0003,-23.380416,-30.887242,38.738425,-2.218737,-0.110318,38.738171,17.9471,True,True
5,1,1.609438,1.609440,0.000002,0.0004,64.090192,48.333950,80.272806,0.646155,-0.229108,80.272776,37.1896,True,True
7,1,1.945910,1.945911,0.000000,0.0001,-81.977983,6.603454,82.243512,3.061215,-0.234112,82.243341,38.1026,True,True
2,3,2.079442,2.079440,0.000002,0.0004,-5.072608,-26.877118,27.351614,-1.757335,-0.078006,27.350557,12.6717,True,True
3,2,2.197225,2.197225,0.000000,0.0000,22.619089,34.139330,40.952620,0.985648,-0.116566,40.951795,18.9730,True,True
11,1,2.397895,2.397894,0.000001,0.0003,76.706078,24.473269,80.515610,0.308843,-0.230136,80.515079,37.3021,True,True
13,1,2.564949,2.564948,0.000002,0.0004,62.324338,49.286880,79.457659,0.669114,-0.226442,79.457102,36.8120,True,True
2,4,2.772589,2.772589,0.000001,0.0001,5.253655,-18.574480,19.303165,-1.295154,-0.055159,19.132074,8.9430,True,True
17,1,2.833213,2.833529,0.000315,0.0705,28.685229,-72.103280,77.599777,-1.192157,-0.218728,12.748626,35.9512,True,True
19,1,2.944439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.215019,NaN,NaN,False,True
23,1,3.135494,3.134398,0.001096,0.2451,70.754308,64.325198,95.623758,0.737839,-0.208110,90.644980,44.3016,True,True
5,2,3.218876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.102460,NaN,NaN,False,True
3,3,3.295837,3.296988,0.001151,0.2575,-54.314326,1.693218,54.340712,3.110428,-0.067300,50.502929,25.1755,True,True
29,1,3.367296,3.366793,0.000503,0.1124,-72.038635,-52.088983,88.897846,-2.515551,-0.199036,86.642780,41.1855,True,True
31,1,3.433987,3.433891,0.000096,0.0214,-14.207260,71.254011,72.656592,1.767604,-0.196322,69.364973,33.6611,True,True
2,5,3.465736,3.463263,0.002473,0.5532,-14.324062,-8.794389,16.808332,-2.590972,-0.039003,8.930803,7.7871,True,True
37,1,3.610918,3.612237,0.001319,0.2950,-66.208200,25.453488,70.932404,2.774566,-0.188959,68.227654,32.8623,True,True
41,1,3.713572,3.713763,0.000191,0.0428,27.848634,49.901501,57.146358,1.061777,-0.184608,54.772829,26.4754,True,True
