peak_index,period_candidate,fwhm,amplitude_real,amplitude_imag,modulus,phase_rad,prominence,snr
2641,2.861898,0.032990,172.682600,0.162241,172.682676,0.000940,172.527995,80.002264
2677,2.894145,0.016423,-125.803708,-0.199087,125.803866,-3.140010,121.147209,58.283751
2730,2.940969,0.015458,-107.891210,35.739612,113.656646,2.821713,108.772371,52.656058
2703,2.916823,0.013424,108.767617,-0.193294,108.767789,-0.001777,103.263901,50.391096
2946,3.134398,0.008259,70.754308,64.325198,95.623758,0.737839,90.644980,44.301590
3206,3.366793,0.007587,-72.038635,-52.088983,88.897846,-2.515551,86.642780,41.185538
1617,1.945911,0.008944,-81.977983,6.603454,82.243512,3.061215,82.243341,38.102648
2122,2.397894,0.008973,76.706078,24.473269,80.515610,0.308843,80.515079,37.302127
1241,1.609440,0.008964,64.090192,48.333950,80.272806,0.646155,80.272776,37.189638
2309,2.564948,0.008954,62.324338,49.286880,79.457659,0.669114,79.457102,36.811988
2762,2.970122,0.009883,-84.298258,-0.245154,84.298614,-3.138684,75.471119,39.054757
2779,2.985447,0.009588,79.043602,0.453600,79.044904,0.005739,73.530401,36.620762
669,1.098611,0.008976,33.403646,-62.201972,70.603745,-1.077974,70.603725,32.710053
3281,3.433891,0.009153,-14.207260,71.254011,72.656592,1.767604,69.364973,33.661117
2796,3.000004,0.009074,-74.979900,0.256083,74.980338,3.138177,68.939866,34.737687
3480,3.612237,0.008070,-66.208200,25.453488,70.932404,2.774566,68.227654,32.862317
2811,3.013937,0.008636,71.238726,0.337636,71.239526,0.004739,64.353417,33.004604
3746,3.849912,0.008464,-22.004092,-61.420552,65.243117,-1.914804,63.403448,30.226524
2826,3.027352,0.008452,-67.971510,-0.347472,67.972398,-3.136481,62.878937,31.490975
3880,3.969494,0.008269,-57.419903,28.215541,63.977825,2.684857,62.740334,29.640326
4001,4.078020,0.008743,-30.399709,-51.569982,59.863222,-2.103448,58.529707,27.734069
2841,3.040325,0.008037,65.164107,-0.187085,65.164376,-0.002871,58.499498,30.190044
2744,2.954180,0.007551,91.116903,-0.395731,91.117762,-0.004343,58.106740,42.214005
2855,3.052911,0.007915,-62.562339,0.105460,62.562428,3.139907,57.578469,28.984586
4382,4.418769,0.008122,-48.538419,-30.903909,57.541548,-2.574631,57.199060,26.658459
4460,4.488587,0.008052,-53.098602,-19.187727,56.459104,-2.794833,55.765604,26.156973
4208,4.262511,0.008766,8.232000,-56.314383,56.912876,-1.425645,55.730948,26.367202
216,0.693147,0.008942,-49.078493,-24.403233,54.810731,-2.680165,54.810686,25.393298
3594,3.713763,0.010963,27.848634,49.901501,57.146358,1.061777,54.772829,26.475372
2869,3.065159,0.007697,59.915619,-0.451509,59.917320,-0.007536,54.554109,27.759132
4326,4.368796,0.009008,52.700534,-13.649855,54.439552,-0.253439,53.964224,25.221334
4143,4.204937,0.009542,23.091387,49.969745,55.047139,1.137920,53.773387,25.502823
4037,4.110064,0.009768,-53.363074,14.149022,55.206997,2.882410,53.470931,25.576884
3646,3.760428,0.011385,-47.817906,-26.328883,54.587198,-2.638283,52.626640,25.289737
4240,4.291111,0.009650,51.007479,-15.381212,53.276117,-0.292877,52.322422,24.682325
4666,4.672529,0.008460,-47.666140,-21.143127,52.144921,-2.724101,51.728729,24.158253
2882,3.077105,0.007358,-57.972656,0.051878,57.972679,3.140698,50.925542,26.858198
3128,3.296988,0.006511,-54.314326,1.693218,54.340712,3.110428,50.502929,25.175542
4858,4.844275,0.008757,37.831333,32.985687,50.192283,0.717080,49.752785,23.253614
4624,4.634660,0.009083,7.399011,49.696035,50.243818,1.422997,49.225336,23.277489
4687,4.691485,0.008511,-20.575734,-46.569813,50.912752,-1.986832,48.801042,23.587401
4557,4.574574,0.009652,-33.960035,35.939840,49.446497,2.327879,48.738175,22.908098
4727,4.727253,0.009133,11.202614,-47.701623,48.999423,-1.340129,48.461705,22.700973
2895,3.088779,0.007144,55.937986,-0.005093,55.937987,-0.000091,48.314651,25.915545
4943,4.920129,0.009069,5.967755,-46.230889,46.614475,-1.442420,46.043793,21.596049
2908,3.100207,0.006933,-53.982901,0.264066,53.983547,3.136701,45.960012,25.010071
4893,4.874977,0.009148,-25.341966,-39.138222,46.626341,-2.145411,45.906033,21.601546
4602,4.615274,0.009618,48.117743,-3.940284,48.278805,-0.081706,45.538839,22.367118
2920,3.111411,0.006810,52.181961,0.524177,52.184593,0.010045,44.571036,24.176633
3045,3.222489,0.014690,-42.076532,-21.259018,47.142130,-2.673757,42.723725,21.840506
1898,2.197225,0.008942,22.619089,34.139330,40.952620,0.985648,40.951795,18.972965
2980,3.164667,0.006437,-45.036732,0.073675,45.036793,3.139957,40.261746,20.865124
2933,3.122480,0.006401,-50.616791,-0.041864,50.616808,-3.140766,39.614765,23.450292
4959,4.934782,0.008475,-40.098650,21.938830,45.707921,2.640962,38.976583,21.176051
991,1.386293,0.008948,-23.380416,-30.887242,38.738425,-2.218737,38.738171,17.947149
2968,3.154330,0.006340,46.084105,0.256995,46.084822,0.005577,38.361456,21.350666
3003,3.184900,0.006350,-42.240992,0.585568,42.245050,3.127731,37.805511,19.571736
2991,3.174850,0.006215,43.683228,0.294386,43.684220,0.006739,37.277545,20.238489
3014,3.194828,0.006238,41.269233,-0.538276,41.272743,-0.013042,36.767406,19.121275
3792,3.890592,0.006991,-37.200109,5.988261,37.679005,2.981988,36.021469,17.456330
3025,3.204620,0.006137,-40.220499,0.403301,40.222521,3.131566,35.529814,18.634717
3067,3.242804,0.005889,-36.649526,-0.372415,36.651418,-3.131431,32.664687,16.980258
3088,3.261326,0.005727,-35.103626,0.027318,35.103636,3.140814,30.831395,16.263185
3057,3.233403,0.005695,37.435712,-0.578615,37.440183,-0.015455,30.444959,17.345686
3098,3.270452,0.005703,34.219776,0.211862,34.220432,0.006191,30.110996,15.854005
3078,3.252107,0.005544,35.691543,-0.441205,35.694270,-0.012361,28.955591,16.536820
3108,3.279531,0.005529,-33.534352,-0.364729,33.536336,-3.130717,28.637060,15.537070
1766,2.079440,0.008958,-5.072608,-26.877118,27.351614,-1.757335,27.350557,12.671746
3138,3.306252,0.005143,32.023427,0.158662,32.023820,0.004955,26.937806,14.836336
3148,3.314993,0.005486,-30.760107,-0.008927,30.760108,-3.141302,26.913723,14.250870
3158,3.323707,0.005377,30.099706,-0.346207,30.101697,-0.011501,26.035924,13.945834
3118,3.288032,0.004752,30.864881,0.574721,30.870231,0.018618,25.769218,14.301889
4803,4.795335,0.008045,-21.814645,-13.614811,25.714623,-2.583631,25.164945,11.913344
3177,3.340915,0.005293,28.998528,-0.049262,28.998569,-0.001699,24.841467,13.434765
3167,3.332346,0.005188,-29.370836,-0.470608,29.374606,-3.125571,24.004025,13.608979
3187,3.349492,0.005240,-28.175229,0.466053,28.179083,3.125053,23.871592,13.055105
3322,3.470990,0.005565,24.554547,-3.452841,24.796127,-0.139703,21.683773,11.487813
3242,3.399468,0.005100,-25.129251,-0.495423,25.134134,-3.121880,21.670324,11.644409
3224,3.382970,0.004847,-26.733503,-0.443473,26.737181,-3.125006,21.524131,12.387085
3252,3.407625,0.005063,24.690832,-0.421676,24.694432,-0.017077,21.212285,11.440699
3233,3.391246,0.004991,25.695927,0.229681,25.696954,0.008938,21.013834,11.905158
3261,3.415749,0.004971,-24.341518,0.377688,24.344448,3.126078,20.310858,11.278554
2541,2.772589,0.008917,5.253655,-18.574480,19.303165,-1.295154,19.132074,8.942975
2957,3.144136,0.004000,-47.202455,1.099225,47.215252,3.118309,18.408945,21.874383
3340,3.486993,0.004831,20.858980,0.387133,20.862572,0.018557,17.901084,9.665434
3296,3.447790,0.004826,-22.519904,-0.567211,22.527046,-3.116411,17.880318,10.436569
3332,3.479203,0.004778,-21.176550,0.340400,21.179285,3.125520,17.552982,9.812164
3366,3.510083,0.004701,-20.005990,-0.161965,20.006646,-3.133497,16.992917,9.268891
3349,3.494723,0.004610,-20.703338,0.050869,20.703401,3.139136,16.852523,9.591691
