bin_center,r2_empirical,r2_gue,r2_poisson,residual_gue
0.0500,0.000000,0.008198,1.000000,-0.008198
0.1500,0.030035,0.071865,1.000000,-0.041829
0.2500,0.110141,0.189431,1.000000,-0.079289
0.3500,0.260360,0.343362,1.000000,-0.083002
0.4500,0.330490,0.511893,1.000000,-0.181403
0.5500,0.671061,0.673251,1.000000,-0.002189
0.6500,0.821381,0.809614,1.000000,0.011767
0.7500,1.132017,0.909937,1.000000,0.222080
0.8500,1.001885,0.971096,1.000000,0.030789
0.9500,1.162303,0.997253,1.000000,0.165050
1.0500,0.941961,0.997751,1.000000,-0.055790
1.1500,0.801749,0.984209,1.000000,-0.182460
1.2500,0.942149,0.967577,1.000000,-0.025428
1.3500,0.912172,0.955864,1.000000,-0.043692
1.4500,1.072662,0.952989,1.000000,0.119673
1.5500,0.982536,0.958859,1.000000,0.023678
1.6500,0.932500,0.970454,1.000000,-0.037954
1.7500,1.022845,0.983458,1.000000,0.039387
1.8500,1.012919,0.993898,1.000000,0.019020
1.9500,0.932781,0.999348,1.000000,-0.066567
2.0500,0.972998,0.999410,1.000000,-0.026412
2.1500,0.963064,0.995482,1.000000,-0.032418
2.2500,0.983226,0.989993,1.000000,-0.006767
2.3500,0.923122,0.985434,1.000000,-0.062313
2.4500,0.993459,0.983533,1.000000,0.009925
2.5500,1.134062,0.984799,1.000000,0.149262
2.6500,0.993658,0.988546,1.000000,0.005112
2.7500,0.953606,0.993301,1.000000,-0.039695
2.8500,0.943663,0.997429,1.000000,-0.053766
2.9500,1.054197,0.999715,1.000000,0.054482
3.0500,0.933811,0.999733,1.000000,-0.065922
3.1500,0.903779,0.997895,1.000000,-0.094116
3.2500,0.994257,0.995204,1.000000,-0.000947
3.3500,1.145017,0.992832,1.000000,0.152184
3.4500,1.104952,0.991696,1.000000,0.113256
3.5500,1.014649,0.992157,1.000000,0.022492
3.6500,0.864045,0.993962,1.000000,-0.129917
3.7500,0.924420,0.996397,1.000000,-0.071977
3.8500,0.984807,0.998591,1.000000,-0.013784
3.9500,0.964806,0.999841,1.000000,-0.035035
4.0500,0.995056,0.999849,1.000000,-0.004792
4.1500,1.125833,0.998787,1.000000,0.127046
4.2500,1.085734,0.997195,1.000000,0.088539
4.3500,0.955140,0.995749,1.000000,-0.040609
4.4500,1.045732,0.995009,1.000000,0.050724
4.5500,0.955332,0.995226,1.000000,-0.039893
4.6500,0.794514,0.996280,1.000000,-0.201766
4.7500,1.025931,0.997755,1.000000,0.028177
4.8500,0.955620,0.999112,1.000000,-0.043492
4.9500,1.116679,0.999899,1.000000,0.116781
