n,unfolded_x,spacing_s
1,0.44927787,1.12061782
2,1.56989569,0.82343700
3,2.39333269,1.27751379
4,3.67084648,0.64622317
5,4.31706965,1.27630911
6,5.59337876,0.97158828
7,6.56496704,0.72926103
8,7.29422807,1.47645232
9,8.77068039,0.57752264
10,9.34820303,1.06888515
11,10.41708819,1.19713157
12,11.61421976,1.02523379
13,12.63945354,0.53355554
14,13.17300908,1.57015120
15,14.74316028,0.73678639
16,15.47994668,0.93673928
17,16.41668596,0.97169403
18,17.38837999,1.42680197
19,18.81518195,0.57265392
20,19.38783587,0.88001891
21,20.26785478,1.45464727
22,21.72250205,0.75256709
23,22.47506914,1.12047262
24,23.59554176,0.58161717
25,24.17715893,1.56442993
26,25.74158886,0.92823757
27,26.66982643,0.52758729
28,27.19741373,1.29124600
29,28.48865973,1.09547886
30,29.58413859,1.06994808
31,30.65408667,0.77029421
32,31.42438087,0.77517298
33,32.19955385,1.75394178
34,33.95349563,0.38679984
35,34.34029547,1.12499263
36,35.46528811,0.88278291
37,36.34807101,1.19513761
38,37.54320862,1.21112846
39,38.75433709,0.74464902
40,39.49898611,0.62113375
41,40.12011986,1.55516241
42,41.67528227,0.99058471
43,42.66586698,0.72822295
44,43.39408993,1.16878969
45,44.56287962,0.61322178
46,45.17610140,1.64574015
47,46.82184156,0.79834240
48,47.62018396,0.68607218
49,48.30625614,0.98684790
50,49.29310404,1.44189378
51,50.73499782,0.71292730
52,51.44792512,1.32488389
53,52.77280901,0.44064427
54,53.21345328,1.06449966
55,54.27795294,1.57416471
56,55.85211766,0.76026419
57,56.61238185,0.64304874
58,57.25543059,1.20515675
59,58.46058734,0.95276426
60,59.41335159,1.30189198
61,60.71524357,0.85899804
62,61.57424161,0.99921432
63,62.57345594,0.42868851
64,63.00214444,1.84225912
65,64.84440357,0.70980439
66,65.55420796,0.89429965
67,66.44850761,1.02929810
68,67.47780571,0.82066775
69,68.29847346,1.22526769
70,69.52374115,1.43259206
71,70.95633321,0.39007417
72,71.34640738,0.87954050
