tau,k_connected,k_total,k_gue
0.0100,0.011431,0.000000,0.010000
0.0301,0.054105,0.000000,0.030101
0.0502,0.070414,0.000000,0.050202
0.0703,0.053914,0.000000,0.070303
0.0904,0.028496,0.000000,0.090404
0.1105,0.008841,0.000000,0.110505
0.1306,0.033994,0.028301,0.130606
0.1507,0.272522,0.281548,0.150707
0.1708,0.030090,0.017106,0.170808
0.1909,0.002493,0.001156,0.190909
0.2110,0.207914,0.187523,0.211010
0.2311,0.563217,0.499153,0.231111
0.2512,0.112342,0.107239,0.251212
0.2713,0.052635,0.056598,0.271313
0.2914,0.099672,0.112562,0.291414
0.3115,0.437203,0.481752,0.311515
0.3316,0.585831,0.585219,0.331616
0.3517,0.315045,0.285142,0.351717
0.3718,0.001471,0.001866,0.371818
0.3919,0.375942,0.378644,0.391919
0.4120,0.437569,0.467777,0.412020
0.4321,0.432000,0.410961,0.432121
0.4522,0.028762,0.042296,0.452222
0.4723,0.386023,0.370822,0.472323
0.4924,0.345431,0.347060,0.492424
0.5125,0.588853,0.589870,0.512525
0.5326,0.425606,0.444523,0.532626
0.5527,0.584129,0.559530,0.552727
0.5728,1.014912,1.000162,0.572828
0.5929,0.009535,0.013998,0.592929
0.6130,0.009365,0.010193,0.613030
0.6331,0.676403,0.670752,0.633131
0.6532,1.547590,1.562356,0.653232
0.6733,0.257500,0.254584,0.673333
0.6934,0.365344,0.346595,0.693434
0.7135,1.224990,1.182454,0.713535
0.7336,0.461277,0.459331,0.733636
0.7537,2.412352,2.405486,0.753737
0.7738,1.104199,1.114246,0.773838
0.7939,0.099437,0.108501,0.793939
0.8140,0.989877,1.027532,0.814040
0.8341,0.226192,0.227166,0.834141
0.8542,0.331698,0.325815,0.854242
0.8743,1.226219,1.218374,0.874343
0.8944,0.301753,0.302401,0.894444
0.9145,1.280891,1.283740,0.914545
0.9346,0.139385,0.133837,0.934646
0.9547,0.620390,0.596405,0.954747
0.9748,0.247592,0.260305,0.974848
0.9949,0.073054,0.070424,0.994949
1.0151,0.727210,0.727698,1.000000
1.0352,1.454157,1.470821,1.000000
1.0553,0.281161,0.287029,1.000000
1.0754,0.096203,0.099343,1.000000
1.0955,0.152499,0.155612,1.000000
1.1156,0.228222,0.233738,1.000000
1.1357,5.359823,5.360100,1.000000
1.1558,2.493808,2.501753,1.000000
1.1759,0.135522,0.138791,1.000000
1.1960,0.997085,0.995326,1.000000
1.2161,1.529256,1.518376,1.000000
1.2362,0.761074,0.751453,1.000000
1.2563,0.935680,0.930876,1.000000
1.2764,1.051791,1.045213,1.000000
1.2965,1.473087,1.493501,1.000000
1.3166,0.692758,0.672843,1.000000
1.3367,2.197697,2.184017,1.000000
1.3568,2.491759,2.502208,1.000000
1.3769,0.473498,0.470605,1.000000
1.3970,0.184071,0.184584,1.000000
1.4171,1.576721,1.572708,1.000000
1.4372,1.013353,1.021688,1.000000
1.4573,0.475633,0.463095,1.000000
1.4774,0.130217,0.136167,1.000000
1.4975,2.125390,2.136500,1.000000
1.5176,2.875416,2.873063,1.000000
1.5377,1.642084,1.628763,1.000000
1.5578,0.890594,0.903894,1.000000
1.5779,0.476257,0.463284,1.000000
1.5980,0.213722,0.207454,1.000000
1.6181,0.016464,0.016363,1.000000
1.6382,2.023084,2.022895,1.000000
1.6583,4.458027,4.473233,1.000000
1.6784,3.004439,2.989242,1.000000
1.6985,0.460866,0.449328,1.000000
1.7186,1.083597,1.095656,1.000000
1.7387,0.843714,0.853618,1.000000
1.7588,0.330512,0.332205,1.000000
1.7789,0.845323,0.839724,1.000000
1.7990,1.296423,1.294268,1.000000
1.8191,0.401460,0.407049,1.000000
1.8392,0.536423,0.548200,1.000000
1.8593,0.664628,0.654918,1.000000
1.8794,0.115827,0.116052,1.000000
1.8995,0.003770,0.003765,1.000000
1.9196,0.398991,0.403401,1.000000
1.9397,1.193913,1.182732,1.000000
1.9598,1.851220,1.841356,1.000000
1.9799,0.778375,0.772732,1.000000
2.0000,1.633143,1.634089,1.000000
