prime,repetition,period_theoretical,period_observed,absolute_error,error_in_fwhm,amplitude_real,amplitude_imag,modulus_observed,phase_observed,theoretical_coeff,prominence,snr,detected,resolved
2,1,0.693147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.156013,NaN,NaN,False,True
3,1,1.098612,1.098629,0.000017,0.0267,-224.025407,474.388642,524.625549,2.011991,-0.201899,517.244034,4.1802,True,True
2,2,1.386294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.110318,NaN,NaN,False,True
5,1,1.609438,1.609430,0.000008,0.0132,-408.037336,310.607660,512.807553,2.490947,-0.229108,504.736561,4.0861,True,True
7,1,1.945910,1.945906,0.000005,0.0072,-199.801102,575.015321,608.738942,1.905216,-0.234112,599.836175,4.8505,True,True
2,3,2.079442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.078006,NaN,NaN,False,True
3,2,2.197225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.116566,NaN,NaN,False,True
11,1,2.397895,2.397931,0.000036,0.0567,665.387200,214.243780,699.028271,0.311501,-0.230136,692.494656,5.5699,True,True
13,1,2.564949,2.565280,0.000331,0.5195,-623.048440,-189.019003,651.089504,-2.847040,-0.226442,642.135381,5.1879,True,True
2,4,2.772589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.055159,NaN,NaN,False,True
17,1,2.833213,2.833274,0.000061,0.0958,153.511304,-526.910454,548.817225,-1.287301,-0.218728,546.743344,4.3730,True,True
19,1,2.944439,2.944441,0.000002,0.0027,-339.173313,517.433572,618.688967,2.151022,-0.215019,613.806875,4.9297,True,True
23,1,3.135494,3.135556,0.000062,0.0974,-334.644122,-467.823590,575.191794,-2.191731,-0.208110,571.141799,4.5832,True,True
5,2,3.218876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.102460,NaN,NaN,False,True
3,3,3.295837,3.295845,0.000008,0.0122,601.145672,-99.933969,609.395534,-0.164733,-0.067300,608.089681,4.8557,True,True
29,1,3.367296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.199036,NaN,NaN,False,True
31,1,3.433987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.196322,NaN,NaN,False,True
2,5,3.465736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.039003,NaN,NaN,False,True
37,1,3.610918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.188959,NaN,NaN,False,True
41,1,3.713572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.184608,NaN,NaN,False,True
43,1,3.761200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.182575,NaN,NaN,False,True
47,1,3.850148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.178763,NaN,NaN,False,True
7,2,3.891820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.088486,NaN,NaN,False,True
53,1,3.970292,3.970395,0.000103,0.1614,291.829418,-383.627381,482.010765,-0.920476,-0.173594,477.905879,3.8407,True,True
59,1,4.077537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.168975,NaN,NaN,False,True
61,1,4.110874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.167540,NaN,NaN,False,True
67,1,4.204693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.163511,NaN,NaN,False,True
71,1,4.262680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.161029,NaN,NaN,False,True
73,1,4.290459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.159843,NaN,NaN,False,True
79,1,4.369448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.156482,NaN,NaN,False,True
3,4,4.394449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.038855,NaN,NaN,False,True
83,1,4.418841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.154390,NaN,NaN,False,True
89,1,4.488636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.151450,NaN,NaN,False,True
97,1,4.574711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.147852,NaN,NaN,False,True
101,1,4.615121,4.615353,0.000232,0.3644,-409.289295,188.110116,450.447714,2.710783,-0.146175,437.060100,3.5892,True,True
103,1,4.634729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.145364,NaN,NaN,False,True
107,1,4.672829,4.673011,0.000183,0.2867,392.144862,-290.459487,488.000314,-0.637519,-0.143793,483.510049,3.8884,True,True
109,1,4.691348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.143032,NaN,NaN,False,True
113,1,4.727388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.141557,NaN,NaN,False,True
11,2,4.795791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.069389,NaN,NaN,False,True
5,3,4.828314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.045822,NaN,NaN,False,True
127,1,4.844187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.136826,NaN,NaN,False,True
131,1,4.875197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.135583,NaN,NaN,False,True
137,1,4.919981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.133799,NaN,NaN,False,True
139,1,4.934474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.133224,NaN,NaN,False,True
