peak_index,period_candidate,fwhm,amplitude_real,amplitude_imag,modulus,phase_rad,prominence,snr
2464,0.813895,0.005892,-1374.491769,0.792018,1374.491997,3.141016,1373.312554,10.952029
5647,1.219454,0.006966,1201.376895,-0.707984,1201.377104,-0.000589,1199.557787,9.572640
8838,1.625908,0.007130,-1160.811775,2.482295,1160.814429,3.139454,1153.743074,9.249435
12030,2.032672,0.007436,1080.849335,0.606516,1080.849505,0.000561,1075.524344,8.612270
15202,2.436720,0.007954,-1031.510965,2.238485,1031.513394,3.139423,1029.604417,8.219157
24781,3.657108,0.007465,996.420961,0.121487,996.420968,0.000122,995.391713,7.939538
18394,2.843462,0.006864,988.394442,1.214696,988.395188,0.001229,987.143391,7.875588
2510,0.819836,0.002928,1020.440996,1.387629,1020.441939,0.001360,986.067235,8.130939
27951,4.060997,0.007652,-978.124073,-0.774284,978.124380,-3.140801,976.549543,7.793750
34328,4.873409,0.003022,-970.981524,-0.226947,970.981551,-3.141359,969.530463,7.736835
21590,3.250534,0.007068,-957.466939,0.318740,957.466992,3.141260,956.376608,7.629151
5705,1.226833,0.003387,-939.808254,-0.808054,939.808602,-3.140733,915.151381,7.488448
31147,4.468164,0.007934,893.618329,-0.169557,893.618345,-0.000190,892.210889,7.120401
2542,0.823851,0.002419,-909.714028,-0.341688,909.714092,-3.141217,882.350640,7.248653
12089,2.040141,0.003846,-845.541390,-0.052496,845.541391,-3.141531,820.473940,6.737321
8892,1.632797,0.003434,837.137796,-2.821744,837.142552,-0.003371,806.514999,6.670399
2569,0.827337,0.002139,828.555334,1.826309,828.557347,0.002204,800.680997,6.601991
5740,1.231255,0.002692,838.734066,-1.346544,838.735147,-0.001605,795.279115,6.683089
15282,2.446912,0.003902,785.951414,0.434077,785.951534,0.000552,783.968832,6.262506
18463,2.852219,0.003889,-798.248505,-1.084673,798.249242,-3.140234,770.209696,6.360495
28085,4.078018,0.001892,-740.738476,264.823219,786.654198,2.798241,765.921408,6.268105
21662,3.259726,0.004109,788.117905,-0.781438,788.118292,-0.000992,764.975900,6.279771
31229,4.478657,0.004381,-749.698097,-1.967805,749.700680,-3.138968,741.765286,5.973657
12130,2.045380,0.002683,770.190085,-0.358515,770.190168,-0.000465,736.953458,6.136918
34516,4.897309,0.001609,740.337298,-2.749681,740.342404,-0.003714,736.878562,5.899090
28030,4.070991,0.003895,781.894186,-1.377464,781.895399,-0.001762,735.392302,6.230186
2593,0.830405,0.001974,-765.538561,-0.731801,765.538911,-3.140637,734.996120,6.099857
