s,cdf_zeros,cdf_gue_mean,cdf_gue_q025,cdf_gue_q975,cdf_poisson_ensemble_mean,cdf_wigner_surmise,cdf_poisson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.005584531900321374,1.3509233142902644e-07,0.00498752080731768
0.01,0.0,0.0,0.0,0.0,0.010378799852484064,1.0806767320094973e-06,0.009950166250831893
0.015,0.0,0.0,0.0,0.0,0.014540856646119803,3.6469357054397245e-06,0.014888060396937353
0.02,0.0,0.0,0.0,0.0,0.01865022917654497,8.6434327722755e-06,0.019801326693244747
0.025,0.0,0.0,0.0,0.0,0.022917654496601866,1.6878803347823712e-05,0.024690087971667385
0.03,0.0,0.0,0.0,0.0,0.027922659501606873,2.9160446062929946e-05,0.029554466451491845
0.035,0.0,0.0,0.0,0.0,0.03266424319055899,4.629421467517575e-05,0.03439458374243354
0.04,0.0,0.0,0.0,0.0,0.037405826879511085,6.908411071729348e-05,0.03921056084767682
0.045,0.0,0.0,0.0,0.0,0.04209472630525262,9.833197702915214e-05,0.04400251816690004
0.05,0.0,0.0,0.0,0.0,0.047257784099889365,0.00013483719231952018,0.048770575499285984
0.055,0.0,0.0,0.0,0.0,0.05178863073599915,0.0001793963669027704,0.05351485204651618
0.06,0.0,0.0,0.0,0.0,0.056056056056056056,0.00023280303975516115,0.05823546641575128
0.065,0.0,0.0,0.0,0.0,0.061693272219588,0.0002958473770347525,0.06293253662259657
0.07,0.0,0.000105368526421158,0.0,0.001001001001001001,0.06638217164532956,0.000369315872207579,0.06760618009405173
0.075,0.0,0.000105368526421158,0.0,0.001001001001001001,0.07117643959749223,0.0004539910479227499,0.07225651367144714
0.08,0.0,0.000105368526421158,0.0,0.001001001001001001,0.07612876033928666,0.0005506511597765662,0.07688365361336424
0.085,0.0,0.000105368526421158,0.0,0.001001001001001001,0.08034350139613299,0.0006600699021066386,0.08148771559854262
0.09,0.0,0.000210737052842316,0.0,0.001001001001001001,0.08461092671618989,0.0007830161159535914,0.08606881472877181
0.095,0.0,0.000210737052842316,0.0,0.001001001001001001,0.08856224645698328,0.0009202534993286854,0.09062706553176858
0.1,0.0,0.000263421316052895,0.0,0.001001001001001001,0.0936199357251989,0.001072540319922849,0.09516258196404048
0.105,0.0,0.000316105579263474,0.0,0.001001001001001001,0.09730783414993942,0.0012406291303918016,0.09967547741373439
0.11,0.0,0.000474158368895211,0.0,0.0015515515515515522,0.10220747062852326,0.0014252664863506348,0.10416586470347178
0.115,0.0,0.000632211158526948,0.0,0.002002002002002002,0.10710710710710711,0.0016271926672090098,0.10863385609316867
0.12,0.0,0.000632211158526948,0.0,0.002002002002002002,0.11174332226963807,0.0018471413999766872,0.11307956328284252
0.125,0.0,0.000790263948158685,0.0,0.002002002002002002,0.1159053790632738,0.0020858395861682033,0.11750309741540454
0.13,0.0,0.0008956324745798429,0.0,0.0025525525525525532,0.11980401454085667,0.0023440070319317996,0.1219045690794387
0.135,0.0,0.0010536852642115796,0.0,0.003003003003003003,0.12428217691375586,0.002622356181527702,0.12628408831196558
0.14,0.001001001001001001,0.0012117380538433171,0.0,0.003003003003003003,0.1287603392866551,0.002921591854278316,0.13064176460119414
0.145,0.001001001001001001,0.0013697908434750538,0.0,0.0041041041041041055,0.1327643432906591,0.0032424109851098004,0.1349777068892587
0.15,0.001001001001001001,0.001738580685949107,0.0,0.004554554554554556,0.13729518992676887,0.003585502368804283,0.1392920235749422
0.155,0.001001001001001001,0.001949317738791423,0.00045045045045045046,0.004554554554554556,0.1417206680364575,0.003951546408077572,0.1435848225163865
0.16,0.001001001001001001,0.0020546862652125806,0.00045045045045045046,0.0051051051051051064,0.14609346188293557,0.004341214865597742,0.14785621103378865
0.165,0.001001001001001001,0.002265423318054897,0.00045045045045045046,0.005655655655655657,0.15020283441336074,0.004755170620054733,0.15210629591208413
0.17,0.002002002002002002,0.002686897423739529,0.00045045045045045046,0.006656656656656658,0.15420683841736474,0.005194067426390614,0.1563351834036163
0.17500000000000002,0.002002002002002002,0.0031610557926347402,0.00045045045045045046,0.006656656656656658,0.159053790632738,0.0056585496802978585,0.16054297923079264
0.18,0.002002002002002002,0.0033191085822664767,0.0009009009009009009,0.006656656656656658,0.1631104788999526,0.006149252187088672,0.164729788588728
0.185,0.003003003003003003,0.003477161371898214,0.0009009009009009009,0.00720720720720721,0.16711448290395658,0.006666799935038242,0.16889571614787435
0.19,0.003003003003003003,0.0038459512143722667,0.0009009009009009009,0.007657657657657659,0.17190875085611929,0.007211807873300585,0.1730408660566377
0.195,0.003003003003003003,0.00421474105684632,0.0009009009009009009,0.008108108108108109,0.1762288604393868,0.00778488069449304,0.1771653419439816
0.2,0.003003003003003003,0.0047942679521626895,0.0009009009009009009,0.011111111111111113,0.1809177598651283,0.008386612622044182,0.18126924692201818
0.20500000000000002,0.003003003003003003,0.005321110584268479,0.0009009009009009009,0.012662662662662664,0.18529055371160638,0.009017587202395205,0.18535268358858548
0.21,0.003003003003003003,0.005689900426742531,0.0024524524524524526,0.012662662662662664,0.18966334755808437,0.00967837710214392,0.18941575402981292
0.215,0.003003003003003003,0.006058690269216586,0.0024524524524524526,0.012662662662662664,0.19345661450924612,0.010369543910215162,0.19345855982267313
0.22,0.004004004004004004,0.006427480111690638,0.0024524524524524526,0.012662662662662664,0.19719719719719722,0.011091637945143562,0.1974812020375215
0.225,0.004004004004004004,0.0068489542173752705,0.002902902902902903,0.013213213213213216,0.20099046414835894,0.011845198067543028,0.20148378124062294
0.23,0.004004004004004004,0.007112375533428164,0.002902902902902903,0.013213213213213216,0.20467836257309943,0.012630751497845205,0.20546639749666595
