s,cdf_zeros,cdf_gue_mean,cdf_gue_q025,cdf_gue_q975,cdf_poisson_ensemble_mean,cdf_wigner_surmise,cdf_poisson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.00503282651497473,1.3509233142902644e-07,0.00498752080731768
0.01,0.0,0.0,0.0,0.0,0.00992119413961598,1.0806767320094973e-06,0.009950166250831893
0.015,0.0,1.0102020303040406e-06,0.0,0.0,0.014902500351045202,3.6469357054397245e-06,0.014888060396937353
0.02,0.0,6.061212181824243e-06,0.0,0.00010001000100010001,0.019749449692444,8.6434327722755e-06,0.019801326693244747
0.025,0.0,2.1214242636384845e-05,0.0,0.00015501550155015475,0.024662062165812543,1.6878803347823712e-05,0.024690087971667385
0.03,0.0,3.2326464969729286e-05,0.0,0.00020002000200020003,0.02952416453766589,2.9160446062929946e-05,0.029554466451491845
0.035,0.0,4.74794954242899e-05,0.0,0.00020002000200020003,0.03436909347500404,4.629421467517575e-05,0.03439458374243354
0.04,0.0,6.869373806067479e-05,0.0,0.00030003000300030005,0.03920796120016041,6.908411071729348e-05,0.03921056084767682
0.045,0.00010001000100010001,0.00011011202130314049,0.0,0.00030003000300030005,0.04413370629992291,9.833197702915214e-05,0.04400251816690004
0.05,0.00020002000200020003,0.00014041808221226177,0.0,0.00040004000400040005,0.048964492408836824,0.00013483719231952018,0.048770575499285984
0.055,0.00020002000200020003,0.00019597919387898406,0.0,0.00045504550455045475,0.053744768416235565,0.0001793963669027704,0.05351485204651618
0.06,0.00020002000200020003,0.00025356070960631436,0.0,0.0005000500050005,0.05849978937287672,0.00023280303975516115,0.05823546641575128
0.065,0.00020002000200020003,0.0003283156598488133,4.500450045004502e-05,0.0007000700070007,0.06315176972242681,0.0002958473770347525,0.06293253662259657
0.07,0.00020002000200020003,0.0004071114182125288,0.00010001000100010001,0.0008000800080008001,0.0677057604750374,0.000369315872207579,0.06760618009405173
0.075,0.00020002000200020003,0.0005152030354550613,0.00014501450145014503,0.0009550955095509548,0.07241330193625425,0.0004539910479227499,0.07225651367144714
0.08,0.00020002000200020003,0.0006152130364551614,0.00020002000200020003,0.0011001100110011,0.07700669056804674,0.0005506511597765662,0.07688365361336424
0.085,0.00020002000200020003,0.0007323964719704301,0.0002450245024502451,0.0013551355135513548,0.0816435178871422,0.0006600699021066386,0.08148771559854262
0.09,0.00030003000300030005,0.000852610513576611,0.00030003000300030005,0.0014001400140014,0.08624902894329832,0.0007830161159535914,0.08606881472877181
0.095,0.00040004000400040005,0.0009910081917282648,0.00040004000400040005,0.001555155515551555,0.09077372383703017,0.0009202534993286854,0.09062706553176858
0.1,0.0005000500050005,0.0011647629409405602,0.0005000500050005,0.001855185518551855,0.09523477600285281,0.001072540319922849,0.09516258196404048
0.105,0.0005000500050005,0.0013082116292437338,0.0006450645064506451,0.0022002200220022,0.09975037907831186,0.0012406291303918016,0.09967547741373439
0.11,0.0005000500050005,0.001495099004849982,0.0007450745074507451,0.002355235523552355,0.10430133922483154,0.0014252664863506348,0.10416586470347178
0.115,0.0008000800080008001,0.0017032006230926146,0.0008450845084508451,0.0026002600260026003,0.10885532997744218,0.0016271926672090098,0.10863385609316867
0.12,0.0008000800080008001,0.0019325164839716323,0.0011451145114511451,0.0029102910291029095,0.11335982083056793,0.0018471413999766872,0.11307956328284252
0.125,0.0011001100110011,0.0021618323448506496,0.0012901290129012902,0.0032103210321032098,0.11775419966239048,0.0020858395861682033,0.11750309741540454
0.13,0.0013001300130013002,0.002439637903184261,0.0016001600160016002,0.0036003600360036,0.12217888455512214,0.0023440070319317996,0.1219045690794387
0.135,0.0013001300130013002,0.0027154230574572636,0.0018001800180018,0.0038553855385538554,0.12651164106309623,0.002622356181527702,0.12628408831196558
0.14,0.0015001500150015,0.0030194938685787795,0.0021452145214521452,0.0043554355435543556,0.13078681605534295,0.002921591854278316,0.13064176460119414
0.145,0.0015001500150015,0.003357911548730634,0.0024452445244524455,0.0045554555455545554,0.135059970643529,0.0032424109851098004,0.1349777068892587
0.15,0.0017001700170017002,0.0037094618552764385,0.0027002700270027003,0.004955495549554955,0.13949879836468496,0.003585502368804283,0.1392920235749422
0.155,0.0018001800180018,0.004080206000398021,0.003045304530453045,0.005500550055005501,0.14373558567978012,0.003951546408077572,0.1435848225163865
0.16,0.002000200020002,0.0044933786307923725,0.0034003400340034003,0.006120612061206119,0.147981464813148,0.004341214865597742,0.14785621103378865
0.165,0.0021002100210021,0.004918673685550373,0.0036903690369036904,0.00641064106410641,0.15220511950184917,0.004755170620054733,0.15210629591208413
0.17,0.0025002500250025004,0.005333866720005335,0.003990399039903991,0.00681068106810681,0.1563004785327017,0.005194067426390614,0.1563351834036163
0.17500000000000002,0.0028002800280028,0.005836947331096746,0.004390439043904391,0.007155715571557156,0.16046958231176653,0.0056585496802978585,0.16054297923079264
0.18,0.003000300030003,0.006312752487369954,0.004835483548354835,0.007765776577657765,0.16466899215174036,0.006149252187088672,0.164729788588728
0.185,0.0034003400340034003,0.0068461391593704875,0.005280528052805281,0.008455845584558455,0.16892598350744173,0.006666799935038242,0.16889571614787435
0.19,0.0036003600360036,0.007401750276037705,0.0058905890589058905,0.008965896589658965,0.17303043435656693,0.007211807873300585,0.1730408660566377
0.195,0.0039003900390039005,0.007992718463765565,0.006290629062906291,0.009655965596559655,0.17707023227575278,0.00778488069449304,0.1771653419439816
0.2,0.0042004200420042,0.008618033520523764,0.006725672567256725,0.0102010201020102,0.18111811181118112,0.008386612622044182,0.18126924692201818
0.20500000000000002,0.0046004600460046,0.00927466484022139,0.007335733573357335,0.01121112111211121,0.18528620538821558,0.009017587202395205,0.18535268358858548
0.21,0.005200520052005201,0.009924224745706893,0.008200820082008202,0.011896189618961894,0.18929165643837118,0.00967837710214392,0.18941575402981292
0.215,0.005200520052005201,0.010600049903980295,0.00859085908590859,0.01273127312731273,0.1933253931453752,0.010369543910215162,0.19345855982267313
0.22,0.005700570057005701,0.011326385163768903,0.008945894589458946,0.013176317631763175,0.19735407884222764,0.011091637945143562,0.1974812020375215
0.225,0.006200620062006201,0.012061812241830248,0.0097009700970097,0.013756375637563757,0.20137771352892866,0.011845198067543028,0.20148378124062294
0.23,0.0065006500650065,0.012884116694497738,0.010546054605460545,0.014656465646564656,0.20527709336590222,0.012630751497845205,0.20546639749666595
0.23500000000000001,0.007100710071007101,0.013700359934983405,0.011291129112911292,0.015456545654565456,0.20922294249626985,0.013448813639375612,0.20942915037126442
0.24,0.008100810081008101,0.014541858226226665,0.012026202620262027,0.016456645664566456,0.2131364651616677,0.014299887906842057,0.21337213893344653
0.245,0.0088008800880088,0.015453060457560903,0.012846284628462847,0.01751175117511751,0.21715706924227768,0.015184465560299898,0.21729546175813186
0.25,0.009600960096009602,0.016378405517319405,0.013846384638463846,0.01841184118411841,0.22106554089752403,0.01610302554466042,0.22119921692859512
0.255,0.010301030103010301,0.017389617749653755,0.014391439143914391,0.019421942194219423,0.22501341043195225,0.017056034334801684,0.22508350203891903
0.26,0.0106010601060106,0.01839476876980627,0.015491549154915492,0.0204020402040204,0.22894410653186528,0.018043945786342885,0.22894841419643375
0.265,0.011501150115011502,0.019451440093504305,0.01648164816481648,0.02175717571757176,0.2327899456612329,0.019067200992133715,0.23279405002414433
0.27,0.012301230123012302,0.02046568293192956,0.0175017501750175,0.022777277727772778,0.23658224408299425,0.020126228144513036,0.23662050566314685
0.275,0.012701270127012701,0.02158397657947614,0.018626862686268626,0.02365736573657366,0.24035231806008883,0.02122144240338414,0.24042787677503152
0.28,0.013501350135013501,0.02271136204529544,0.020047004700470047,0.025002500250025,0.24415471850215328,0.022353245770151797,0.24421625854427453
0.28500000000000003,0.014301430143014302,0.023875114784205682,0.021037103710371038,0.026312631263126312,0.2478651905594601,0.023522026967563836,0.24798574568061738
0.29,0.014601460146014602,0.02508836742260084,0.0222022202220222,0.027402740274027403,0.2516372849406153,0.02472816132549499,0.25173643242143473
0.295,0.015201520152015202,0.026348089354389984,0.023547354735473546,0.028902890289028902,0.2552820938659522,0.025972010672708823,0.2554684125340906
0.3,0.016301630163016303,0.027605790882118522,0.024747474747474747,0.03002300230023002,0.25895215784204684,0.02725392323462994,0.2591817793182821
0.305,0.017301730173017303,0.028951379986483495,0.026127612761276127,0.031513151315131514,0.26274950727395974,0.028574233537155103,0.2628766256083722
0.31,0.0186018601860186,0.030267673231969657,0.027492749274927494,0.03332333233323332,0.2664064386236603,0.029933262316528597,0.26655304377571076
0.315,0.019101910191019103,0.03174761920636507,0.028847884788478845,0.03495849584958496,0.269897696840391,0.031331316435304124,0.2702111257309432
0.32,0.020202020202020204,0.03318715709954833,0.030203020302030203,0.03651365136513652,0.2735697812205464,0.032768688804411805,0.27385096292630906
0.325,0.0221022102210221,0.03468528671048924,0.0316031603160316,0.03781378137813782,0.2772519676210046,0.03424565831134668,0.2774726463579278
0.33,0.023002300230023004,0.0360783553102785,0.03259325932593259,0.039013901390139015,0.2808412154346748,0.035762489754489146,0.28107626656807383
0.335,0.023602360236023603,0.03757749512324969,0.03432843284328433,0.04095909590959096,0.28444561627879955,0.03731943378356767,0.2846619136474401
0.34,0.025002500250025,0.03926352231182714,0.036073607360736074,0.0426042604260426,0.28800253762750017,0.038916726846269345,0.28822967723739035
0.34500000000000003,0.026502650265026503,0.04098995758161676,0.03789378937893789,0.044314431443144314,0.2914634897833218,0.04055459114099963,0.2917796465322
0.35000000000000003,0.027502750275027504,0.042670933760042676,0.03954895489548955,0.046314631463146315,0.2948860542619918,0.042233234575790535,0.29531191028128656
0.355,0.028602860286028604,0.044358981352680724,0.04089408940894089,0.047859785978597864,0.29836822066044977,0.04395285073335348,0.29882655679142756
0.36,0.029602960296029605,0.04615613076459163,0.04293929392939294,0.04982498249824982,0.30194130524163537,0.04571361884226921,0.302323673928969
0.365,0.0319031903190319,0.047950249570411586,0.044349434943494345,0.05214521452145214,0.305399226791366,0.04751570375430314,0.3058033491220211
0.37,0.0333033303330333,0.04982215393256499,0.04623962396239624,0.053835383538353834,0.30881977086597556,0.04935925592783347,0.3092656693626453
0.375,0.0348034803480348,0.05171527253735472,0.04823982398239824,0.05591559155915592,0.31221404968779704,0.05124441141737329,0.31271072120902776
0.38,0.0369036903690369,0.05364374821320515,0.0503050305030503,0.05766076607660766,0.3156083285096185,0.05317129186916847,0.31613859078764417
0.385,0.03840384038403841,0.05566819308193446,0.05205020502050205,0.05988098809880988,0.31895815844210695,0.055140004522844954,0.3195493637954123
0.39,0.039803980398039805,0.05767445431411827,0.053785378537853784,0.06196119611961196,0.32234637605174654,0.05715064221908256,0.32294312550183535
0.395,0.043004300430043,0.059791837769635585,0.05575057505750575,0.06438143814381438,0.3257962159852349,0.05920328341328168,0.32631996075113234
0.4,0.0445044504450445,0.0618768947601831,0.057685768576857685,0.06631663166316631,0.3291652397562989,0.06129799219519261,0.3296799539643607
0.405,0.0465046504650465,0.06409226781263984,0.05939593959395939,0.06857185718571858,0.33257063080045385,0.06343481831447201,0.3330231891415256
0.41000000000000003,0.048504850485048503,0.06626420217779355,0.06175117511751175,0.07091709170917092,0.33594268517760856,0.06561379721212535,0.3363497498636806
0.41500000000000004,0.049304930493049307,0.06853311593785644,0.06402140214021403,0.07311731173117313,0.33929150490806653,0.06783495005779694,0.33965971929501715
0.42,0.051105110511051106,0.07081516232431324,0.06659665966596659,0.07541754175417542,0.3425918349410699,0.07009828379285882,0.34295318018494325
0.425,0.05310531053105311,0.0730588210336185,0.0683968396839684,0.07821782178217822,0.3459709607324369,0.0724037911792561,0.3462302148701527
0.43,0.05520552055205521,0.07548027530025732,0.07134213421342134,0.08046304630463047,0.3492389643004704,0.07475145085405382,0.3494909052766835
0.435,0.05700570057005701,0.07786637249583545,0.07364236423642363,0.08280828082808281,0.35236958039238253,0.07714122738963491,0.35273533292196535
0.44,0.05870587058705871,0.08028984716653483,0.07574257425742574,0.08534853485348534,0.35555474739393134,0.07957307135949249,0.3559635789168586
0.445,0.0611061106110611,0.0828567705255374,0.0781078107810781,0.08813881388138814,0.3588055775274496,0.08204691940955855,0.35917572396768127
0.45,0.0634063406340634,0.08536611236881264,0.08050805080508051,0.091004100410041,0.3620291322061498,0.0845626943350068,0.36237184837822667
0.455,0.06560656065606561,0.08793505613187583,0.0828982898289829,0.09363436343634363,0.3652486460767286,0.08712030516246827,0.3655520320517718
0.46,0.0677067706770677,0.09047268363199959,0.08563356335633564,0.0958945894589459,0.3684984660082171,0.08971964723758974,0.36871635449307405
0.465,0.06910691069106911,0.0931618414366689,0.0887088708870887,0.09801980198019802,0.3716482759387051,0.09236060231786952,0.3718648948103592
0.47000000000000003,0.07170717071707171,0.09580857075606548,0.09133413341334135,0.10056505650565056,0.3746970656661627,0.09504303867069835,0.3749977317172992
0.47500000000000003,0.0739073907390739,0.09852500401555311,0.09353435343534354,0.10398539853985397,0.3778468755966505,0.09776681117653124,0.37811494353498
0.48,0.07560756075607561,0.10130406980091947,0.09608960896089608,0.10684068406840684,0.38088859390989616,0.1005317614371139,0.38121660819385916
0.485,0.07870787078707871,0.10404979891928583,0.09875987598759876,0.10961096109610961,0.38388889393989906,0.10333771788868895,0.38430280323571486
0.49,0.08240824082408241,0.10687634420007658,0.10151515151515152,0.1127062706270627,0.38699021417293267,0.10618449592009627,0.3873736058155839
0.495,0.0849084908490849,0.10971905271335221,0.10465546554655465,0.11546154615461546,0.39010365683032977,0.10907189799568984,0.39042909270369075
0.5,0.08780878087808781,0.11274056698599147,0.10684568456845685,0.11872187218721872,0.39315143635575667,0.11199971378298262,0.3934693402873666
0.505,0.09080908090809081,0.1157156119652369,0.10949094909490949,0.12192219221922193,0.3961335527492144,0.11496772028493685,0.39649442457295947
0.51,0.0932093209320932,0.11874722825817939,0.11235623562356235,0.12454245424542454,0.39918234247667217,0.11797568197680774,0.3995044211877341
0.515,0.0969096909690969,0.12177278333893993,0.11529152915291528,0.1275977597759776,0.4021684996782507,0.12102335094745031,0.40249940538176254
0.52,0.09960996099609962,0.12484682811715517,0.11855685568556855,0.13051305130513052,0.4050940447580113,0.12411046704500084,0.4054794520298056
0.525,0.10281028102810282,0.12797542380500673,0.12140714071407141,0.13377837783778376,0.4081933445869841,0.12723675802683404,0.4084446356331849
0.53,0.10591059105910591,0.1311929172715251,0.12492749274927492,0.13716871687168716,0.41114414471750205,0.13040193971370256,0.4113950303216448
0.535,0.1079107910791079,0.13448819629437697,0.1286928692869287,0.14012401240124012,0.41399190424092913,0.1336057161479628,0.41433070985520626
0.54,0.11061106110611062,0.13778448551925898,0.13183818381838183,0.14323432343234324,0.4168921942699318,0.13684777975578388,0.41725174762601036
0.545,0.1148114811481148,0.14100702999592887,0.13464846484648466,0.14637963796379638,0.4197874332887834,0.14012781151324505,0.4201582166601536
0.55,0.11821182118211822,0.1442821049781746,0.1379037903790379,0.14932493249324932,0.42271903958072576,0.14344548111621414,0.42305018961951335
0.555,0.12061206120612061,0.14762385329442035,0.14113911391139114,0.15281528152815282,0.4255779113264863,0.14680044715390655,0.42592773880356405
0.56,0.12461246124612461,0.15102015252030251,0.14450945094509451,0.15654565456545655,0.42851355842654976,0.1501923572860217,0.42879093615118513
0.5650000000000001,0.1279127912791279,0.1544225129583665,0.14764976497649765,0.16036603660366036,0.43131383845455235,0.15362084842334806,0.43163985324245957
0.5700000000000001,0.13111311131113113,0.15779557753755175,0.15086508650865088,0.16347134713471345,0.43416260818000985,0.15708554691173132,0.4344745613004629
0.5750000000000001,0.1343134313431343,0.16120500938982785,0.1545054505450545,0.16693669366936695,0.43694773517755825,0.16058606871929781,0.4372951311930443
0.58,0.13771377137713772,0.1647114206370132,0.15826082608260827,0.17083708370837083,0.4397328621751065,0.16412201962682554,0.44010163343459796
0.585,0.1414141414141414,0.1684491681491381,0.162016201620162,0.17437243724372437,0.44251596876859406,0.16769299542115013,0.4428941381878261
0.59,0.14501450145014502,0.17203639555874775,0.16536153615361537,0.17769276927692768,0.445243514250415,0.17129858209149557,0.4456727152654929
0.595,0.1482148214821482,0.17572161256529695,0.16955195519551955,0.18161816181618162,0.44818017155250855,0.1749383560286225,0.4484374341321702
0.6,0.15201520152015202,0.17940480916778545,0.1732973297329733,0.18517351735173515,0.45098651279269336,0.17861188422667468,0.4511883639059736
0.605,0.1552155215521552,0.18317791375097112,0.17724772477247724,0.18893889388938895,0.45367769100142324,0.18231872448761538,0.4539255733602906
0.61,0.15911591159115912,0.18691667146512628,0.18102310231023103,0.19246924692469244,0.456384022240608,0.18605842562814112,0.4566491309255002
0.615,0.1637163716371637,0.19066048018943313,0.18485348534853485,0.19558455845584558,0.45912267994476186,0.1898305276889547,0.4593591046906834
0.62,0.16781678167816783,0.1944992479045884,0.1883088308830883,0.19942994299429942,0.4618199193656741,0.19363456214628522,0.4620555624053255
0.625,0.1714171417141714,0.19831377077101647,0.1925192519251925,0.20365536553655364,0.46454645464546457,0.19747005212554242,0.4647385714810097
0.63,0.17471747174717472,0.20226164030544463,0.19664466446644666,0.20757075707570755,0.46718207174252774,0.20133651261698587,0.4674081989931028
0.635,0.1788178817881788,0.20619233640535764,0.20096509650965097,0.21158615861586158,0.4697429338893485,0.20523345069329646,0.47006451168243146
0.64,0.1842184218421842,0.21008666523217984,0.20486548654865488,0.21585158515851585,0.47230278583413876,0.20916036572893637,0.47270757595695145
0.645,0.18721872187218722,0.21402645315036553,0.20914591459145915,0.22055205520552057,0.47494951515353556,0.2131167496211765,0.4753374578934071
0.65,0.19161916191619163,0.21802988379646038,0.2132013201320132,0.2239173917391739,0.47753361194705335,0.21710208701268124,0.47795422323898396
0.655,0.19481948194819482,0.22206968171564637,0.2169116911691169,0.22823282328232825,0.48016518823599535,0.22111585551553326,0.48055793741295183
0.66,0.19921992199219923,0.22620948963583215,0.22081208120812082,0.23233323332333233,0.4827977747269677,0.22515752593658017,0.4831486655083008
