s,cdf_zeros,cdf_gue_mean,cdf_gue_q025,cdf_gue_q975,cdf_poisson_ensemble_mean,cdf_wigner_surmise,cdf_poisson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.005402387311935051,1.3509233142902644e-07,0.00498752080731768
0.01,0.0,0.0,0.0,0.0,0.010452663718995375,1.0806767320094973e-06,0.009950166250831893
0.015,0.0,0.0,0.0,0.0,0.015281613271563027,3.6469357054397245e-06,0.014888060396937353
0.02,0.0,0.0,0.0,0.0,0.02033691983440727,8.6434327722755e-06,0.019801326693244747
0.025,0.0,1.0060311567849256e-05,0.0,0.0,0.02486909019572337,1.6878803347823712e-05,0.024690087971667385
0.03,0.0,3.018093470354777e-05,0.0,0.001001001001001001,0.029662828657803533,2.9160446062929946e-05,0.029554466451491845
0.035,0.0,4.024124627139702e-05,0.0,0.001001001001001001,0.034572260702913984,4.629421467517575e-05,0.03439458374243354
0.04,0.0,5.0301557839246284e-05,0.0,0.001001001001001001,0.0391346119989336,6.908411071729348e-05,0.03921056084767682
0.045,0.0,6.539202519102017e-05,0.0,0.001001001001001001,0.04388307905895845,9.833197702915214e-05,0.04400251816690004
0.05,0.0,0.0001156935830302664,0.0,0.001001001001001001,0.04865166674211901,0.00013483719231952018,0.048770575499285984
0.055,0.0,0.00017605545243736185,0.0,0.001001001001001001,0.05357115909879728,0.0001793963669027704,0.05351485204651618
0.06,0.0,0.0002162966987087588,0.0,0.001001001001001001,0.058450410209204204,0.00023280303975516115,0.05823546641575128
0.065,0.0,0.00029174903546762813,0.0,0.002002002002002002,0.06323911851550038,0.0002958473770347525,0.06293253662259657
0.07,0.0,0.00036720137222649767,0.0,0.002002002002002002,0.06793728401768606,0.000369315872207579,0.06760618009405173
0.075,0.0,0.00044768386476929213,0.0,0.002002002002002002,0.07265557014300729,0.0004539910479227499,0.07225651367144714
0.08,0.0,0.0005734377593674078,0.0,0.002002002002002002,0.07730343408735367,0.0005506511597765662,0.07688365361336424
0.085,0.0,0.0006690107192619762,0.0,0.002002002002002002,0.08183057429288577,0.0006600699021066386,0.08148771559854262
0.09,0.0,0.0008098550812118664,0.0,0.003003003003003003,0.0865438302624233,0.0007830161159535914,0.08606881472877181
0.095,0.0,0.0009456692873778319,0.0,0.003003003003003003,0.0912872671666641,0.0009202534993286854,0.09062706553176858
0.1,0.0,0.0010412422472723998,0.0,0.004004004004004004,0.09576913597014099,0.001072540319922849,0.09516258196404048
0.105,0.0,0.0012022072323579877,0.0,0.004004004004004004,0.10026106508518566,0.0012406291303918016,0.09967547741373439
0.11,0.0,0.0013279611269561035,0.0,0.004004004004004004,0.10457190859200907,0.0014252664863506348,0.10416586470347178
0.115,0.0,0.0015945593835041078,0.0,0.004054054054054037,0.1090990487975413,0.0016271926672090098,0.10863385609316867
0.12,0.0,0.0018410370169164134,0.0,0.005005005005005005,0.11341492246014852,0.0018471413999766872,0.11307956328284252
0.125,0.0,0.002102605117680494,0.0,0.005055055055055038,0.11775091674589176,0.0020858395861682033,0.11750309741540454
0.13,0.0,0.002379263685796348,0.0,0.006006006006006006,0.12217745383574533,0.0023440070319317996,0.1219045690794387
0.135,0.0,0.0027011936559675253,0.0,0.006006006006006006,0.12645811640786514,0.002622356181527702,0.12628408831196558
0.14,0.001001001001001001,0.0029426411335959062,0.0,0.006006006006006006,0.1309349550555581,0.002921591854278316,0.13064176460119414
0.145,0.001001001001001001,0.0031639679880885872,0.0009509509509509511,0.007007007007007007,0.13507477326572812,0.0032424109851098004,0.1349777068892587
0.15,0.001001001001001001,0.0035211090487472373,0.001001001001001001,0.00705705705705704,0.1395013103555817,0.003585502368804283,0.1392920235749422
0.155,0.001001001001001001,0.003878250109405891,0.001001001001001001,0.008008008008008008,0.1438574252644605,0.003951546408077572,0.1435848225163865
0.16,0.001001001001001001,0.004255511793200237,0.001001001001001001,0.009009009009009009,0.14821857032912317,0.004341214865597742,0.14785621103378865
0.165,0.001001001001001001,0.0046579242559142055,0.001001001001001001,0.009009009009009009,0.15264510741897686,0.004755170620054733,0.15210629591208413
0.17,0.002002002002002002,0.0051357890553870465,0.002002002002002002,0.009009009009009009,0.156769835161795,0.005194067426390614,0.1563351834036163
0.17500000000000002,0.002002002002002002,0.005573412608588488,0.002002002002002002,0.010060060060060043,0.16105049773391497,0.0056585496802978585,0.16054297923079264
0.18,0.002002002002002002,0.006081458342764874,0.002002002002002002,0.011011011011011011,0.16507462236105458,0.006149252187088672,0.164729788588728
0.185,0.003003003003003003,0.006554292986453787,0.002952952952952953,0.012012012012012012,0.1692345611943603,0.006666799935038242,0.16889571614787435
0.19,0.003003003003003003,0.007112640278469424,0.003003003003003003,0.013013013013013013,0.17338946987188186,0.007211807873300585,0.1730408660566377
0.195,0.003003003003003003,0.007746439907243925,0.0039539539539539545,0.013013013013013013,0.1777355244691928,0.00778488069449304,0.1771653419439816
0.2,0.003003003003003003,0.008339998289747031,0.004004004004004004,0.014014014014014014,0.1819055236140664,0.008386612622044182,0.18126924692201818
0.20500000000000002,0.003003003003003003,0.008988888385873308,0.004004004004004004,0.015015015015015015,0.1860755227589399,0.009017587202395205,0.18535268358858548
0.21,0.003003003003003003,0.009708200662974531,0.0049549549549549555,0.016016016016016016,0.1903209742405722,0.00967837710214392,0.18941575402981292
0.215,0.003003003003003003,0.010437573251643602,0.0059559559559559565,0.016116116116116082,0.19398795780705327,0.010369543910215162,0.19345855982267313
