s,cdf_zeros,cdf_gue_mean,cdf_gue_q025,cdf_gue_q975,cdf_poisson_ensemble_mean,cdf_wigner_surmise,cdf_poisson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,3.3377825975358483e-07,0.0,0.0,0.0050243641440707015,1.3509233142902644e-07,0.00498752080731768
0.01,0.0,1.0013347792607543e-06,0.0,0.0,0.010083775005415532,1.0806767320094973e-06,0.009950166250831893
0.015,0.0,3.671560857289434e-06,0.0,0.0,0.01501434745849549,3.6469357054397245e-06,0.014888060396937353
0.02,0.0,8.010678234086036e-06,0.0,0.0,0.01988350471178082,8.6434327722755e-06,0.019801326693244747
0.025,0.0,1.7022691247432823e-05,0.0,0.00033344448149383126,0.02468924409571295,1.6878803347823712e-05,0.024690087971667385
0.03,0.0,2.8371152079054655e-05,0.0,0.00033344448149383126,0.029516011510009512,2.9160446062929946e-05,0.029554466451491845
0.035,0.0,4.405873028747317e-05,0.0,0.00033344448149383126,0.03435045582428046,4.629421467517575e-05,0.03439458374243354
0.04,0.0,7.109476932751368e-05,0.0,0.00033344448149383126,0.03920459305587686,6.908411071729348e-05,0.03921056084767682
0.045,0.0,0.0001024699257443508,0.0,0.0006668889629876625,0.04406840985700605,9.833197702915214e-05,0.04400251816690004
0.05,0.0,0.00013818419953798457,0.0,0.0006668889629876625,0.048754656623946374,0.00013483719231952018,0.048770575499285984
0.055,0.0,0.0001889184950205297,0.0,0.0006668889629876625,0.05349230524288876,0.0001793963669027704,0.05351485204651618
0.06,0.00033344448149383126,0.0002503336948151896,0.0,0.0010003334444814939,0.05818990047066067,0.00023280303975516115,0.05823546641575128
0.065,0.00033344448149383126,0.0003204271293634402,0.0,0.0010003334444814939,0.06291252906791404,0.0002958473770347525,0.06293253662259657
0.07,0.0006668889629876625,0.0003981974638860236,0.0,0.001333777925975325,0.06760712029134845,0.000369315872207579,0.06760618009405173
0.075,0.0006668889629876625,0.0004806406940451573,0.0,0.001333777925975325,0.07221159138464898,0.0004539910479227499,0.07225651367144714
0.08,0.0006668889629876625,0.0005717621589578861,0.0,0.0016672224074691564,0.07687113589080904,0.0005506511597765662,0.07688365361336424
0.085,0.0006668889629876625,0.0006799063151180471,0.0,0.0016672224074691564,0.08141152155823698,0.0006600699021066386,0.08148771559854262
0.09,0.0010003334444814939,0.0007957273712525404,0.0,0.0020006668889629878,0.08595991790389922,0.0007830161159535914,0.08606881472877181
0.095,0.0010003334444814939,0.0009329102360112632,0.0,0.002334111370456819,0.09050297379740523,0.0009202534993286854,0.09062706553176858
0.1,0.0016672224074691564,0.0010814415616016081,0.0,0.002334111370456819,0.09503735145615778,0.001072540319922849,0.09516258196404048
0.105,0.0016672224074691564,0.0012623493783880532,0.0,0.00266755585195065,0.09951965970638874,0.0012406291303918016,0.09967547741373439
0.11,0.0016672224074691564,0.0014542718777463626,0.00033344448149383126,0.0030010003334444814,0.10400497196095732,0.0014252664863506348,0.10416586470347178
0.115,0.002334111370456819,0.001664552181391123,0.00033344448149383126,0.003334444814938313,0.10843387568962767,0.0016271926672090098,0.10863385609316867
0.12,0.0030010003334444814,0.0018721622589578525,0.0006668889629876625,0.003667889296432144,0.11292853373546939,0.0018471413999766872,0.11307956328284252
0.125,0.003334444814938313,0.0021004665886293072,0.0006668889629876625,0.0040013337779259755,0.11737412637712721,0.0020858395861682033,0.11750309741540454
0.13,0.003667889296432144,0.0023604798529773528,0.0006668889629876625,0.004334778259419807,0.12177766295805643,0.0023440070319317996,0.1219045690794387
0.135,0.004334778259419807,0.002628503795559477,0.0010003334444814939,0.004668222740913638,0.12613346924784075,0.002622356181527702,0.12628408831196558
0.14,0.004334778259419807,0.0029315744554157305,0.001333777925975325,0.005001667222407469,0.13054468272874412,0.002921591854278316,0.13064176460119414
0.145,0.004334778259419807,0.003232976223973214,0.001333777925975325,0.0053351117039013,0.13492919394886732,0.0032424109851098004,0.1349777068892587
0.15,0.004668222740913638,0.0035764340532596535,0.0016672224074691564,0.006002000666888963,0.13925329130397485,0.003585502368804283,0.1392920235749422
0.155,0.004668222740913638,0.0039335767911959935,0.0020006668889629878,0.006335445148382794,0.1435553592939388,0.003951546408077572,0.1435848225163865
0.16,0.004668222740913638,0.004349464502848963,0.002334111370456819,0.006685561853951302,0.14788179309686483,0.004341214865597742,0.14785621103378865
0.165,0.005001667222407469,0.004781373570970104,0.002334111370456819,0.00766922307435812,0.15214647792173644,0.004755170620054733,0.15210629591208413
0.17,0.0056685561853951315,0.005265352047612798,0.00266755585195065,0.008002667555851951,0.15642451387699802,0.005194067426390614,0.1563351834036163
0.17500000000000002,0.0056685561853951315,0.005737314506904372,0.0030010003334444814,0.008669556518839614,0.1605877301109047,0.0056585496802978585,0.16054297923079264
0.18,0.006002000666888963,0.006239317009573755,0.003334444814938313,0.009336445481827277,0.1648474082618799,0.006149252187088672,0.164729788588728
0.185,0.006002000666888963,0.006775031116478247,0.0040013337779259755,0.010003334444814937,0.1690396632043847,0.006666799935038242,0.16889571614787435
0.19,0.006668889629876626,0.007333108366786252,0.004334778259419807,0.010336778926308769,0.17314680469065255,0.007211807873300585,0.1730408660566377
0.195,0.006668889629876626,0.007884843830158937,0.005001667222407469,0.011003667889296432,0.17731068848107864,0.00778488069449304,0.1771653419439816
0.2,0.007002334111370457,0.008494656710728727,0.0056685561853951315,0.012004001333777926,0.1814331837672952,0.008386612622044182,0.18126924692201818
0.20500000000000002,0.007335778592864288,0.009102466921739993,0.006002000666888963,0.012670890296765588,0.18557003151868093,0.009017587202395205,0.18535268358858548
0.21,0.008336112037345782,0.009754335863038737,0.006335445148382794,0.013337779259753251,0.18967049743975378,0.00967837710214392,0.18941575402981292
0.215,0.009336445481827277,0.010457940434599312,0.007002334111370457,0.014338112704234745,0.19367950811765394,0.010369543910215162,0.19345855982267313
0.22,0.009336445481827277,0.011220623758136254,0.00766922307435812,0.015005001667222408,0.19769118902163252,0.011091637945143562,0.1974812020375215
0.225,0.010336778926308769,0.01197195862084159,0.008336112037345782,0.01567189063021007,0.20168284323002583,0.011845198067543028,0.20148378124062294
0.23,0.011003667889296432,0.012750997079106438,0.009003001000333445,0.016672224074691565,0.2056548045210936,0.012630751497845205,0.20546639749666595
0.23500000000000001,0.011337112370790263,0.013601130306698808,0.009669889963321108,0.017672557519173057,0.2096110782339529,0.013448813639375612,0.20942915037126442
0.24,0.011670556852284094,0.014466283555980102,0.0106702234078026,0.018672890963654553,0.2135396483512523,0.014299887906842057,0.21337213893344653
0.245,0.01300433477825942,0.015372157752951351,0.011337112370790263,0.019673224408136045,0.21749425317281265,0.015184465560299898,0.21729546175813186
0.25,0.014004668222740914,0.016281703510779826,0.012004001333777926,0.020690230076692216,0.22135873786423987,0.01610302554466042,0.22119921692859512
0.255,0.01533844614871624,0.017255334694481005,0.01300433477825942,0.022007335778592863,0.22531567913361847,0.017056034334801684,0.22508350203891903
0.26,0.01633877959319773,0.01824298456509194,0.013671223741247083,0.02300766922307436,0.22916314113379796,0.018043945786342885,0.22894841419643375
0.265,0.017005668556185394,0.019292049635497452,0.014338112704234745,0.02400800266755585,0.23311607706405948,0.019067200992133715,0.23279405002414433
0.27,0.01800600200066689,0.02033110135811034,0.01533844614871624,0.025025008336112025,0.23690546164704204,0.020126228144513036,0.23662050566314685
0.275,0.019006335445148383,0.021466281219532278,0.01633877959319773,0.026675558519506502,0.2407132040343108,0.02122144240338414,0.24042787677503152
0.28,0.020673557852617538,0.022580433050589814,0.017339113037679228,0.027675891963987995,0.24445218810007052,0.022353245770151797,0.24421625854427453
0.28500000000000003,0.02100700233411137,0.02374498539887001,0.01865621873957986,0.02900966988996332,0.24825091847432612,0.023522026967563836,0.24798574568061738
