peak_id,grid_period,period,fwhm_instrument,z,p_adjusted_primary,class_primary,detected_primary,z_secondary,p_adjusted_secondary,class_secondary,detected_secondary,z_refined,amplitude_real,amplitude_imag,modulus,phase_rad,null_noise_rms
0,0.6927773198825925,0.6931475002487489,0.008203290207769895,5.083144758422385,0.001,detected,True,7.509100792516606,0.005,detected,True,5.104406666306081,25.434587865137452,-51.18227039371148,57.153679343716725,-1.1095986095918084,11.182377418000012
1,1.0988401851672025,1.0986119767555134,0.008203290207769895,6.447769804078218,0.001,detected,True,7.67304884676745,0.005,detected,True,6.4601498091178735,26.680306251033837,-68.98377814143021,73.96350713909543,-1.201753821075068,11.447365700038858
2,1.3859553424391486,1.3862946854292584,0.008203290207769895,3.4213541826536162,0.019,detected,True,3.7609215901292554,0.005,detected,True,3.437804370840981,24.406238792415454,32.211964942486034,40.41379934438674,0.922400531990548,11.758024103504294
3,1.6094950006008784,1.6094378021518756,0.008203290207769895,7.346242396678885,0.001,detected,True,7.323972726269862,0.005,detected,True,7.346337133552566,-43.625276252172554,71.70274529132067,83.93121237293299,2.1173829123489165,11.423563181798027
4,1.945829899119444,1.9459102784746884,0.008203290207769895,7.291681504138357,0.001,detected,True,6.937210354402953,0.005,detected,True,7.293164438156298,82.67279542803185,-22.82017244827711,85.76451115965338,-0.2693235494782097,11.758936702290901
5,2.197055661732397,2.197224844880518,0.008203290207769895,3.4332139813240774,0.019,detected,True,3.2493105017835306,0.05,inconclusive,False,3.4372783349165634,31.589681219879598,28.73367022796289,42.70283087036426,0.7380884595577374,12.423958521136397
6,2.3980362718227592,2.397895042777828,0.008203290207769895,6.571878749592405,0.001,detected,True,5.829309472372381,0.005,detected,True,6.576683499008716,36.061426332694374,76.20613753472921,84.30778058465545,1.1288103403864809,12.818365845119589
7,2.565178309806071,2.5649490402736133,0.008203290207769895,6.619864702212808,0.001,detected,True,5.569167696390315,0.005,detected,True,6.632771047195375,82.80973139635095,-4.903621842175892,82.95478962125608,-0.059146459072050975,12.50493666296369
8,2.832810652834564,2.8332136099813283,0.008203290207769895,6.006982924547621,0.001,detected,True,5.198519970426041,0.005,detected,True,6.04706756705577,19.71011790185126,77.66679195999133,80.12876712555516,1.3222651352085901,13.25298664222305
9,2.9445804819154286,2.944438759091113,0.008203290207769895,5.91680829647406,0.001,detected,True,4.973815514545997,0.005,detected,True,5.921583187681757,-20.43802604169029,76.07215244355906,78.76982471655565,1.8332646933790304,13.302231827710974
10,3.135306979246079,3.1354944939433267,0.008203290207769895,5.743836358629548,0.001,detected,True,4.6992861306400675,0.005,detected,True,5.751056210972841,-2.465726749775319,-76.19886428211724,76.23874819466202,-1.6031441404150184,13.254537519915859
11,3.3670499276155783,3.367296161167668,0.008203290207769895,5.204840682170873,0.001,detected,True,4.305523379860816,0.005,detected,True,5.21823095595107,33.25055798690227,-64.89202637551853,72.91484549501111,-1.0972794185867427,13.975191690997386
12,3.4337016605537087,3.433987546864734,0.008203290207769895,5.161915532306587,0.001,detected,True,4.193923326178091,0.005,detected,True,5.177332951142969,33.628405267278616,-63.57410781862705,71.92035056751843,-1.0842470121350802,13.887498629101431
13,3.611097811296733,3.6109176366301976,0.008203290207769895,4.860767350459925,0.001,detected,True,3.948913062709982,0.005,detected,True,4.865794052657834,55.649860626608906,-41.16934567441271,69.22298759097502,-0.6369361927658598,14.222736266942743
14,3.7136389388938564,3.713571958724631,0.008203290207769895,4.535372975079495,0.001,detected,True,3.9526724319678195,0.005,detected,True,4.536141221476552,66.31249650150926,-13.27806260579092,67.62879666847535,-0.1976212192951728,14.908741103847255
15,3.7608078575885333,3.7612004346091146,0.008203290207769895,4.390765648276946,0.001,detected,True,3.8104196210798276,0.005,detected,True,4.41473748245492,-64.07167407008943,19.192554755357477,66.8844793369969,2.850550404378296,15.1394623598985
16,3.850018638598031,3.850147794319729,0.008203290207769895,4.382834024911228,0.001,detected,True,3.6671454460757884,0.005,detected,True,4.385802035153388,-48.72012687298663,43.76138085492366,65.48823724035938,2.409761978780878,14.932048019355545
17,3.9699917578866657,3.9702922396611138,0.008203290207769895,4.210614253980248,0.001,detected,True,3.4813753054944367,0.015,detected,True,4.228345959756978,63.593563737077346,0.2953283223100971,63.59424948530862,0.004643963663869366,15.048977583250489
18,4.077659941863645,4.077537312109034,0.008203290207769895,3.925674166858215,0.002,detected,True,3.5267270299884723,0.015,detected,True,3.9283742327351097,-26.72444132475224,-55.836445129715976,61.90237773174717,-2.017194140315914,15.759146450323216
19,4.1104731026947245,4.110874036231834,0.008203290207769895,3.9054361501711012,0.002,detected,True,3.4053265932926924,0.03,inconclusive,False,3.929308865438754,52.64815098848431,31.54823743211051,61.376861174053694,0.5398515370486852,15.615112901323855
20,4.204810940084078,4.204692442195263,0.008203290207769895,3.711144618962819,0.005,detected,True,3.16365779058768,0.075,inconclusive,False,3.7135319319698,-58.484900131126615,12.945816485449045,59.900565171146575,2.923752040968543,16.131690313587644
21,4.262233971538468,4.262679875988783,0.008203290207769895,3.6063625665121806,0.008,detected,True,3.2216211490104447,0.055,inconclusive,False,3.6327491236242704,45.554232570385125,37.480539875933594,58.991346606669225,0.6884701848698955,16.228031109356138
22,4.290945487265663,4.290459541809014,0.008203290207769895,3.5502890476974915,0.011,detected,True,3.090756386869785,0.095,not_detected,False,3.584067897657811,45.72291965526413,36.58286033275637,58.55673361730227,0.6748012790195396,16.33840561299163
23,4.369902155515448,4.369447664810109,0.008203290207769895,3.433864788464868,0.019,detected,True,2.879406191249921,0.31,not_detected,False,3.4638645313965233,53.29984177349512,-21.102975661261596,57.3254630582206,-0.37699234198968534,16.55680818212823
24,4.419121896762068,4.418840338037733,0.008203290207769895,3.3806556888445463,0.022,detected,True,2.9458160526513626,0.225,not_detected,False,3.390667238838167,-30.04731470879047,47.917544022220284,56.559103125231,2.1308777095632276,16.67736426269606
25,4.488849863528111,4.48863605742861,0.008203290207769895,3.3359047404087643,0.026,detected,True,2.876363810213192,0.325,not_detected,False,3.3410808929573483,33.91864194519062,-43.906583918990634,55.48209064951872,-0.913038545436291,16.601492870943243
26,4.574984410709695,4.574710615476728,0.008203290207769895,3.253149563887552,0.041,inconclusive,False,2.7220477852504623,0.585,not_detected,False,3.262830061673841,-39.207307957958164,-37.370418592143416,54.16420573646574,-2.380177144965287,16.60002993541878
27,4.614975450472573,4.615120852950624,0.008203290207769895,3.152578090570043,0.065,inconclusive,False,2.671420788658124,0.695,not_detected,False,3.1548969696083864,25.581935860354648,-47.04270752511474,53.54859263936622,-1.0727238218233683,16.971334780701426
28,4.634458264716027,4.63472922801118,0.008203290207769895,3.1023283972495066,0.091,not_detected,False,2.659589155290503,0.71,not_detected,False,3.1107526524025784,38.85045779829094,-36.419094516243106,53.25137102948462,-0.7531073088844515,17.114763630807595
29,4.672398481926963,4.672829319813213,0.008203290207769895,3.0252495266342723,0.147,not_detected,False,2.6797209624857206,0.68,not_detected,False,3.047674182140912,-33.08584653381622,-40.99031890350815,52.67712487095832,-2.249889387701138,17.2837236886783
30,4.690855884894445,4.691347802873597,0.008203290207769895,3.0233303421327253,0.149,not_detected,False,2.670256936249868,0.695,not_detected,False,3.0543390293829074,-34.95887534533595,-39.03201873500979,52.39867795985786,-2.301200744544328,17.164414006104593
