s,cdf_zeros,cdf_gue_mean,cdf_gue_q025,cdf_gue_q975,cdf_poisson_ensemble_mean,cdf_wigner_surmise,cdf_poisson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,3.3377825975358483e-07,0.0,0.0,0.005016019687576861,1.3509233142902644e-07,0.00498752080731768
0.01,0.0,1.3351130390143393e-06,0.0,0.0,0.009974963292735868,1.0806767320094973e-06,0.009950166250831893
0.015,0.0,3.004004337782264e-06,0.0,0.0,0.014924561106621766,3.6469357054397245e-06,0.014888060396937353
0.02,0.0,8.678234753593206e-06,0.0,0.0,0.019818751729388594,8.6434327722755e-06,0.019801326693244747
0.025,0.0,1.7022691247432823e-05,0.0,0.00033344448149383126,0.02467889696966056,1.6878803347823712e-05,0.024690087971667385
0.03,0.0,2.9372486858315415e-05,0.0,0.00033344448149383126,0.029547052888166534,2.9160446062929946e-05,0.029554466451491845
0.035,0.0,4.3724952027719615e-05,0.0,0.00033344448149383126,0.03438149720243751,4.629421467517575e-05,0.03439458374243354
0.04,0.0,6.642187369096343e-05,0.0,0.00033344448149383126,0.039293711851231025,6.908411071729348e-05,0.03921056084767682
0.045,0.0,9.512680402977189e-05,0.0,0.0006668889629876625,0.04401734178326372,9.833197702915214e-05,0.04400251816690004
0.05,0.0,0.0001291721865246377,0.0,0.0006668889629876625,0.04881306781940328,0.00013483719231952018,0.048770575499285984
0.055,0.0,0.00017957270374742928,0.0,0.0006668889629876625,0.0536458432423754,0.0001793963669027704,0.05351485204651618
0.06,0.0,0.00023698256442504612,0.0,0.0010003334444814939,0.05839584165692865,0.00023280303975516115,0.05823546641575128
0.065,0.0,0.00030206932507699334,0.0,0.0010003334444814939,0.06313883072802708,0.0002958473770347525,0.06293253662259657
0.07,0.0,0.0003724965378849978,0.0,0.0010003334444814939,0.06783842862535752,0.000369315872207579,0.06760618009405173
0.075,0.0,0.00046695578539526127,0.0,0.001333777925975325,0.07244590372299607,0.0004539910479227499,0.07225651367144714
0.08,0.0,0.0005670892633213359,0.0,0.001333777925975325,0.07706405972494655,0.0005506511597765662,0.07688365361336424
0.085,0.00033344448149383126,0.0006705605238449464,0.0,0.0016672224074691564,0.08162914498359648,0.0006600699021066386,0.08148771559854262
0.09,0.00033344448149383126,0.0007947260364732798,0.0,0.0020006668889629878,0.08623394985515685,0.0007830161159535914,0.08606881472877181
0.095,0.00033344448149383126,0.0009369155751283069,0.0,0.0020006668889629878,0.09080904846159943,0.0009202534993286854,0.09062706553176858
0.1,0.00033344448149383126,0.0010881171267966806,0.0,0.002334111370456819,0.09536545548549538,0.001072540319922849,0.09516258196404048
0.105,0.0010003334444814939,0.0012690249435831217,0.00033344448149383126,0.00266755585195065,0.0998547730791812,0.0012406291303918016,0.09967547741373439
0.11,0.0010003334444814939,0.0014689581211755184,0.00033344448149383126,0.0030010003334444814,0.10432973820769759,0.0014252664863506348,0.10416586470347178
0.115,0.0010003334444814939,0.0016722290813654546,0.00033344448149383126,0.003334444814938313,0.10878367530584943,0.0016271926672090098,0.10863385609316867
0.12,0.0010003334444814939,0.0019035374153746887,0.0006668889629876625,0.003667889296432144,0.11323026928228665,0.0018471413999766872,0.11307956328284252
0.125,0.0010003334444814939,0.0021378497537217073,0.0006668889629876625,0.0040013337779259755,0.11764281787622898,0.0020858395861682033,0.11750309741540454
0.13,0.0016672224074691564,0.0023948590137319705,0.0006668889629876625,0.004334778259419807,0.1220263277615728,0.0023440070319317996,0.1219045690794387
